variable,PIP,PM,PSD,PSDR,PMcon,PSDcon,PSDRcon,%(+)
gdp_lag,NA,0.919,0.077,0.109,0.919,0.077,0.109,100
ish,0.773,0.063,0.045,0.062,0.082,0.034,0.059,100
sed,0.717,0.03,0.057,0.074,0.042,0.064,0.084,69.922
pgrw,0.714,0.018,0.03,0.052,0.025,0.033,0.06,99.609
pop,0.99,0.119,0.065,0.082,0.121,0.064,0.081,100
ipr,0.656,-0.034,0.033,0.044,-0.051,0.027,0.046,0
opem,0.766,0.034,0.03,0.033,0.044,0.026,0.031,100
gsh,0.751,-0.015,0.041,0.091,-0.02,0.046,0.104,30.859
lnlex,0.864,0.088,0.075,0.098,0.102,0.071,0.099,100
polity,0.678,-0.057,0.046,0.053,-0.084,0.03,0.044,0
