variable,PIP,PM,PSD,PSDR,PMcon,PSDcon,PSDRcon,%(+)
gdp_lag,NA,0.943,0.078,0.13,0.943,0.078,0.13,100
ish,0.954,0.076,0.036,0.066,0.079,0.032,0.065,100
sed,0.938,0.035,0.063,0.094,0.037,0.064,0.097,69.922
pgrw,0.938,0.024,0.033,0.059,0.026,0.033,0.061,99.609
pop,0.998,0.08,0.062,0.083,0.08,0.062,0.083,100
ipr,0.924,-0.05,0.03,0.052,-0.054,0.027,0.052,0
opem,0.952,0.041,0.026,0.034,0.043,0.025,0.034,100
gsh,0.948,-0.034,0.049,0.12,-0.036,0.049,0.123,30.859
lnlex,0.974,0.134,0.069,0.105,0.138,0.066,0.104,100
polity,0.929,-0.084,0.038,0.053,-0.09,0.031,0.049,0
