variable,Estimate,Std. Error,t value,Pr(>|t|)
lag_gdp,0.6188292758588936,0.050099279493536215,12.35205939316422,1.3615699958941222e-26
ish,0.4646186961251808,0.23307963793917566,1.9933903288730328,0.04753810043315219
sed,0.016185058783318107,0.033731984510907156,0.4798134179767783,0.6318691143028037
pgrw,-2.3351605225373198,2.1408960228215848,-1.0907398106423238,0.27666154743907373
pop,0.001644529682589855,3.647062862821023e-4,4.509189296829948,1.0915055210645014e-5
ipr,-3.416694174338261e-4,3.158606607930197e-4,-1.0817093099723445,0.28064635509154606
opem,0.11993493390831884,0.03789205004252213,3.1651740608842465,0.001784743109022952
gsh,-0.744795450114035,0.2700047575479044,-2.7584530616350085,0.006330114994891964
lnlex,0.1153360183887663,0.2440078229914922,0.472673445362396,0.6369465717694083
polity,-0.1656143600794028,0.05698110917574361,-2.906478348264647,0.004055049311852881
