country,year,gdp,lag_gdp,ish,sed,pgrw,pop,ipr,opem,gsh,lnlex,polity
1,1970,8.3674484669999991,8.254050326,0.121641988,0.139,0.023487722,10.909294,61.06546541,1.075087437,0.190968587,3.877936407,0.075
1,1980,8.536111291,8.3674484669999991,0.207345712,0.141,0.030024725,13.931846,92.30906941,1.056866884,0.202853063,3.997753074,0.05
1,1990,8.626576564,8.536111291,0.20277678,0.28,0.030266976,18.861615,100.0738597,0.897954166,0.232048273,4.102240139,0.085
1,2000,8.657497942,8.626576564,0.115411857,0.774,0.021481563,25.341272,81.24771586,0.635537831,0.219127159,4.210138267,0.3
2,1970,9.192247507,8.96678142,0.164254811,0.604,0.015155593,20.616009,103.4044022,0.082252789,0.184374071,4.181677703,0.29
2,1980,9.298431546,9.192247507,0.184761694,0.792,0.016744952,23.962313,112.4357333,0.078642032,0.16371926,4.210174472,0.275
2,1990,9.011303532,9.298431546,0.14513684,1.089,0.015434338,28.369799,73.83293217,0.104304386,0.174261968,4.250861778,0.65
2,2000,9.335382158,9.011303532,0.148060317,1.569,0.012987056,33.022202,82.60091655,0.180256543,0.173665493,4.271708049,0.855
3,1970,9.596081318,9.288696303,0.257528965,2.597,0.021948532,10.27648,87.40768247,0.214764486,0.143056866,4.261579994,1
3,1980,9.767893408,9.596081318,0.23623016,2.942,0.014281435,12.72836,119.1527162,0.232576924,0.151962995,4.272728839,1
3,1990,9.921919311,9.767893408,0.238058174,2.898,0.014221431,14.63833,106.2771999,0.266008686,0.163336779,4.320378242,1
3,2000,10.15946762,9.921919311,0.233707436,3,0.012460354,16.87333,95.60725849,0.37956793,0.162558749,4.343748404,1
4,1970,9.452357884,9.041214529,0.235007978,3.626,0.005760899,7.048001,56.31102117,0.334027257,0.194241279,4.228082742,1
4,1980,9.792954781,9.452357884,0.259185349,3.502,0.001643238,7.467085,79.18419389,0.484981102,0.173224826,4.246933047,1
4,1990,10.00894794,9.792954781,0.229404028,4.634,0.001645264,7.549433,79.08019257,0.598317155,0.173818537,4.282533021,1
4,2000,10.20358351,10.00894794,0.240664529,4.272,0.005184367,7.729236,107.8361883,0.732602756,0.164614462,4.324529928,1
5,1970,9.436055943,8.995902118,0.240967588,1.319,0.005667504,9.153489,69.59902092,0.733963485,0.198753268,4.260237873,1
5,1980,9.748968012,9.436055943,0.232867893,1.437,0.002387804,9.655547,106.0944829,0.999273767,0.207362695,4.267887865,1
5,1990,9.936031435,9.748968012,0.195639971,1.771,8.4268e-4,9.859241,83.26296773,1.128758378,0.214120593,4.30225066,1
5,2000,10.11301538,9.936031435,0.228489909,2.103,0.003318975,9.967378,102.772032,1.431137654,0.192889006,4.330316052,1
6,1970,7.006306744,6.862662425,0.084847313,0.088,0.023911678,2.055083,65.97224538,0.37805139,0.122596586,3.689610894,0.33
6,1980,7.030168136,7.006306744,0.082689192,0.079,0.027305897,2.619809,82.41989278,0.695569122,0.098828359,3.795872782,0.2
6,1990,6.990683776,7.030168136,0.100655912,0.108,0.029656081,3.444116,63.90829436,0.633989205,0.081952069,3.89990105,0.15
6,2000,7.132076941,6.990683776,0.073891807,0.379,0.032245012,4.661949,80.10462518,0.529324175,0.109369673,3.948811119,0.77
7,1970,7.842331777,7.796219425,0.115774453,1.515,0.023351239,3.434073,41.44252945,0.426720819,0.150828836,3.771582784,0.32
7,1980,8.029399499,7.842331777,0.11729305,1.196,0.022801575,4.346218,62.83538327,0.380314433,0.204968376,3.844735995,0.19
7,1990,7.853098322,8.029399499,0.083421996,1.18,0.018712166,5.441298,81.48897361,0.324716039,0.221024769,3.983503836,0.775
7,2000,7.982479966,7.853098322,0.097127337,1.214,0.021977645,6.5739,60.23170201,0.435619164,0.186767377,4.065752691,0.95
8,1970,8.300458814,7.879870734,0.190680854,0.712,0.029134525,71.69481,70.55171253,0.099983921,0.321147507,4.020943032,0.355
8,1980,8.821088404,8.300458814,0.245243803,0.635,0.025400023,95.684297,85.12799401,0.129876453,0.265623972,4.088391921,0.2
8,1990,8.829246102,8.821088404,0.180021616,0.708,0.021321202,122.958132,47.61749322,0.117751765,0.254532444,4.14665157,0.6
8,2000,8.880946664,8.829246102,0.156792501,0.864,0.015394834,151.083809,71.76485922,0.182106992,0.254403575,4.183560824,0.9
9,1970,7.574022783,7.573902947,0.037971234,0.316,0.017677998,5.60876,86.16251656,0.701355687,0.168465481,3.700398223,0.18
9,1980,7.770712982,7.574022783,0.057729211,0.235,0.024876142,6.726733,170.8358222,0.833930865,0.178019231,3.823484965,0.11
9,1990,7.900762323,7.770712982,0.055592427,0.251,0.029838828,8.747539,185.0592146,0.546200267,0.138733597,3.931108015,0.105
9,2000,7.812672327,7.900762323,0.044757544,0.406,0.023973138,11.685181,138.8555602,0.472132355,0.139263352,3.992365856,0.26
10,1970,9.553151405,9.266318356,0.209195452,2.564,0.019838763,17.90901,93.47606483,0.354919092,0.156040898,4.264553764,1
10,1980,9.832783535,9.553151405,0.219910114,2.916,0.012773793,21.71685,106.5774909,0.456779306,0.170082299,4.286348094,1
10,1990,9.987696579,9.832783535,0.228323714,3.827,0.011956212,24.51628,88.23424418,0.487273084,0.164177971,4.318528223,1
10,2000,10.19693051,9.987696579,0.23359733,4.02,0.010648025,27.70086,79.03004716,0.705098918,0.153624267,4.348690524,1
11,1970,8.725309655,8.5342701,0.246952225,1.128,0.02176494,7.585349,34.22849811,0.236527742,0.254204075,4.060989539,0.78
11,1980,8.806144043,8.725309655,0.14401871,1.385,0.017174632,9.368558,55.25452328,0.269121847,0.312555026,4.152191538,0.345
11,1990,8.87064485,8.806144043,0.1478054,1.586,0.016646256,11.093718,55.43639412,0.364485174,0.266692342,4.258687031,0.28
11,2000,9.344013181,8.87064485,0.208460775,1.911,0.014901093,13.127759,56.34494719,0.523182175,0.194473795,4.299949847,0.9
12,1970,6.214145841,6.105088561,0.185446989,0.988,0.019926941,650.660513,94.66575556,0.115790358,0.218229012,3.592355123,0.085
12,1980,6.61899627,6.214145841,0.256561849,0.963,0.01965857,820.403282,82.17982081,0.14529342,0.239860834,4.14603412,0.12
12,1990,7.421718313,6.61899627,0.263263515,0.879,0.014387604,984.73646,51.60131962,0.415898885,0.289314864,4.216778015,0.15
12,2000,8.294505491,7.421718313,0.271496843,1.558,0.010973659,1138.894555,34.98149345,0.434994326,0.285710166,4.232279457,0.15
13,1970,8.154157062,7.944000529,0.119943188,0.663,0.030087418,15.952727,77.20112349,0.255689468,0.110673791,4.058843751,0.85
13,1980,8.482318594,8.154157062,0.122366949,0.581,0.022101078,21.429658,72.36933987,0.253448493,0.124112859,4.11911649,0.88
13,1990,8.6011415,8.482318594,0.12333921,1.072,0.021319822,26.582811,75.8530882,0.267869256,0.142991094,4.201995137,0.9
13,2000,8.712707,8.6011415,0.128277264,1.33,0.01914942,32.858579,63.02990276,0.398382627,0.210697901,4.223466859,0.895
14,1970,8.639945683,8.414723648,0.06439452,0.385,0.03405662,1.248022,84.62205834,0.306936758,0.179879582,4.143366987,1
14,1980,8.85225954,8.639945683,0.086288116,0.441,0.029222718,1.735523,93.36768689,0.446640813,0.213110275,4.220977213,1
14,1990,8.756049758,8.85225954,0.083388459,0.817,0.026705967,2.299124,86.84703011,0.464066876,0.214752473,4.301292631,1
14,2000,9.028994718,8.756049758,0.09442546,1.196,0.021169445,3.027175,93.63240217,0.769250429,0.178047817,4.341172882,1
15,1970,9.716201609,9.344716884,0.237044356,2.939,0.007335508,4.580998,61.57089612,0.350994487,0.185303822,4.279115691,1
15,1980,9.850629244,9.716201609,0.244557613,2.927,0.004407247,4.928757,95.85437718,0.445108212,0.219453878,4.295152721,1
