nuts1,country,country_group,deg_mean,deg_sd,deg_q025,deg_q975,in_strength,out_strength,mult_in_strength,queen_degree,knn_k
AT1,AT,Western,14.5,10.299063407451527,1.475,42.04999999999998,0.8045185780708506,1,1.3792942694600703,6,7
AT2,AT,Western,8.58,5.388315079311843,1,20.52499999999999,1.0046541233455575,1,1.7798478987383146,4,7
AT3,AT,Western,12.86,8.230296335963716,2.475,31,0.8363881942416181,1,1.4578213941628961,6,7
BE1,BE,Western,7.97,6.867365366041556,1,25.199999999999932,0.7118337254309064,1,1.2427985142312017,1,7
BE2,BE,Western,8.54,5.282752572994002,1,19.52499999999999,0.7661373714599611,1,1.3488783250065117,5,7
BE3,BE,Western,9.64,6.411038460453512,1,26.52499999999999,0.826185969251981,1,1.454172875279924,7,7
BG3,BG,CEE,10.07,8.704178724769344,2,35.62499999999996,0.4946449528616895,1,0.9031769044978366,4,7
BG4,BG,CEE,1.04,0.24287836253956216,1,1.5249999999999915,0.8891557949485782,1,1.3591665432940543,2,7
CY0,CY,Southern,9.39,5.370881085665893,2,23.624999999999957,0.6866657218365596,1,1.163247296983012,1,7
CZ0,CZ,CEE,3.72,1.4219065306194292,2,8,1.4429329238100357,1,2.518200816567604,7,7
DE1,DE,Western,7.25,6.099138869504034,1,20.52499999999999,1.0299392096808708,1,1.7807388147343415,5,7
DE2,DE,Western,5.21,4.502064621769201,1,17.049999999999983,0.8427110128697723,1,1.4903400264088003,6,7
DE3,DE,Western,4.21,4.328190421323018,0,15.099999999999966,0.7000585681024448,0.88,1.2502368154881869,1,7
DE4,DE,Western,5.22,4.7960000168490575,1,16.049999999999983,0.8882262535260717,1,1.4487853297444313,6,7
DE5,DE,Western,5.13,5.070522854716466,1,18,0.7430736959613614,1,1.3076517037280753,1,7
DE6,DE,Western,10.13,5.727225428696788,2,22.52499999999999,0.6313143947838024,1,1.1375951552395813,2,7
DE7,DE,Western,11.31,7.523290436364862,1,27,0.7135496763097521,1,1.2161880895833332,6,7
DE8,DE,Western,7.99,8.732263408900595,1,32.52499999999999,0.7523069741476498,1,1.3895620143260035,4,7
DE9,DE,Western,7.29,5.87460722950991,1,22,0.8091059242965423,1,1.4725198163383872,11,7
DEA,DE,Western,6.88,5.801915392542554,1,20.52499999999999,0.9290432909390155,1,1.586451392015913,6,7
DEB,DE,Western,7.33,6.719570392713083,1,28.52499999999999,0.8130444634371136,1,1.4553327796126152,7,7
DEC,DE,Western,9.33,5.798040421321046,1,23.049999999999983,1.06687367850098,1,1.9575764345375906,3,7
DED,DE,Western,9.67,8.524539739937739,1,28,1.003883132755069,1,1.7606253031732213,7,7
DEE,DE,Western,8.49,5.8904047982179195,1,21.52499999999999,0.8651653327604826,1,1.4588974719786731,4,7
DEF,DE,Western,6.74,7.259434822311854,1,26.14999999999995,0.9191944080236203,0.99,1.6459499991138204,4,7
DEG,DE,Western,8.69,6.588473252429564,1,22,1.0057148805102354,1,1.7532231813175312,5,7
DK0,DK,Northern,9.62,8.157267318226742,1,32.19999999999993,0.7524494735126921,1,1.2866086898616829,1,7
EE0,EE,Baltics,2.51,1.1236214898822703,1,5.5249999999999915,0.5769527745984316,1,1.124477130328667,1,7
EL3,EL,Southern,1.03,0.1714466079977653,1,1.5249999999999915,1.51253606993577,0.9999999999999999,5.731583598257924,1,7
EL4,EL,Southern,1,0,1,1,1.3143891537874186,1,4.626021301322262,1,7
EL5,EL,Southern,1.02,0.14070529413628968,1,1,1.6155875778991045,1,5.900967351896721,2,7
EL6,EL,Southern,1.01,0.1,1,1,1.750311428497689,1,5.924451331446697,2,7
ES1,ES,Southern,3.83,4.385593955604456,1,16.52499999999999,0.8941704043362898,1,1.4959447958711163,3,7
ES2,ES,Southern,6.55,5.536609107029356,1,20,0.9975323833754778,1,1.72075103618171,5,7
ES3,ES,Southern,4.9,5.516733039974241,1,21.574999999999974,0.87130048089121,0.98,1.4907313042364607,1,7
ES4,ES,Southern,5.12,6.189401172059125,1,25.049999999999983,0.9957235711374434,0.99,1.842055295764792,6,7
ES5,ES,Southern,6.83,6.9892485976388015,1,27.574999999999974,1.3404721476743564,1,2.1241096974128553,4,7
ES6,ES,Southern,4.67,3.626654968786838,0,13.049999999999983,1.4004773065056708,0.96,2.3117626872550634,3,7
ES7,ES,Southern,2.8,3.2844906435973886,0,12,0.703943264759619,0.75,1.2111414859616376,1,7
FI1,FI,Northern,14.28,8.408845751272102,3,31.52499999999999,0.8783909004195701,1,1.4676341942700073,1,7
