i,j,from_nuts1,to_nuts1,from_country,to_country,from_group,to_group,same_country,same_group,pip,w_mean,mult,is_queen,is_knn,dist_km
1,2,AT1,AT2,AT,AT,Western,Western,TRUE,TRUE,0.19,0.015384,0.025583,TRUE,TRUE,109.991318
1,3,AT1,AT3,AT,AT,Western,Western,TRUE,TRUE,0.15,0.012264,0.021284,TRUE,TRUE,187.784521
1,4,AT1,BE1,AT,BE,Western,Western,FALSE,TRUE,0.21,0.015854,0.02108,FALSE,FALSE,896.326124
1,5,AT1,BE2,AT,BE,Western,Western,FALSE,TRUE,0.2,0.010805,0.020256,FALSE,FALSE,914.736476
1,6,AT1,BE3,AT,BE,Western,Western,FALSE,TRUE,0.18,0.03091,0.034161,FALSE,FALSE,819.95063
1,7,AT1,BG3,AT,BG,Western,CEE,FALSE,FALSE,0.17,0.010695,0.01598,FALSE,FALSE,879.994085
1,8,AT1,BG4,AT,BG,Western,CEE,FALSE,FALSE,0.2,0.01428,0.021379,FALSE,FALSE,928.022384
1,9,AT1,CY0,AT,CY,Western,Southern,FALSE,FALSE,0.17,0.011396,0.019593,FALSE,FALSE,2007.311372
1,10,AT1,CZ0,AT,CZ,Western,CEE,FALSE,FALSE,0.19,0.013783,0.031717,TRUE,TRUE,208.779709
1,11,AT1,DE1,AT,DE,Western,Western,FALSE,TRUE,0.17,0.01101,0.022887,FALSE,FALSE,510.740797
1,12,AT1,DE2,AT,DE,Western,Western,FALSE,TRUE,0.2,0.010866,0.021088,FALSE,FALSE,301.692619
1,13,AT1,DE3,AT,DE,Western,Western,FALSE,TRUE,0.19,0.014918,0.021436,FALSE,FALSE,545.296224
1,14,AT1,DE4,AT,DE,Western,Western,FALSE,TRUE,0.25,0.022137,0.028571,FALSE,FALSE,559.564195
1,15,AT1,DE5,AT,DE,Western,Western,FALSE,TRUE,0.13,0.009358,0.018254,FALSE,FALSE,766.526901
1,16,AT1,DE6,AT,DE,Western,Western,FALSE,TRUE,0.19,0.010881,0.017806,FALSE,FALSE,758.180838
1,17,AT1,DE7,AT,DE,Western,Western,FALSE,TRUE,0.17,0.008225,0.016763,FALSE,FALSE,577.522241
1,18,AT1,DE8,AT,DE,Western,Western,FALSE,TRUE,0.21,0.012221,0.022594,FALSE,FALSE,711.175474
1,19,AT1,DE9,AT,DE,Western,Western,FALSE,TRUE,0.21,0.012482,0.022396,FALSE,FALSE,725.485193
1,20,AT1,DEA,AT,DE,Western,Western,FALSE,TRUE,0.15,0.014802,0.024233,FALSE,FALSE,715.214497
1,21,AT1,DEB,AT,DE,Western,Western,FALSE,TRUE,0.17,0.011049,0.020861,FALSE,FALSE,668.070517
1,22,AT1,DEC,AT,DE,Western,Western,FALSE,TRUE,0.15,0.006851,0.021208,FALSE,FALSE,675.527238
1,23,AT1,DED,AT,DE,Western,Western,FALSE,TRUE,0.16,0.016968,0.028326,FALSE,FALSE,378.4763
1,24,AT1,DEE,AT,DE,Western,Western,FALSE,TRUE,0.17,0.0116,0.0196,FALSE,FALSE,546.774088
1,25,AT1,DEF,AT,DE,Western,Western,FALSE,TRUE,0.18,0.011147,0.023311,FALSE,FALSE,809.781699
1,26,AT1,DEG,AT,DE,Western,Western,FALSE,TRUE,0.15,0.011694,0.023127,FALSE,FALSE,472.968093
1,27,AT1,DK0,AT,DK,Western,Northern,FALSE,FALSE,0.19,0.011797,0.021624,FALSE,FALSE,1032.431564
1,28,AT1,EE0,AT,EE,Western,Baltics,FALSE,FALSE,0.15,0.008806,0.016105,FALSE,FALSE,1372.129684
1,29,AT1,EL3,AT,EL,Western,Southern,FALSE,FALSE,0.14,0.008431,0.053272,FALSE,FALSE,1255.285793
1,30,AT1,EL4,AT,EL,Western,Southern,FALSE,FALSE,0.16,0.01001,0.044682,FALSE,FALSE,1577.964708
1,31,AT1,EL5,AT,EL,Western,Southern,FALSE,FALSE,0.13,0.007645,0.05547,FALSE,FALSE,934.466705
1,32,AT1,EL6,AT,EL,Western,Southern,FALSE,FALSE,0.14,0.009788,0.055659,FALSE,FALSE,1087.141301
1,33,AT1,ES1,AT,ES,Western,Southern,FALSE,FALSE,0.11,0.007006,0.018815,FALSE,FALSE,1678.544473
1,34,AT1,ES2,AT,ES,Western,Southern,FALSE,FALSE,0.22,0.018303,0.026541,FALSE,FALSE,1464.132686
1,35,AT1,ES3,AT,ES,Western,Southern,FALSE,FALSE,0.13,0.006883,0.019238,FALSE,FALSE,1761.895337
1,36,AT1,ES4,AT,ES,Western,Southern,FALSE,FALSE,0.26,0.019991,0.031631,FALSE,FALSE,1905.515429
1,37,AT1,ES5,AT,ES,Western,Southern,FALSE,FALSE,0.25,0.020132,0.034848,FALSE,FALSE,1381.083907
1,38,AT1,ES6,AT,ES,Western,Southern,FALSE,FALSE,0.15,0.012264,0.028957,FALSE,FALSE,1965.607355
1,39,AT1,ES7,AT,ES,Western,Southern,FALSE,FALSE,0.19,0.012772,0.019317,FALSE,FALSE,3505.946864
1,40,AT1,FI1,AT,FI,Western,Northern,FALSE,FALSE,0.23,0.014415,0.024091,FALSE,FALSE,1998.3911
1,41,AT1,FI2,AT,FI,Western,Northern,FALSE,FALSE,0.16,0.008314,0.013177,FALSE,FALSE,1398.362025
1,42,AT1,FR1,AT,FR,Western,Western,FALSE,TRUE,0.18,0.012118,0.021209,FALSE,FALSE,991.194173
1,43,AT1,FRB,AT,FR,Western,Western,FALSE,TRUE,0.15,0.009606,0.022694,FALSE,FALSE,1069.824902
1,44,AT1,FRC,AT,FR,Western,Western,FALSE,TRUE,0.18,0.010443,0.02168,FALSE,FALSE,821.231659
1,45,AT1,FRD,AT,FR,Western,Western,FALSE,TRUE,0.24,0.02525,0.030973,FALSE,FALSE,1174.991383
1,46,AT1,FRE,AT,FR,Western,Western,FALSE,TRUE,0.24,0.016473,0.025177,FALSE,FALSE,973.097132
1,47,AT1,FRF,AT,FR,Western,Western,FALSE,TRUE,0.16,0.011023,0.022838,FALSE,FALSE,752.308153
1,48,AT1,FRG,AT,FR,Western,Western,FALSE,TRUE,0.11,0.00586,0.018903,FALSE,FALSE,1270.41177
1,49,AT1,FRH,AT,FR,Western,Western,FALSE,TRUE,0.15,0.012696,0.02208,FALSE,FALSE,1385.74389
1,50,AT1,FRI,AT,FR,Western,Western,FALSE,TRUE,0.15,0.012351000000000001,0.023264,FALSE,FALSE,1221.068388
1,51,AT1,FRJ,AT,FR,Western,Western,FALSE,TRUE,0.14,0.007599,0.017923,FALSE,FALSE,1153.638053
1,52,AT1,FRK,AT,FR,Western,Western,FALSE,TRUE,0.17,0.016402,0.024715,FALSE,FALSE,894.828007
1,53,AT1,FRL,AT,FR,Western,Western,FALSE,TRUE,0.1,0.006601,0.017587,FALSE,FALSE,868.672062
1,54,AT1,FRM,AT,FR,Western,Western,FALSE,TRUE,0.19,0.00964,0.018668,FALSE,FALSE,835.449194
1,55,AT1,HU1,AT,HU,Western,CEE,FALSE,FALSE,0.05,0.002734,0.031634,FALSE,TRUE,263.664739
1,56,AT1,HU2,AT,HU,Western,CEE,FALSE,FALSE,0.06,0.003521,0.020893,TRUE,TRUE,173.622306
1,57,AT1,HU3,AT,HU,Western,CEE,FALSE,FALSE,0.11,0.006256,0.045183,FALSE,FALSE,385.659813
1,58,AT1,IE0,AT,IE,Western,Western,FALSE,TRUE,0.12,0.005057,0.009961,FALSE,FALSE,1773.72807
1,59,AT1,ITC,AT,IT,Western,Southern,FALSE,FALSE,0.18,0.012272,0.021094,FALSE,FALSE,612.464886
1,60,AT1,ITF,AT,IT,Western,Southern,FALSE,FALSE,0.17,0.010437,0.021161,FALSE,FALSE,831.451899
1,61,AT1,ITG,AT,IT,Western,Southern,FALSE,FALSE,0.13,0.008276,0.017361,FALSE,FALSE,1151.792589
1,62,AT1,ITH,AT,IT,Western,Southern,FALSE,FALSE,0.21,0.014271,0.023543,FALSE,FALSE,426.557242
1,63,AT1,ITI,AT,IT,Western,Southern,FALSE,FALSE,0.17,0.011161,0.020073,FALSE,FALSE,624.953997
1,64,AT1,LT0,AT,LT,Western,Baltics,FALSE,FALSE,0.13,0.008172,0.029258,FALSE,FALSE,983.503014
1,65,AT1,LU0,AT,LU,Western,Western,FALSE,TRUE,0.23,0.014465,0.020121,FALSE,FALSE,747.447757
1,66,AT1,LV0,AT,LV,Western,Baltics,FALSE,FALSE,0.16,0.011529,0.025571,FALSE,FALSE,1201.180466
1,67,AT1,MT0,AT,MT,Western,Southern,FALSE,FALSE,0.16,0.00921,0.018636,FALSE,FALSE,1317.289012
1,68,AT1,NL1,AT,NL,Western,Western,FALSE,TRUE,0.09,0.004137,0.012421,FALSE,FALSE,889.74598
1,69,AT1,NL2,AT,NL,Western,Western,FALSE,TRUE,0.2,0.01343,0.021214,FALSE,FALSE,846.312797
1,70,AT1,NL3,AT,NL,Western,Western,FALSE,TRUE,0.13,0.010461,0.019761,FALSE,FALSE,950.462851
1,71,AT1,NL4,AT,NL,Western,Western,FALSE,TRUE,0.2,0.015479,0.02299,FALSE,FALSE,827.633929
1,72,AT1,PL2,AT,PL,Western,CEE,FALSE,FALSE,0.12,0.005272,0.073609,FALSE,FALSE,379.550256
1,73,AT1,PL4,AT,PL,Western,CEE,FALSE,FALSE,0.13,0.006643,0.076235,FALSE,FALSE,562.258954
1,74,AT1,PL5,AT,PL,Western,CEE,FALSE,FALSE,0.09,0.005147,0.016456,FALSE,FALSE,344.579038
1,75,AT1,PL6,AT,PL,Western,CEE,FALSE,FALSE,0.1,0.005598,0.059434,FALSE,FALSE,676.064461
1,76,AT1,PL7,AT,PL,Western,CEE,FALSE,FALSE,0.16,0.010733,0.018896,FALSE,FALSE,465.044568
1,77,AT1,PL8,AT,PL,Western,CEE,FALSE,FALSE,0.16,0.009115,0.051471,FALSE,FALSE,653.408011
1,78,AT1,PL9,AT,PL,Western,CEE,FALSE,FALSE,0.13,0.005966,0.027624,FALSE,FALSE,630.133106
1,79,AT1,PT1,AT,PT,Western,Southern,FALSE,FALSE,0.21,0.013705,0.022213,FALSE,FALSE,2153.989622
1,80,AT1,PT2,AT,PT,Western,Southern,FALSE,FALSE,0.18,0.013515,0.020187,FALSE,FALSE,3491.823304
1,81,AT1,PT3,AT,PT,Western,Southern,FALSE,FALSE,0.1,0.008479,0.014477,FALSE,FALSE,3199.006596
1,82,AT1,RO1,AT,RO,Western,CEE,FALSE,FALSE,0.11,0.005733,0.072253,FALSE,FALSE,615.971757
1,83,AT1,RO2,AT,RO,Western,CEE,FALSE,FALSE,0.18,0.0099,0.032543,FALSE,FALSE,889.37373
1,84,AT1,RO3,AT,RO,Western,CEE,FALSE,FALSE,0.08,0.003259,0.039939,FALSE,FALSE,878.38196
1,85,AT1,RO4,AT,RO,Western,CEE,FALSE,FALSE,0.17,0.009595,0.044538,FALSE,FALSE,601.79503
1,86,AT1,SE1,AT,SE,Western,Northern,FALSE,FALSE,0.14,0.007407,0.034172,FALSE,FALSE,1257.33403
1,87,AT1,SE2,AT,SE,Western,Northern,FALSE,FALSE,0.08,0.00376,0.057548,FALSE,FALSE,1046.650153
1,88,AT1,SE3,AT,SE,Western,Northern,FALSE,FALSE,0.12,0.005493,0.040379,FALSE,FALSE,1782.534964
1,89,AT1,SI0,AT,SI,Western,CEE,FALSE,FALSE,0.26,0.03023,0.03315,TRUE,TRUE,214.209371
1,90,AT1,SK0,AT,SK,Western,CEE,FALSE,FALSE,0.2,0.015381,0.019085,TRUE,TRUE,235.56018
2,1,AT2,AT1,AT,AT,Western,Western,TRUE,TRUE,0.11,0.013694,0.021116,TRUE,TRUE,109.991318
2,3,AT2,AT3,AT,AT,Western,Western,TRUE,TRUE,0.14,0.02483,0.031236,TRUE,TRUE,142.419959
2,4,AT2,BE1,AT,BE,Western,Western,FALSE,TRUE,0.07,0.009335,0.019858,FALSE,FALSE,883.580845
