parameter,chain,seed,niter,nretain,mean,sd,q025,q975,ess,geweke_z,runtime_sec,gelman_psrf
intercept,paper_exact,571,200,100,0.17650896872545208,0.010898579209102938,0.15548424818174195,0.19844189664882594,52.91092444798344,-0.23815308797167858,350.4,1.0168
log initial GVA per worker,paper_exact,571,200,100,-0.01692197495654622,0.0011716721207795325,-0.019340579756383924,-0.014972655912122618,56.004720857333425,0.7163274332406807,350.4,1.0228
share low education,paper_exact,571,200,100,3.5695253957080906e-5,5.3416927007605584e-5,-6.110644822866784e-5,1.4463052837157092e-4,49.38786693057568,-2.0941647943741613,350.4,1.0073
share high education,paper_exact,571,200,100,4.41289521112514e-4,1.0959227748658932e-4,2.3096977995295953e-4,6.602182014867067e-4,122.19273021709404,-0.7697192750253209,350.4,1.0136
rho,paper_exact,571,200,100,0.7132203389830508,0.0157382918386261,0.6860169491525424,0.7457627118644068,26.53267156868044,-3.7442520887547337,350.4,0.9998
sigma2,paper_exact,571,200,100,5.285106640429617e-4,2.2704334080353962e-5,4.909414528619908e-4,5.71083990793713e-4,54.0304179055727,3.2905640449197153,350.4,1.0114
intercept,robustness_a,20260731,400,200,0.18177908649223,0.015246404745224151,0.15413942170948458,0.21168261974402333,45.67045067979985,-0.493446985903989,846.8,1.0168
log initial GVA per worker,robustness_a,20260731,400,200,-0.01741796702988543,0.0016228354321500007,-0.020838890311766948,-0.014349321400412413,47.78203547322347,0.7547656147365099,846.8,1.0228
share low education,robustness_a,20260731,400,200,3.966956652619884e-5,5.47775390832188e-5,-7.380839753554946e-5,1.4367097797725442e-4,61.298715511854304,-0.8119910661942495,846.8,1.0073
share high education,robustness_a,20260731,400,200,4.3446390478894456e-4,1.2002382642313797e-4,2.0225649365303988e-4,6.62160576656047e-4,84.29673121675395,-1.9628143257378974,846.8,1.0136
rho,robustness_a,20260731,400,200,0.7130508474576271,0.01677880497730789,0.6779661016949152,0.7457627118644068,34.76344403977317,-3.450936866339894,846.8,0.9998
sigma2,robustness_a,20260731,400,200,5.268694001416851e-4,2.0305942967875255e-5,4.912094586312537e-4,5.638913225998102e-4,95.33664798092612,-0.9751222927864397,846.8,1.0114
intercept,robustness_b,20260732,400,200,0.18028469829492225,0.012756823166537017,0.15610965217889097,0.20329894444653035,115.00603338251352,2.0966423251660773,811.4,1.0168
log initial GVA per worker,robustness_b,20260732,400,200,-0.017245917855148334,0.001317134414147241,-0.019836895876160072,-0.014988092845574428,120.9185108149642,-1.961200054556825,811.4,1.0228
share low education,robustness_b,20260732,400,200,3.226715523637669e-5,5.1118005468874716e-5,-6.812731648883165e-5,1.2199787391327439e-4,60.062213329387944,1.656690102300938,811.4,1.0073
share high education,robustness_b,20260732,400,200,4.320581141105863e-4,9.995769793471473e-5,2.3402727589657809e-4,6.369255033022277e-4,130.86688163981412,-0.7256310820984201,811.4,1.0136
rho,robustness_b,20260732,400,200,0.7139830508474576,0.016024294084050504,0.6779661016949152,0.7457627118644068,28.427198672781465,-1.6375605550783108,811.4,0.9998
sigma2,robustness_b,20260732,400,200,5.234856454494507e-4,2.2295468916725645e-5,4.811228814448823e-4,5.685154098514307e-4,108.8380233053533,1.638978699164592,811.4,1.0114
