from_country,to_country,from_group,to_group,w_flow,mult_flow,w_share,mult_share,in_top_w,in_top_mult
AT,AT,Western,Western,0.094595,0.14536,0.001057,6.87e-4,FALSE,FALSE
AT,BE,Western,Western,0.141306,0.210987,0.0015790000000000001,9.98e-4,TRUE,FALSE
AT,BG,Western,CEE,0.083418,0.122203,9.32e-4,5.78e-4,FALSE,FALSE
AT,CY,Western,Southern,0.038944,0.060759,4.35e-4,2.87e-4,FALSE,FALSE
AT,CZ,Western,CEE,0.036472,0.090547,4.08e-4,4.28e-4,FALSE,FALSE
AT,DE,Western,Western,0.606773,1.073967,0.006781,0.005078,TRUE,TRUE
AT,DK,Western,Northern,0.035747,0.059796,4e-4,2.83e-4,FALSE,FALSE
AT,EE,Western,Baltics,0.040136,0.05787,4.49e-4,2.74e-4,FALSE,FALSE
AT,EL,Western,Southern,0.086437,0.58103,9.66e-4,0.002747,FALSE,TRUE
AT,ES,Western,Southern,0.24444,0.487162,0.002732,0.002303,TRUE,TRUE
AT,FI,Western,Northern,0.066968,0.110087,7.48e-4,5.21e-4,FALSE,FALSE
AT,FR,Western,Western,0.523129,0.90667,0.005846,0.004287,TRUE,TRUE
AT,HU,Western,CEE,0.051842,0.32068,5.79e-4,0.001516,FALSE,TRUE
AT,IE,Western,Western,0.031071,0.041772,3.47e-4,1.98e-4,FALSE,FALSE
AT,IT,Western,Southern,0.140021,0.280001,0.001565,0.001324,TRUE,FALSE
AT,LT,Western,Baltics,0.031643,0.101396,3.54e-4,4.79e-4,FALSE,FALSE
AT,LU,Western,Western,0.042231,0.059341,4.72e-4,2.81e-4,FALSE,FALSE
AT,LV,Western,Baltics,0.048411,0.092314,5.41e-4,4.36e-4,FALSE,FALSE
AT,MT,Western,Southern,0.029543,0.06102,3.3e-4,2.89e-4,FALSE,FALSE
AT,NL,Western,Western,0.138718,0.237947,0.00155,0.001125,TRUE,FALSE
AT,PL,Western,CEE,0.126658,0.93143,0.001415,0.004404,TRUE,TRUE
AT,PT,Western,Southern,0.094131,0.159692,0.001052,7.55e-4,FALSE,FALSE
AT,RO,Western,CEE,0.095336,0.597163,0.001065,0.002824,FALSE,TRUE
AT,SE,Western,Northern,0.069151,0.443766,7.73e-4,0.002098,FALSE,TRUE
AT,SI,Western,CEE,0.06406,0.082006,7.16e-4,3.88e-4,FALSE,FALSE
AT,SK,Western,CEE,0.038819,0.05428,4.34e-4,2.57e-4,FALSE,FALSE
BE,AT,Western,Western,0.229626,0.286055,0.002566,0.001353,TRUE,FALSE
BE,BE,Western,Western,0.062682,0.122376,7.01e-4,5.79e-4,FALSE,FALSE
BE,BG,Western,CEE,0.048641,0.098784,5.44e-4,4.67e-4,FALSE,FALSE
BE,CY,Western,Southern,0.027271,0.052397,3.05e-4,2.48e-4,FALSE,FALSE
BE,CZ,Western,CEE,0.018818,0.074886,2.1e-4,3.54e-4,FALSE,FALSE
BE,DE,Western,Western,0.581428,1.095244,0.006498,0.005179,TRUE,TRUE
BE,DK,Western,Northern,0.037595,0.06468,4.2e-4,3.06e-4,FALSE,FALSE
BE,EE,Western,Baltics,0.040309,0.057494,4.5e-4,2.72e-4,FALSE,FALSE
BE,EL,Western,Southern,0.064457,0.553086,7.2e-4,0.002615,FALSE,TRUE
BE,ES,Western,Southern,0.252299,0.511513,0.00282,0.002419,TRUE,TRUE
BE,FI,Western,Northern,0.075152,0.120558,8.4e-4,5.7e-4,FALSE,FALSE
BE,FR,Western,Western,0.560256,0.966317,0.006261,0.004569,TRUE,TRUE
BE,HU,Western,CEE,0.043808,0.292777,4.9e-4,0.001384,FALSE,FALSE
BE,IE,Western,Western,0.036743,0.048415,4.11e-4,2.29e-4,FALSE,FALSE
BE,IT,Western,Southern,0.195503,0.332828,0.002185,0.001574,TRUE,TRUE
BE,LT,Western,Baltics,0.016519,0.078019,1.85e-4,3.69e-4,FALSE,FALSE
