nuts1,country,country_group,country_col,name_latn,centroid_x,centroid_y,area_km2,queen_degree,queen_repaired,knn_k,in_map_frame
AT1,AT,Western,#7FD8CD,Ostösterreich,4758885.661059842,2769433.5115,23651.6,6,FALSE,7,TRUE
AT2,AT,Western,#7FD8CD,Südösterreich,4701138.9170456305,2675820.4589,25780,4,FALSE,7,TRUE
AT3,AT,Western,#7FD8CD,Westösterreich,4573562.7837475445,2739127.4487499995,34419.5,6,FALSE,7,TRUE
BE1,BE,Western,#6EC5B8,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,3924976.382031628,3098060.7084999997,158.9,1,FALSE,7,TRUE
BE2,BE,Western,#6EC5B8,Vlaams Gewest,3914094.3066489133,3120247.4048000006,13660.8,5,FALSE,7,TRUE
BE3,BE,Western,#6EC5B8,Région wallonne,3977622.0245416183,3018323.37985,16935.2,7,FALSE,7,TRUE
BG3,BG,CEE,#FF9AA2,Severna i Yugoiztochna Bulgaria,5544537.669246545,2373023.987349999,68434.2,4,FALSE,7,TRUE
BG4,BG,CEE,#FF9AA2,Yugozapadna i Yuzhna tsentralna Bulgaria,5507748.055536231,2221317.9579,42955.8,2,FALSE,7,TRUE
CY0,CY,Southern,#F7C59F,Kýpros,6442934.445549877,1677060.57285,9241,1,TRUE,7,TRUE
CZ0,CZ,CEE,#F3888E,Česko,4730383.413791269,2976258.53075,78896.9,7,FALSE,7,TRUE
DE1,DE,Western,#5EB3A3,Baden-Württemberg,4253065.162208757,2840156.80805,36049.9,5,FALSE,7,TRUE
DE2,DE,Western,#5EB3A3,Bayern,4473092.327693063,2866080.3263500007,70328.1,6,FALSE,7,TRUE
DE3,DE,Western,#5EB3A3,Berlin,4551001.394751936,3273548.6809,879.9,1,FALSE,7,TRUE
DE4,DE,Western,#5EB3A3,Brandenburg,4502485.375122509,3266797.545050001,29424.2,6,FALSE,7,TRUE
DE5,DE,Western,#5EB3A3,Bremen,4241491.52531198,3335001.18965,385.8,1,FALSE,7,TRUE
DE6,DE,Western,#5EB3A3,Hamburg,4321376.079175221,3388645.5507000005,770.5,2,FALSE,7,TRUE
DE7,DE,Western,#5EB3A3,Hessen,4255180.325956999,3051945.23625,21066.7,6,FALSE,7,TRUE
