half,model,fn,dataset,W_source,n,tt,niter,rho_mean,rho_sd,sigma2_mean,n_beta,mean_degree,has_impacts,runtime_sec
estimated_W,SAR,sarw(),"simulated n=25, T=15",estimated,25,15,400,0.16915254237288135,0.06783833142629972,0.9902851926758687,2,3.0792,TRUE,29.1
estimated_W,SDM,sdmw(),"simulated n=25, T=15",estimated,25,15,400,0.41415254237288135,0.026573251550570238,0.0712950504851148,4,2.932,TRUE,31.9
estimated_W,SEM,semw(),"simulated n=25, T=15",estimated,25,15,400,0.11228813559322035,0.07033485261904675,1.0271178872138198,2,2.8704,FALSE,31.3
estimated_W,SDEM,sdemw(),"simulated n=25, T=15",estimated,25,15,400,0.43745762711864405,0.06607974319876275,0.15200798842374663,4,3.0488,FALSE,32.7
estimated_W,SLX,slxw(),"simulated n=25, T=15",estimated,25,15,400,NA,NA,0.2084425723781319,4,2.9926,FALSE,13.2
exogenous_W,SAR,sar(),"nuts1growth n=90, T=19",queen,90,19,2000,0.6068474576271187,0.01633209391750213,8.805894639273413e-4,4,3.8,TRUE,6.7
exogenous_W,SAR,sar(),"nuts1growth n=90, T=19",knn7,90,19,2000,0.718593220338983,0.019800468016804622,9.645050143642754e-4,4,7,TRUE,6.5
exogenous_W,SDM,sdm(),"nuts1growth n=90, T=19",queen,90,19,2000,0.623864406779661,0.016590217124858694,8.608280648497221e-4,7,3.8,TRUE,6.7
exogenous_W,SEM,sem(),"nuts1growth n=90, T=19",queen,90,19,2000,0.6323559322033898,0.016190046908877164,8.581463142155501e-4,4,3.8,FALSE,9.2
exogenous_W,SDEM,sdem(),"nuts1growth n=90, T=19",queen,90,19,2000,0.6335254237288136,0.01723613107252807,8.571281750744625e-4,7,3.8,FALSE,9.6
exogenous_W,SLX,slx(),"nuts1growth n=90, T=19",queen,90,19,2000,NA,NA,0.001744108587668405,7,3.8,FALSE,0.6
