parameter,block,mean,sd,q025,q500,q975,ess,geweke_z,mcse
intercept,beta,0.17650896872545208,0.010898579209102938,0.15548424818174195,0.1756607143246296,0.19844189664882594,52.91092444798344,-0.23815308797167858,0.0014982945858420837
log initial GVA per worker,beta,-0.01692197495654622,0.0011716721207795325,-0.019340579756383924,-0.01687355023888191,-0.014972655912122618,56.004720857333425,0.7163274332406807,1.5656467391477483e-4
share low education,beta,3.5695253957080906e-5,5.3416927007605584e-5,-6.110644822866784e-5,3.1224757790447916e-5,1.4463052837157092e-4,49.38786693057568,-2.0941647943741613,7.60096557246624e-6
share high education,beta,4.41289521112514e-4,1.0959227748658932e-4,2.3096977995295953e-4,4.328770647158169e-4,6.602182014867067e-4,122.19273021709404,-0.7697192750253209,9.914190692563642e-6
rho,rho,0.7132203389830508,0.0157382918386261,0.6860169491525424,0.711864406779661,0.7457627118644068,26.53267156868044,-3.7442520887547337,0.0030553931713726405
sigma2,sigma2,5.285106640429617e-4,2.2704334080353962e-5,4.909414528619908e-4,5.259722429961976e-4,5.71083990793713e-4,54.0304179055727,3.2905640449197153,3.0887986955515993e-6
log initial GVA per worker,direct,-0.018796622925969588,0.0012510035244528077,-0.021440751701730557,-0.018800643864324916,-0.016680928224348357,55.341334382775024,1.0125683848166522,1.681642675153014e-4
share low education,direct,3.961048644390203e-5,5.926680070928147e-5,-6.780855844838969e-5,3.486244274717634e-5,1.6020303195305051e-4,49.20565496110941,-2.0968270115729086,8.448974039314601e-6
share high education,direct,4.902594734695813e-4,1.2166753314737399e-4,2.5667149188740026e-4,4.791759528537468e-4,7.280418114956736e-4,122.12626334298604,-0.8688394054635011,1.100956520632579e-5
log initial GVA per worker,indirect,-0.03972308698019536,0.0038553275799792226,-0.04693470757823077,-0.03979881568849128,-0.03329507075922569,37.173213831349514,8.557640458415618,6.323335575991392e-4
share low education,indirect,8.425793894030839e-5,1.243389942222477e-4,-1.3101197685514473e-4,7.737434461027086e-5,3.335897810071903e-4,49.39343486773919,-1.6272343796061493,1.7691829111971415e-5
share high education,indirect,0.00103648100769317,2.6379787951017787e-4,4.896856728387411e-4,0.0010743722578261308,0.001517916802343398,96.60588115213407,-3.3347317005326995,2.683919694500909e-5
log initial GVA per worker,total,-0.058519709906164945,0.004723752918883572,-0.06705603195545265,-0.05895785848590094,-0.050645415643744376,42.52889076710071,3.4602519810427204,7.243444643381215e-4
share low education,total,1.2386842538421043e-4,1.8346408007423776e-4,-1.9847776918224553e-4,1.129045037117641e-4,4.937928129602407e-4,49.30654039811669,-1.5939129765216857,2.6127555682197124e-5
share high education,total,0.0015267404811627513,3.816018131518822e-4,7.460135841165073e-4,0.00155183394806496,0.0022464767257516843,106.75255643302368,-2.5494238982632114,3.6933569911585853e-5
