case,n,kbar,k,m_k,p_k,expected_k
(a) No shrinkage,30,5,0,1,1.862645149230957e-9,14.5
(a) No shrinkage,30,5,1,1,5.4016709327697754e-8,14.5
(a) No shrinkage,30,5,2,1,7.562339305877686e-7,14.5
(a) No shrinkage,30,5,3,1,6.806105375289917e-6,14.5
(a) No shrinkage,30,5,4,1,4.423968493938446e-5,14.5
(a) No shrinkage,30,5,5,1,2.211984246969223e-4,14.5
(a) No shrinkage,30,5,6,1,8.847936987876892e-4,14.5
(a) No shrinkage,30,5,7,1,0.002907179296016693,14.5
(a) No shrinkage,30,5,8,1,0.007994743064045906,14.5
(a) No shrinkage,30,5,9,1,0.01865440048277378,14.5
(a) No shrinkage,30,5,10,1,0.03730880096554756,14.5
(a) No shrinkage,30,5,11,1,0.0644424743950367,14.5
(a) No shrinkage,30,5,12,1,0.09666371159255505,14.5
(a) No shrinkage,30,5,13,1,0.12640639208257198,14.5
(a) No shrinkage,30,5,14,1,0.14446444809436798,14.5
(a) No shrinkage,30,5,15,1,0.14446444809436798,14.5
(a) No shrinkage,30,5,16,1,0.12640639208257198,14.5
(a) No shrinkage,30,5,17,1,0.09666371159255505,14.5
(a) No shrinkage,30,5,18,1,0.0644424743950367,14.5
(a) No shrinkage,30,5,19,1,0.03730880096554756,14.5
(a) No shrinkage,30,5,20,1,0.01865440048277378,14.5
(a) No shrinkage,30,5,21,1,0.007994743064045906,14.5
(a) No shrinkage,30,5,22,1,0.002907179296016693,14.5
(a) No shrinkage,30,5,23,1,8.847936987876892e-4,14.5
(a) No shrinkage,30,5,24,1,2.211984246969223e-4,14.5
(a) No shrinkage,30,5,25,1,4.423968493938446e-5,14.5
(a) No shrinkage,30,5,26,1,6.806105375289917e-6,14.5
(a) No shrinkage,30,5,27,1,7.562339305877686e-7,14.5
(a) No shrinkage,30,5,28,1,5.4016709327697754e-8,14.5
(a) No shrinkage,30,5,29,1,1.862645149230957e-9,14.5
(b) Package default: a = b = 1,30,5,0,1,0.03333333333333333,14.500000000000002
(b) Package default: a = b = 1,30,5,1,0.034482758620689655,0.03333333333333333,14.500000000000002
(b) Package default: a = b = 1,30,5,2,0.0024630541871921183,0.03333333333333333,14.500000000000002
(b) Package default: a = b = 1,30,5,3,2.73672687465791e-4,0.03333333333333334,14.500000000000002
(b) Package default: a = b = 1,30,5,4,4.2103490379352454e-5,0.03333333333333334,14.500000000000002
(b) Package default: a = b = 1,30,5,5,8.42069807587049e-6,0.03333333333333333,14.500000000000002
(b) Package default: a = b = 1,30,5,6,2.1051745189676228e-6,0.03333333333333334,14.500000000000002
(b) Package default: a = b = 1,30,5,7,6.407052883814504e-7,0.03333333333333334,14.500000000000002
(b) Package default: a = b = 1,30,5,8,2.329837412296183e-7,0.03333333333333333,14.500000000000002
(b) Package default: a = b = 1,30,5,9,9.985017481269356e-8,0.03333333333333333,14.500000000000002
(b) Package default: a = b = 1,30,5,10,4.992508740634679e-8,0.03333333333333334,14.500000000000002
(b) Package default: a = b = 1,30,5,11,2.8903997972095507e-8,0.03333333333333334,14.500000000000002
(b) Package default: a = b = 1,30,5,12,1.9269331981397e-8,0.03333333333333333,14.500000000000002
(b) Package default: a = b = 1,30,5,13,1.4735371515185943e-8,0.03333333333333333,14.500000000000002
(b) Package default: a = b = 1,30,5,14,1.2893450075787702e-8,0.03333333333333334,14.500000000000002
(b) Package default: a = b = 1,30,5,15,1.28934500757877e-8,0.03333333333333333,14.500000000000002
(b) Package default: a = b = 1,30,5,16,1.4735371515185943e-8,0.03333333333333333,14.500000000000002
(b) Package default: a = b = 1,30,5,17,1.9269331981397004e-8,0.03333333333333334,14.500000000000002
(b) Package default: a = b = 1,30,5,18,2.8903997972095507e-8,0.03333333333333334,14.500000000000002
(b) Package default: a = b = 1,30,5,19,4.992508740634678e-8,0.03333333333333333,14.500000000000002
(b) Package default: a = b = 1,30,5,20,9.985017481269356e-8,0.03333333333333333,14.500000000000002
(b) Package default: a = b = 1,30,5,21,2.329837412296183e-7,0.03333333333333333,14.500000000000002
(b) Package default: a = b = 1,30,5,22,6.407052883814504e-7,0.03333333333333334,14.500000000000002
(b) Package default: a = b = 1,30,5,23,2.1051745189676224e-6,0.03333333333333333,14.500000000000002
(b) Package default: a = b = 1,30,5,24,8.42069807587049e-6,0.03333333333333333,14.500000000000002
(b) Package default: a = b = 1,30,5,25,4.2103490379352454e-5,0.03333333333333334,14.500000000000002
(b) Package default: a = b = 1,30,5,26,2.73672687465791e-4,0.03333333333333334,14.500000000000002
(b) Package default: a = b = 1,30,5,27,0.0024630541871921183,0.03333333333333333,14.500000000000002
(b) Package default: a = b = 1,30,5,28,0.034482758620689655,0.03333333333333333,14.500000000000002
(b) Package default: a = b = 1,30,5,29,1,0.03333333333333333,14.500000000000002
(c) Strong shrinkage: b = 4.80,30,5,0,1,0.14201183431952671,5.0000000000000195
(c) Strong shrinkage: b = 4.80,30,5,1,0.0304878048780485,0.12555924375811697,5.0000000000000195
(c) Strong shrinkage: b = 4.80,30,5,2,0.0019174720049087025,0.1105553089694107,5.0000000000000195
(c) Strong shrinkage: b = 4.80,30,5,3,1.867667537248757e-4,0.09691536825240656,5.0000000000000195
(c) Strong shrinkage: b = 4.80,30,5,4,2.50693629160907e-5,0.08455703270344198,5.0000000000000195
(c) Strong shrinkage: b = 4.80,30,5,5,4.352319950710192e-6,0.07340020199951562,5.0000000000000195
(c) Strong shrinkage: b = 4.80,30,5,6,9.393496296496996e-7,0.06336708086289239,5.0000000000000195
(c) Strong shrinkage: b = 4.80,30,5,7,2.45352515207009e-7,0.054382196262929575,5.0000000000000195
(c) Strong shrinkage: b = 4.80,30,5,8,7.607829928899438e-8,0.04637241541800156,5.0000000000000195
(c) Strong shrinkage: b = 4.80,30,5,9,2.760906022584503e-8,0.039266964668469476,5.0000000000000195
(c) Strong shrinkage: b = 4.80,30,5,10,1.1600445473043942e-8,0.03299744930123433,5.0000000000000195
(c) Strong shrinkage: b = 4.80,30,5,11,5.596706149275676e-9,0.02749787441769571,5.0000000000000195
(c) Strong shrinkage: b = 4.80,30,5,12,3.080755678500376e-9,0.022704666950390986,5.0000000000000195
(c) Strong shrinkage: b = 4.80,30,5,13,1.9254722990627166e-9,0.018556698949838607,5.0000000000000195
(c) Strong shrinkage: b = 4.80,30,5,14,1.3614450599433425e-9,0.014995312282697949,5.0000000000000195
(c) Strong shrinkage: b = 4.80,30,5,15,1.0862593563377697e-9,0.011964344906407898,5.0000000000000195
(c) Strong shrinkage: b = 4.80,30,5,16,9.764129045732705e-10,0.009410158915152223,5.0000000000000195
(c) Strong shrinkage: b = 4.80,30,5,17,9.880368677229551e-10,0.0072816705891059095,5.0000000000000195
(c) Strong shrinkage: b = 4.80,30,5,18,1.1256116214565374e-9,0.005530382725903253,5.0000000000000195
(c) Strong shrinkage: b = 4.80,30,5,19,1.4450419464644681e-9,0.004110419593576726,5.0000000000000195
(c) Strong shrinkage: b = 4.80,30,5,20,2.094263690528218e-9,0.0029785649228816903,5.0000000000000195
(c) Strong shrinkage: b = 4.80,30,5,21,3.435901367272865e-9,0.0020943034614011933,5.0000000000000195
(c) Strong shrinkage: b = 4.80,30,5,22,6.405917803390087e-9,0.0014198667534923344,5.0000000000000195
(c) Strong shrinkage: b = 4.80,30,5,23,1.3642232359071446e-8,9.202840068931773e-4,5.0000000000000195
(c) Strong shrinkage: b = 4.80,30,5,24,3.340954863446077e-8,5.634391878937834e-4,5.0000000000000195
(c) Strong shrinkage: b = 4.80,30,5,25,9.491349043880905e-8,3.2013590221237706e-4,5.0000000000000195
(c) Strong shrinkage: b = 4.80,30,5,26,3.1637830146269694e-7,1.641722575448088e-4,5.0000000000000195
(c) Strong shrinkage: b = 4.80,30,5,27,1.2562079616901206e-6,7.242893715212155e-5,5.0000000000000195
(c) Strong shrinkage: b = 4.80,30,5,28,6.064452228848861e-6,2.49754955696971e-5,5.0000000000000195
(c) Strong shrinkage: b = 4.80,30,5,29,3.663939888262855e-5,5.2032282436868985e-6,5.0000000000000195
(a) No shrinkage,90,7,0,1,1.6155871338926322e-27,44.5
(a) No shrinkage,90,7,1,1,1.4378725491644426e-25,44.5
(a) No shrinkage,90,7,2,1,6.3266392163235476e-24,44.5
(a) No shrinkage,90,7,3,1,1.8347253727338288e-22,44.5
(a) No shrinkage,90,7,4,1,3.944659551377732e-21,44.5
(a) No shrinkage,90,7,5,1,6.705921237342144e-20,44.5
(a) No shrinkage,90,7,6,1,9.388289732279002e-19,44.5
(a) No shrinkage,90,7,7,1,1.113182925398796e-17,44.5
(a) No shrinkage,90,7,8,1,1.1410124985337659e-16,44.5
(a) No shrinkage,90,7,9,1,1.0269112486803893e-15,44.5
(a) No shrinkage,90,7,10,1,8.215289989443114e-15,44.5
(a) No shrinkage,90,7,11,1,5.900071901509146e-14,44.5
(a) No shrinkage,90,7,12,1,3.8350467359809446e-13,44.5
(a) No shrinkage,90,7,13,1,2.271527682081021e-12,44.5
(a) No shrinkage,90,7,14,1,1.2331150274154114e-11,44.5
(a) No shrinkage,90,7,15,1,6.165575137077057e-11,44.5
(a) No shrinkage,90,7,16,1,2.851578500898139e-10,44.5
(a) No shrinkage,90,7,17,1,1.2245013562680242e-9,44.5
(a) No shrinkage,90,7,18,1,4.898005425072097e-9,44.5
(a) No shrinkage,90,7,19,1,1.8303072904216785e-8,44.5
