metric,value,truth,q025,q975,covered
auc,0.9756383928571428,NA,NA,NA,NA
precision_at_0.5,0.9142857142857143,NA,NA,NA,NA
recall_at_0.5,0.6,NA,NA,NA,NA
accuracy_at_0.5,0.9532051282051283,NA,NA,NA,NA
youden_cut,0.063,NA,NA,NA,NA
recall_at_youden,0.9125,NA,NA,NA,NA
precision_at_youden,0.5703125,NA,NA,NA,NA
hamming_at_0.5,73,NA,NA,NA,NA
mean_degree,3.051075,4,NA,NA,NA
intercept,0.5842070087183389,0.5,0.54850055205806,0.6217771851006126,FALSE
beta_x,-1.0317279609905046,-1,-1.0532014888712256,-1.0094717846568444,FALSE
rho,0.5281525423728813,0.6,0.5084745762711864,0.5423728813559322,FALSE
sigma2,0.0636817247044937,0.05,0.05589601586420507,0.07250914466076028,FALSE
