quantity,paper_mean,paper_sd,our_mean,our_sd,our_mcse,our_ess,abs_diff,rel_diff_pct,paper_sd_units,mcse_units,sign_match,paper_precision,verdict
intercept,0.17651,0.0109,0.17650896872545208,0.010898579209102938,0.0014982945858420837,52.91092444798344,1.031274547924621e-6,5.842584261087876e-4,9.46123438462955e-5,6.882989217671208e-4,TRUE,1e-5,exact
log initial GVA per worker,-0.01692,0.00117,-0.01692197495654622,0.0011716721207795325,1.5656467391477483e-4,56.004720857333425,1.974956546219042e-6,0.011672320013114905,0.0016879970480504632,0.012614317756597503,TRUE,1e-5,exact
share low education,4e-5,5e-5,3.5695253957080906e-5,5.3416927007605584e-5,7.60096557246624e-6,49.38786693057568,4.304746042919097e-6,10.761865107297742,0.08609492085838194,0.5663419998259986,TRUE,1e-5,exact
share high education,4.4e-4,1.1e-4,4.41289521112514e-4,1.0959227748658932e-4,9.914190692563642e-6,122.19273021709404,1.2895211125140012e-6,0.2930729801168184,0.011722919204672737,0.13006821761873463,TRUE,1e-5,exact
rho,0.71322,0.01574,0.7132203389830508,0.0157382918386261,0.0030553931713726405,26.53267156868044,3.389830508515601e-7,4.7528539700451494e-5,2.153640729679543e-5,1.1094580364571262e-4,TRUE,1e-5,exact
sigma2,5.3e-4,2e-5,5.285106640429617e-4,2.2704334080353962e-5,3.0887986955515993e-6,54.0304179055727,1.4893359570382564e-6,0.28100678434684084,0.07446679785191282,0.482173201893395,TRUE,1e-5,exact
av. direct log initial GVA per worker,-0.0188,0.00125,-0.018796622925969588,0.0012510035244528077,1.681642675153014e-4,55.341334382775024,3.377074030412597e-6,0.017963159736237216,0.0027016592243300774,0.020081995303225245,TRUE,1e-5,exact
av. direct share low education,4e-5,6e-5,3.961048644390203e-5,5.926680070928147e-5,8.448974039314601e-6,49.20565496110941,3.895135560979762e-7,0.9737838902449404,0.006491892601632936,0.046101876308945834,TRUE,1e-5,exact
av. direct share high education,4.9e-4,1.2e-4,4.902594734695813e-4,1.2166753314737399e-4,1.100956520632579e-5,122.12626334298604,2.594734695813162e-7,0.052953769302309425,0.0021622789131776348,0.023568003342423545,TRUE,1e-5,exact
av. indirect log initial GVA per worker,-0.03972,0.00386,-0.03972308698019536,0.0038553275799792226,6.323335575991392e-4,37.173213831349514,3.0869801953617437e-6,0.007771853462642859,7.997358019071874e-4,0.004881885767825563,TRUE,1e-5,exact
av. indirect share low education,8e-5,1.2e-4,8.425793894030839e-5,1.243389942222477e-4,1.7691829111971415e-5,49.39343486773919,4.257938940308381e-6,5.322423675385475,0.035482824502569836,0.24067262425834698,TRUE,1e-5,exact
av. indirect share high education,0.00104,2.6e-4,0.00103648100769317,2.6379787951017787e-4,2.683919694500909e-5,96.60588115213407,3.518992306829902e-6,0.33836464488749063,0.013534585795499625,0.131113919467858,TRUE,1e-5,exact
