"dep_delay","arr_delay","air_time","origin","dest","carrier","month","day","hour"
-6,-21,76,"JFK","CLT","US",5,7,6
-10,3,106,"EWR","CLT","US",3,5,18
-15,-10,35,"JFK","PHL","9E",2,22,9
-11,14,352,"JFK","SFO","DL",4,5,10
42,25,268,"JFK","SLC","DL",6,18,19
9,29,310,"JFK","LAS","B6",2,22,18
-5,-17,52,"JFK","IAD","9E",5,12,14
-1,-8,331,"JFK","SAN","B6",10,22,16
1,-44,315,"JFK","SFO","UA",11,13,12
-4,6,45,"EWR","BOS","UA",9,20,20
65,106,370,"JFK","SFO","UA",11,6,17
-4,-7,46,"EWR","ROC","EV",4,30,16
35,23,43,"EWR","IAD","EV",3,19,6
-4,-14,64,"JFK","PIT","MQ",8,16,14
-5,-7,159,"JFK","FLL","B6",12,11,18
19,23,332,"EWR","SFO","UA",10,6,9
3,4,353,"EWR","SFO","UA",6,18,5
-1,11,163,"LGA","RSW","B6",3,18,9
-9,-12,103,"EWR","CVG","EV",12,12,8
71,67,82,"EWR","DAY","EV",8,6,16
7,14,211,"EWR","IAH","UA",6,5,13
8,-10,319,"EWR","SFO","UA",9,1,14
40,38,90,"EWR","CHS","EV",10,31,7
-9,-25,96,"EWR","CVG","9E",4,4,7
62,58,187,"EWR","IAH","UA",7,1,12
-1,-39,303,"JFK","SAN","B6",4,30,8
-4,-5,89,"EWR","DTW","EV",10,20,9
-6,-38,183,"EWR","IAH","UA",5,30,5
102,102,159,"LGA","MSP","DL",8,6,14
-9,-19,140,"EWR","FLL","B6",1,27,6
-4,-17,142,"JFK","FLL","B6",10,16,16
-1,-20,194,"EWR","DFW","UA",3,13,20
-2,-15,47,"JFK","DCA","MQ",7,26,21
-1,6,369,"EWR","SFO","UA",1,11,17
72,81,125,"EWR","ATL","EV",4,1,16
16,-5,119,"JFK","MCO","B6",8,22,19
-7,0,109,"LGA","BNA","MQ",11,20,12
32,21,73,"JFK","CMH","MQ",9,19,16
1,-21,315,"EWR","LAS","UA",2,10,15
-4,-19,198,"JFK","SJU","AA",2,3,15
84,78,304,"EWR","LAS","UA",2,14,10
10,19,185,"JFK","DFW","9E",6,15,14
-4,-21,109,"LGA","ATL","DL",4,8,11
4,-9,341,"JFK","LAX","AA",1,31,16
2,7,359,"JFK","LAX","VX",3,19,7
5,-10,113,"JFK","BNA","9E",8,15,15
-1,0,129,"LGA","ORD","AA",12,3,11
-6,-41,310,"JFK","LGB","B6",9,14,13
1,-7,226,"EWR","DEN","UA",4,10,15
-5,-8,205,"LGA","DFW","AA",6,28,15
-8,-34,85,"LGA","CLT","EV",6,8,9
2,6,348,"JFK","LGB","B6",3,22,13
-2,0,49,"EWR","IAD","EV",12,27,6
-7,-10,73,"EWR","CLT","US",4,17,13
9,-24,100,"JFK","IND","9E",6,19,18
-5,-14,189,"LGA","IAH","UA",10,14,8
-6,-18,160,"LGA","MIA","AA",6,23,10
-3,-6,320,"EWR","LAX","UA",9,18,15
0,-14,132,"JFK","TPA","B6",7,8,14
-5,-26,22,"EWR","BDL","EV",2,24,13
-1,5,147,"JFK","TPA","B6",7,28,6
23,19,121,"LGA","ATL","MQ",10,22,8
-5,10,224,"JFK","PSE","B6",9,9,23
5,-10,85,"EWR","DTW","EV",2,24,8
-3,-39,176,"EWR","DFW","AA",8,30,17
11,5,47,"JFK","IAD","EV",7,16,9
3,-24,83,"LGA","CLT","YV",9,17,17
5,9,111,"EWR","MDW","WN",9,15,18
-5,-13,45,"LGA","DCA","US",11,11,17
-1,-15,354,"JFK","SFO","UA",1,18,6
20,0,195,"EWR","IAH","UA",12,3,13
-5,-10,49,"JFK","ORF","9E",9,26,14
-6,-28,341,"JFK","LAX","DL",2,20,15
-7,-9,84,"LGA","DTW","MQ",7,22,6
-7,10,171,"EWR","MSP","9E",12,10,6
-6,-7,36,"LGA","BOS","US",10,8,21
10,4,200,"JFK","SJU","B6",7,31,10
6,-34,197,"EWR","AUS","UA",3,15,6
-6,-14,38,"LGA","BOS","US",9,23,8
2,5,100,"EWR","CVG","EV",9,3,8
55,54,152,"EWR","TPA","B6",4,19,15
-6,-16,65,"EWR","RDU","EV",5,26,11
-9,-45,49,"LGA","RIC","EV",9,18,10
-7,-32,117,"LGA","ORD","AA",1,8,17
-10,-15,34,"LGA","BOS","US",11,5,10
