"sales","coupons","income","dayofweek"
40.02,27.79,63.71,4
31.37,34.03,44.35,5
31.3,28.01,53.63,6
34.37,28.68,56.33,4
42.62,35.91,54.04,5
39.5,33.45,48.94,4
30.58,23.52,65.12,3
31.9,36.29,49.05,2
39.9,18.72,70.18,1
34.31,40.54,49.37,3
41.92,26.05,63.05,6
37.76,24.51,72.87,4
31.59,42.2,36.11,1
34.61,36.39,47.21,5
45.23,44.71,48.67,4
37.71,27.69,56.36,5
31.96,42.15,47.16,6
27.91,48.44,23.44,6
29.39,43.03,25.6,4
31.37,28.06,63.2,5
30.22,40.27,46.93,7
26.65,41.78,32.19,4
32.34,32,48.28,5
41.8,29.69,62.15,7
36.96,30.47,68.95,2
35.05,36.79,45.7,7
32.4,29.35,47.43,5
26.05,37.28,32.37,2
39.24,28.86,54.6,6
29.9,35.56,43.6,6
33.2,32.62,54.55,2
35.04,34.83,57.05,4
36.73,27.65,60.35,3
34.99,32.48,43.91,1
38.66,35.51,55.05,7
35.49,44.96,32.83,5
35.88,44.71,42.16,4
28.24,30.84,41.49,3
28,47.51,25.86,1
40.55,41.59,50.36,6
29.45,37.59,52.06,2
34.92,32.64,46.39,7
35.28,34.87,57.58,3
34.31,34.27,42.73,4
32.06,39.57,36.32,2
35.46,38.77,54.33,1
36.57,37.61,41.89,4
32.14,31.92,64.44,2
34.08,35.7,45.69,1
28.5,23.84,56.56,3
37.06,29.15,53.22,7
32.61,33.48,42.16,6
41.07,24.7,65.76,7
34.69,30.1,56.43,3
30.32,33.78,50.9,6
28.79,32.4,52.77,5
38.87,41.06,56.79,4
31.57,27.62,50.9,2
24.89,47.89,20.07,2
35.49,35.32,52.85,7
31.38,44.98,46.33,1
32.99,34.52,51.85,2
33.11,38.29,55.82,3
30.21,19.78,64,6
31.83,45.87,42.73,1
40.05,25.03,63.03,6
39.03,31.94,53.36,2
35.48,24.26,60.39,5
36.23,31.07,59.21,5
39.12,40.32,57.21,2
34,52.33,39.57,3
30.94,30.07,49.1,3
29.52,34.31,56.24,2
28.69,46.71,40.46,2
32.94,36.74,44.57,2
30.56,31,55.81,4
36.88,29.64,57.68,1
30.49,35.67,54.64,2
33.55,46.42,41.14,5
33.98,43.94,39,7
35.81,29.04,65.13,1
35.67,32.2,52.58,6
36.47,37.05,50.88,4
33.83,32.86,48.79,6
30.09,39.58,38.06,3
36.8,37.42,56.12,4
32.21,38.3,47.83,3
39.49,37.12,48.17,6
29.1,29.06,59.33,4
38.16,35.55,58.22,1
38.37,34.71,63.92,6
32.45,33.03,45.24,2
39.82,32.03,56.5,7
38.84,28.29,63.91,3
27.72,37.66,38.89,1
34.97,34.31,41.39,2
27.87,40.65,38.68,6
32.83,45.57,35.41,1
33.6,41.98,50.8,3
28.65,22.19,56.53,6
31.6,25.48,62.01,7
37.01,28.22,60.45,5
38,31.7,39.97,6
36.77,22,68.48,2
36.78,34.45,43.33,7
34.5,30.86,51.06,1
27.5,26.17,45.78,1
35.83,36.68,48.78,2
33.3,30.9,51.88,1
36.38,42.01,51.19,4
38.75,39.11,49.75,6
33.5,27.19,51.08,1
30.75,37.92,45.15,3
32.08,34.55,44.96,1
28.89,47.75,33.39,4
34.68,37.18,46.18,3
30.62,34.78,44.87,3
41.7,23.68,77.02,5
33.53,42.57,36.38,6
33.8,33.49,51.37,5
33.93,52.57,35.06,3
32.75,39.71,35.3,5
32.09,32.02,51.25,2
34.98,32.25,40.03,6
38.13,34.81,49.98,4
31.05,41.59,45.72,2
29.87,27.71,43.86,7
31.24,43.87,29.75,4
26.13,35.22,37.75,1
32.95,41.31,51.8,1
38.9,38.95,55.68,4
30.13,39.14,45.07,1
29.15,42.15,50,3
38.37,25.05,61.23,6
34.02,32.55,64.4,6
26.66,37.56,39.03,3
26.53,37.19,48.83,7
40.1,27.5,62.01,7
32.54,35.96,45.3,2
34.83,37.99,49.48,2
33.56,28.91,49.14,1
33.35,38.18,41.12,7
29.96,38.08,45.55,4
35.73,33.13,49.71,5
37.69,37.59,45.86,5
32.41,27.84,61.13,6
33.34,45.5,45.19,5
33.97,40.74,45.67,6
34.49,46.35,56.97,4
32.67,36.31,39.44,3
31.44,39.28,49.59,1
38.27,53.25,34.48,7
35.8,30.67,61.67,2
34.55,30.95,47.26,4
35.74,32.31,45.32,2
33.28,41.01,37.62,6
40.02,41.58,49.92,7
33.28,42.75,42,3
27.76,26.98,44.67,7
36.94,25.06,62.88,6
34.29,35.83,48.24,1
31.37,33.07,39.28,3
33.5,37.66,51.63,2
28.16,24.51,46.37,6
35.76,32.77,55.9,1
33.72,25.88,64.32,4
29.27,37.51,40.07,7
34.91,31.31,54.55,1
31.79,36.15,50.85,6
38.42,32.5,58.96,7
33.82,35.02,47.7,5
29.26,21.19,58.37,3
31.61,36.53,32.55,2
34.63,19.2,66.89,5
41.09,34.49,58.65,6
33.03,34.54,48.49,6
28.15,43.59,35.51,1
33.13,23.99,56.43,3
33.86,29.91,54.83,5
32.48,37.84,49.94,2
30.49,33.35,51.51,2
28.08,37.34,44.16,2
36.01,32.8,53.69,3
33.88,39.58,52.95,5
30.2,33.32,47.21,7
28.98,45.06,36.64,1
35.4,35.99,57.01,7
27.34,26.28,55.54,4
32.58,39.79,41.64,6
30.3,42.92,34.05,2
36.32,39.12,52.05,4
34.9,41.3,46.55,3
31.5,33.72,52.53,4
29.07,42.15,37.06,1
29.84,36.2,40.41,7
34.07,28.58,60.86,4
29.65,27.84,54.04,3
30.36,27.23,55.86,3
38.8,19.82,68.15,5
35.78,38.54,51.29,7
