"country","year","region","pop_share","gdp_pc"
"Australia",1982,1,0.514213483059316,38508.3695310328
"Australia",1982,2,0.174612689898206,17792.9101797715
"Australia",1982,3,0.113101662897362,20308.6923329638
"Australia",1982,4,0.0562078200714869,21269.5151030197
"Australia",1982,5,0.0481638880193061,13259.5621551804
"Australia",1982,6,0.0373397078002686,40788.3962559297
"Australia",1982,7,0.0344706036554787,30076.8626989297
"Australia",1982,8,0.0218901445985754,16926.635743009
"Austria",1982,1,0.400135530407244,27596.2380989951
"Austria",1982,2,0.237034278387796,27055.6915690653
"Austria",1982,3,0.148113740324751,25354.7890978937
"Austria",1982,4,0.102603017081007,24808.8303024034
"Austria",1982,5,0.0575542924513819,26550.1169370057
"Austria",1982,6,0.0198749615747657,25941.2176950711
"Austria",1982,7,0.0181465013428529,28865.1369562293
"Austria",1982,8,0.0164928973573376,28202.4268488086
"Austria",1982,9,4.47810728639581e-05,26882.481269934
"Belgium",1982,1,0.444060358691072,29104.799520197
"Belgium",1982,2,0.188525797594229,22066.8701002343
"Belgium",1982,3,0.115828794398631,23782.9424984515
"Belgium",1982,4,0.105605470630767,21675.8075832684
"Belgium",1982,5,0.0676488625702581,21690.7249642908
"Belgium",1982,6,0.028174177095121,23368.1720232468
"Belgium",1982,7,0.021622195558367,23608.0048893259
"Belgium",1982,8,0.0124978045335852,25432.5077031234
"Belgium",1982,9,0.0113338656638084,21732.8331855855
"Belgium",1982,10,0.00417495089318633,22311.3894826859
"Belgium",1982,11,0.000527722370974878,21208.9752442491
"Bolivia",2000,1,0.409353086880077,2733.61523266317
"Bolivia",2000,2,0.150876187332941,992.09362959508
"Bolivia",2000,3,0.129837299420005,534.10796494532
"Bolivia",2000,4,0.106116651714923,2021.9671751642
"Bolivia",2000,5,0.0902361519647213,2728.06962437495
"Bolivia",2000,6,0.0482513781262076,959.178383898043
"Bolivia",2000,7,0.0377144278418235,518.833424525674
"Bolivia",2000,8,0.0164993021677213,729.908132179886
"Bolivia",2000,9,0.0111155145515795,1987.83387768198
"Brazil",1993,1,0.335287191281872,6652.50190871968
"Brazil",1993,2,0.0749852708092234,6252.08819308866
"Brazil",1993,3,0.0664937230712245,5851.37810830508
"Brazil",1993,4,0.0523752383973685,24737.3864426418
"Brazil",1993,5,0.0486255156934576,3651.6460182486
"Brazil",1993,6,0.0484787813845215,2882.74979157813
"Brazil",1993,7,0.0473663891526613,6138.49511241027
"Brazil",1993,8,0.0438325691346063,7362.27770992634
"Brazil",1993,9,0.0401449432795795,8007.63496730225
"Brazil",1993,10,0.0317370953611962,4409.75816801405
"Brazil",1993,11,0.0295186596089016,2946.22325584736
"Brazil",1993,12,0.0238649926647329,13894.4240517751
"Brazil",1993,13,0.0209115746983949,4741.21970031396
"Brazil",1993,14,0.0204369848501176,3361.52879422665
"Brazil",1993,15,0.0174844435548842,5113.44233397815
"Brazil",1993,16,0.0155437513206155,5248.49411598179
