"model","term","estimate","t","stars","adj_r2"
"(1)","(Intercept)",1.21804551831287,5.7481169889363,"***",0.328248693649949
"(1)","lnGDP",-0.0915033291040138,-4.22786475667656,"***",0.328248693649949
"(2)","(Intercept)",-0.0168135872943226,-0.0178535723175032,"",0.33889168460175
"(2)","lnGDP",0.1881754051657,0.918473276903885,"",0.33889168460175
"(2)","I(lnGDP^2)",-0.015524448749062,-1.40561395362876,"",0.33889168460175
"(3)","(Intercept)",-1.19902446973301,-1.49980317379466,"",0.4888926693526
"(3)","lnGDP",0.331936646422545,1.97214004150575,"**",0.4888926693526
"(3)","I(lnGDP^2)",-0.022383331180991,-2.45249460513024,"**",0.4888926693526
"(3)","lnunits",0.114909219956046,2.1762599735359,"**",0.4888926693526
"(3)","lnarea",0.00853387895906137,0.727256031951175,"",0.4888926693526
"(3)","area_units",0.0106261739281499,0.684661457858652,"",0.4888926693526
"(4)","(Intercept)",-1.57569164797452,-2.05422120085882,"**",0.669808710445044
"(4)","lnGDP",0.338407534159723,1.94978447962763,"*",0.669808710445044
"(4)","I(lnGDP^2)",-0.0197012471425885,-2.15946795490254,"**",0.669808710445044
"(4)","lnunits",0.159751117161566,3.74097552683561,"***",0.669808710445044
"(4)","lnarea",0.0246690517241892,2.89260822176509,"***",0.669808710445044
"(4)","area_units",0.0152885310882418,1.16672293343112,"",0.669808710445044
"(4)","ethnic",0.129546443823609,1.93742665983964,"*",0.669808710445044
"(4)","trade_gdp",0.0020146878671286,3.84349696994639,"***",0.669808710445044
"(4)","urbanization",-0.00648506088526279,-2.10791264885562,"**",0.669808710445044
"(4)","federal",-0.0802005605398986,-3.31990131909531,"***",0.669808710445044
"(5)","(Intercept)",-12.7641061894794,-3.54215670421887,"***",0.7322471961093
"(5)","lnGDP",4.39654748491624,3.28418045821998,"***",0.7322471961093
"(5)","I(lnGDP^2)",-0.498830475024872,-3.17938552704281,"***",0.7322471961093
"(5)","I(lnGDP^3)",0.0184472994217287,3.05970508944123,"***",0.7322471961093
"(5)","lnunits",0.166809963437664,4.34836146575698,"***",0.7322471961093
"(5)","lnarea",0.0168746141752495,1.86717373782418,"*",0.7322471961093
"(5)","area_units",0.0189150485367094,1.67267593485278,"*",0.7322471961093
"(5)","ethnic",0.133209072347656,2.16559819664224,"**",0.7322471961093
"(5)","trade_gdp",0.00209681619833528,4.65973508948909,"***",0.7322471961093
"(5)","urbanization",-0.00554073464294136,-2.23689091201739,"**",0.7322471961093
"(5)","federal",-0.0728405052159883,-3.27855484040561,"***",0.7322471961093
