"model","term","estimate","t","stars","within_r2","N"
"a1","lnGDP",0.0295473697071856,0.991030900478254,"",0.00979054956870429,889
"a1","trade_gdp",0.000222994343133061,0.667492815080929,"",0.00979054956870429,889
"a1","urbanization",-0.00243713195734955,-2.52134489612363,"**",0.00979054956870429,889
"a2","lnGDP",0.393760098044121,2.35500465203584,"**",0.0164589387425146,889
"a2","lnGDP2",-0.0210824511881622,-2.19056044534092,"**",0.0164589387425146,889
"a2","trade_gdp",0.000174290114500267,0.524592195905664,"",0.0164589387425146,889
"a2","urbanization",-0.0024117507538496,-2.51955706461614,"**",0.0164589387425146,889
"a3","lnGDP",0.187470039695474,0.242287102354528,"",0.0165387013673141,889
"a3","lnGDP2",0.00173718484859605,0.0200922294173892,"",0.0165387013673141,889
"a3","lnGDP3",-0.00083574986058049,-0.257309366801503,"",0.0165387013673141,889
"a3","trade_gdp",0.000175094126235396,0.52724189923909,"",0.0165387013673141,889
"a3","urbanization",-0.00241906837380328,-2.52539326452698,"**",0.0165387013673141,889
"b1","lnGDP",0.0157220158963835,0.368675952847612,"",0.0355084430501471,209
"b1","trade_gdp",-0.000134970395063617,-0.14536866698292,"",0.0355084430501471,209
"b1","urbanization",-0.00292854697601426,-2.5278795855939,"**",0.0355084430501471,209
"b2","lnGDP",0.338629846780416,1.71758181104049,"*",0.0533873833297749,209
"b2","lnGDP2",-0.0190508099275248,-1.6302112865581,"",0.0533873833297749,209
"b2","trade_gdp",-0.000214592779326153,-0.233882718212778,"",0.0533873833297749,209
"b2","urbanization",-0.00279195391412544,-2.49473269608548,"**",0.0533873833297749,209
"b3","lnGDP",-0.870570813236305,-1.1529082997113,"",0.061436599525225,209
"b3","lnGDP2",0.112929249089946,1.37408737944376,"",0.061436599525225,209
"b3","lnGDP3",-0.00477915403151958,-1.58322031570388,"",0.061436599525225,209
"b3","trade_gdp",-0.000142492936962183,-0.156697346445625,"",0.061436599525225,209
"b3","urbanization",-0.00277193575884002,-2.48010926371359,"**",0.061436599525225,209
