"term","estimate","t","stars","adj_r2"
"(Intercept)",0.838990324303327,5.30184571735788,"***",0.29335009822131
"nonag",-0.0060381284332849,-3.23029294392562,"***",0.29335009822131
"(Intercept)",-0.598916075047723,-3.26922610839728,"***",0.715323309011584
"nonag",0.0164670760699356,4.57443063456097,"***",0.715323309011584
"I(nonag^2)",-0.000135842149549825,-5.15530398350134,"***",0.715323309011584
"lnunits",0.164876117270002,4.03675498367355,"***",0.715323309011584
"lnarea",0.0187561155696883,2.11869312928752,"**",0.715323309011584
"area_units",0.0179268739447314,1.43028748880831,"",0.715323309011584
"ethnic",0.137525386686735,2.33125240491276,"**",0.715323309011584
"trade_gdp",0.00202916461967823,4.14264677502269,"***",0.715323309011584
"urbanization",-0.00556277266931072,-2.19268953534141,"**",0.715323309011584
"federal",-0.0656835546464559,-3.00881364681652,"***",0.715323309011584
"(Intercept)",-0.96877998610237,-3.46999185809005,"***",0.72370522608399
"nonag",0.0414740665421875,1.74629269980659,"*",0.72370522608399
"I(nonag^2)",-0.000589152211548556,-1.41659707280299,"",0.72370522608399
"I(nonag^3)",2.46630373293247e-06,1.10894485946079,"",0.72370522608399
"lnunits",0.158921056615832,4.1120676041548,"***",0.72370522608399
"lnarea",0.0190621492199078,2.16106463928297,"**",0.72370522608399
"area_units",0.0170248606041006,1.43266067085142,"",0.72370522608399
"ethnic",0.135096765873864,2.13788047254035,"**",0.72370522608399
"trade_gdp",0.0020664735872476,4.46469153442027,"***",0.72370522608399
"urbanization",-0.00555722642656782,-2.26943069141207,"**",0.72370522608399
"federal",-0.0668327006250889,-3.02921772589762,"***",0.72370522608399
