"Variable","Mean","SD","Min","Max"
"WCV",0.361946069397721,0.192133918171548,0.0438150497607808,1.08250752398205
"CV",0.451980170252082,0.254502440749682,0.0662783794792242,1.50004998583222
"Regional Gini",0.17991291105621,0.0893722474034262,0.0182488656993132,0.363660852861685
"ln(units)",2.39277041964433,0.814405366729248,0.693147180559945,3.93182563272433
"ln(area)",12.6912797320552,1.95185558402058,5.76832099579377,16.6127918927944
"Ethnic frac.",0.309423677753463,0.171473013923378,0.0211009710687223,0.686740430842186
"Trade/GDP",81.7701080904164,28.7238075946605,24.9370743548394,153.556747495203
"Urbanization",69.4798505247284,11.751678770924,42.6101548788844,94.9804333555279
"Federal",0.214285714285714,0.414039335605413,0,1
"ln(GDP p.c.)",9.3559377270525,1.22518506191086,5.87599750591986,11.2870246020824
