year,observed,synthetic,gap,period
1970,123,117.58339597858851,5.416604021411487,pre
1971,121,119.37579070481031,1.6242092951896865,pre
1972,123.5,123.42363219312492,0.07636780687508349,pre
1973,124.4000015258789,123.86160014618115,0.5384013796977598,pre
1974,126.6999969482422,126.6478353124184,0.05216163582380773,pre
1975,127.0999984741211,126.99647334360388,0.10352513051721246,pre
1976,128,127.57532226834213,0.4246777316578658,pre
1977,126.4000015258789,125.99277341222295,0.407228113655961,pre
1978,126.0999984741211,125.59897425762752,0.5010242164935761,pre
1979,121.9000015258789,122.71956689985782,-0.8195653739789179,pre
1980,120.1999969482422,120.38103935399336,-0.18104240575115682,pre
1981,118.5999984741211,119.36454760742754,-0.7645491333064456,pre
1982,115.4000015258789,116.33214157247593,-0.9321400465970271,pre
1983,110.8000030517578,111.00713405281537,-0.20713100105757576,pre
1984,104.8000030517578,103.08501273208975,1.714990319668047,pre
1985,102.8000030517578,103.84881133850145,-1.0488082867436503,pre
1986,99.6999969482422,100.26303690953321,-0.5630399612910111,pre
1987,97.5,101.13253030234368,-3.6325303023436817,pre
1988,90.0999984741211,93.62978516538806,-3.5297866912669633,post
1989,82.4000015258789,92.30476142381588,-9.90475989793697,post
1990,77.80000305175781,89.22892606223459,-11.42892301047678,post
1991,68.69999694824219,82.53008505906259,-13.830088110820398,post
1992,67.5,82.02738567341636,-14.527385673416362,post
1993,63.400001525878906,81.14154131986962,-17.74153979399071,post
1994,58.599998474121094,80.44699241926759,-21.846993945146494,post
1995,56.400001525878906,79.03138577214341,-22.631384246264503,post
1996,54.5,77.87009985052556,-23.370099850525563,post
1997,53.79999923706055,78.36152387521186,-24.56152463815131,post
1998,52.29999923706055,75.28739929256872,-22.987400055508175,post
1999,47.20000076293945,74.20312377912899,-27.003123016189534,post
2000,41.599998474121094,68.24775627321365,-26.64775779909256,post
