year,observed,synthetic,gap,gap_lo95,gap_hi95,period
1970,123,122.76400066496,0.23599933504000603,-0.7204444992832308,1.5488636476101783,pre
1971,121,121.2127995800459,-0.21279958004589616,-1.3647716470571705,0.6822053929823657,pre
1972,123.5,123.61831623430864,-0.11831623430863658,-1.2588074322132474,0.8507468536321033,pre
1973,124.4000015258789,124.20185899015246,0.19814253572644702,-0.6877867320309554,1.299130725131278,pre
1974,126.6999969482422,126.7459428564007,-0.04594590815850097,-0.8990285214551297,0.7596881688777729,pre
1975,127.0999984741211,127.07746742316267,0.02253105095842045,-0.9315397540773211,0.9066555082450254,pre
1976,128,128.0712815538995,-0.07128155389949598,-0.9999936923388866,0.7582161526239145,pre
1977,126.4000015258789,126.60498665463824,-0.20498512875933272,-1.248148656523724,0.7474062816738368,pre
1978,126.0999984741211,125.66744801952193,0.4325504545991663,-0.35686603068688566,1.580102562474462,pre
1979,121.9000015258789,121.86205290945492,0.03794861642398928,-0.788048047987601,0.8833463803854102,pre
1980,120.1999969482422,120.26836904990859,-0.06837210166638386,-0.8530059426169057,0.8113772310845484,pre
1981,118.5999984741211,118.70543045357505,-0.10543197945395377,-1.1928344005735005,0.7680822703963216,pre
1982,115.4000015258789,115.45802432947661,-0.058022803597708617,-1.1264078974948717,0.8272128030201056,pre
1983,110.8000030517578,110.96932151655658,-0.16931846479877777,-1.2569791554109737,0.7394766772365993,pre
1984,104.8000030517578,104.58082503029215,0.2191780214656518,-0.7584580933288454,1.398264081796588,pre
1985,102.8000030517578,102.8465954628937,-0.0465924111359044,-0.9140406667590828,0.7188865106061132,pre
1986,99.6999969482422,99.70406718623755,-0.004070237995350112,-1.029096351348617,1.1026395376257514,pre
1987,97.5,97.57233695226834,-0.07233695226834413,-1.3082592439275094,1.005178907530306,pre
1988,90.0999984741211,95.15961660728672,-5.059618133165628,-8.553693555065184,-0.5369202126997189,post
1989,82.4000015258789,90.62497708036081,-8.224975554481901,-11.688800581882186,-3.7684682743385443,post
1990,77.80000305175781,86.95606462936345,-9.15606157760564,-13.988633667026225,-3.8311355307223955,post
1991,68.69999694824219,80.86910403460504,-12.169107086362857,-18.052066710834453,-5.82051279534382,post
1992,67.5,78.85536105481994,-11.355361054819937,-17.78582833286826,-4.54788081289537,post
1993,63.400001525878906,78.24811456612721,-14.848113040248307,-21.961260565186468,-6.89237031537932,post
1994,58.599998474121094,75.24651875911158,-16.646520284990487,-23.16161711994266,-9.693769929093246,post
1995,56.400001525878906,74.83762154728049,-18.437620021401585,-26.638343547096024,-10.245142356069003,post
1996,54.5,73.72704008080383,-19.22704008080383,-27.55159571471668,-10.730182260716187,post
1997,53.79999923706055,73.6468260091302,-19.846826772069647,-27.69536380933966,-11.346659051883313,post
1998,52.29999923706055,73.4269402307091,-21.12694099364856,-29.309308817536134,-12.536259344794626,post
1999,47.20000076293945,71.26837667584506,-24.06837591290561,-32.97043522148457,-15.094770141849754,post
2000,41.599998474121094,67.30033025473337,-25.700331780612274,-34.703641937402736,-17.0569499910218,post
