year,observed,synthetic,gap
1988,90.0999984741211,95.40053293478265,-5.300534460661552
1989,82.4000015258789,91.01661353437315,-8.616612008494243
1990,77.80000305175781,87.39203522468253,-9.592032172924718
1991,68.69999694824219,81.4485423461515,-12.74854539790931
1992,67.5,79.39605242929045,-11.89605242929045
1993,63.400001525878906,78.95511512817609,-15.555113602297183
1994,58.599998474121094,76.03915140985617,-17.43915293573508
1995,56.400001525878906,75.71553833594183,-19.315536810062923
1996,54.5,74.6425455128286,-20.142545512828605
1997,53.79999923706055,74.5918429041865,-20.79184366712596
1998,52.29999923706055,74.43291042479336,-22.132911187732816
1999,47.20000076293945,72.41440481099619,-25.214404048056736
2000,41.599998474121094,68.524064810396,-26.924066336274905
