state,avg_spillover
Nevada,-3.7504943238626156
Idaho,-0.2283498327960799
Utah,-0.22808166179172215
Wyoming,-0.018680518595603032
Montana,-0.014488834923053698
Colorado,-0.009666376350576664
South Dakota,-0.0014126738922720485
North Dakota,-0.001264702119059646
Nebraska,-0.0012041413797726868
New Mexico,-8.013152944165383e-4
Kansas,-6.728419279705581e-4
Oklahoma,-4.4565408045008195e-4
Minnesota,-1.6858760342431607e-4
Iowa,-1.155186198922903e-4
Texas,-7.659049759831585e-5
Missouri,-7.423893527024461e-5
Arkansas,-2.4441028422341576e-5
Wisconsin,-2.3807065437662143e-5
Illinois,-1.057225040884366e-5
Louisiana,-8.345999257963181e-6
Tennessee,-3.197789570570054e-6
Kentucky,-3.1258110785870484e-6
Mississippi,-2.22077880940394e-6
Indiana,-1.1424914790548149e-6
Alabama,-4.6355592359952006e-7
Virginia,-4.173129868613264e-7
Ohio,-2.7978485741099433e-7
Georgia,-2.4334741050587094e-7
North Carolina,-2.406350381687179e-7
West Virginia,-2.3758988673683654e-7
South Carolina,-5.99522104616531e-8
Pennsylvania,-4.36751212213529e-8
Delaware,-1.0910904374073792e-8
New Hampshire,-7.16227077646181e-16
Maine,-2.899014361901209e-16
Vermont,-2.842170943040401e-16
Connecticut,-3.498056545280497e-18
Rhode Island,1.661576859008234e-17
