"country","SC","DSC","SDID","MASC","ASCM"
"Australia",0.00524804495934173,0.00752303128596029,0.00752303128596029,0,0.00541930429280508
"Austria",0,0,0,0.0157693107401351,-0.00130752917352896
"Belgium",0,0,0,0.0157693107401351,-0.00661457652174707
"Canada",0.161157277865818,0.191627676760048,0.191627676760048,0.163290139206966,0.179278877528504
"Finland",0.00214161419597128,0.00314214594960435,0.00314214594960435,0.00616520612087694,0.0108536356000377
"France",0,0,0,0.0157693107401351,0.00154730535629864
"Germany",0.0025710375305648,0,0,0,0.00270601737903566
"Hungary",0.218637971826908,0.231113741913122,0.231113741913122,0.203658961075439,0.226229069046211
"Iceland",0,0,0,0,0.00327288747728894
"Ireland",0.0543080979587076,0.0503430924019672,0.0503430924019672,0.0440281217722875,0.0505746386500894
"Italy",0.0352799188008389,0.0334474172101212,0.0334474172101212,0.0165427865692851,0.0181182489121671
"Japan",0.177321239101509,0.18422563253013,0.18422563253013,0.153786819295674,0.183926683681607
"Korea",0.00295214501504942,0,0,0,-0.00274204153317193
"Luxembourg",0,0,0,0,0.00343880451872684
"Netherlands",0,0,0,0.0157693107401351,-0.00117792920074075
"New Zealand",0,0,0,0,0.00765538569429096
"Norway",0.125566040658221,0.120845774748664,0.120845774748664,0.129458575747295,0.138781116880776
"Portugal",0.0123187332673222,0.00371500039606409,0.00371500039606409,0.0104248415902699,0.0104025256155045
"Slovak Republic",0.00306547973128161,0,0,0,-0.00852591192987989
"Spain",0,0,0,0.0157693107401351,-0.00558554904305632
"Sweden",0,0,0,0.0157693107401351,-0.00299706490595324
"Switzerland",0,0,0,0,-0.00902077972461845
"United States",0.199432399088467,0.174016486804318,0.174016486804318,0.178028684181096,0.195766881404808
