"country","rmspe_ratio","rank"
"United Kingdom",5.81694774223577,1
"Belgium",3.67785287970457,2
"Finland",3.30044702969172,3
"New Zealand",2.93512243612934,4
"Austria",2.54676719057534,5
"France",2.45327089457363,6
"Italy",2.44779187910954,7
"Ireland",2.16119915044606,8
"Hungary",2.07690875274785,9
"Luxembourg",1.9572499485712,10
"Norway",1.72959509247378,11
"Germany",1.69621537412329,12
"Sweden",1.48535194018772,13
"Korea",1.41211889771446,14
"Iceland",1.11360420968379,15
"United States",1.03639838782801,16
"Spain",0.993636459992466,17
"Switzerland",0.945430372409272,18
"Australia",0.797501688919264,19
"Slovak Republic",0.735714087480501,20
"Canada",0.653493751138243,21
"Netherlands",0.492113088753531,22
"Portugal",0.319218197739083,23
"Japan",0.225028167014368,24
