"quarter","lambda_i","lambda_ii","lambda_iii"
"1995Q1",0,0,0
"1995Q2",0,0,0
"1995Q3",0,0,0
"1995Q4",0,0,0
"1996Q1",0,0,0
"1996Q2",0,0,0
"1996Q3",0,0,0
"1996Q4",0,0,0
"1997Q1",0,0,0
"1997Q2",0,0,0
"1997Q3",0,0,0
"1997Q4",0,0,0
"1998Q1",0,0,0
"1998Q2",0,0,0
"1998Q3",0,0,0
"1998Q4",0,0,0
"1999Q1",0,0,0
"1999Q2",0,0,0
"1999Q3",0,0,0
"1999Q4",0,0,0
"2000Q1",0,0,0
"2000Q2",0,0,0
"2000Q3",0,0,0
"2000Q4",0,0,0
"2001Q1",0,0,0
"2001Q2",0,0,0
"2001Q3",0,0,0
"2001Q4",0,0,0
"2002Q1",0,0,0
"2002Q2",0,0,0
"2002Q3",0,0,0
"2002Q4",0,0,0
"2003Q1",0,0,0
"2003Q2",0,0,0
"2003Q3",0,0,0
"2003Q4",0,0,0
"2004Q1",0,0,0
"2004Q2",0,0,0
"2004Q3",0,0,0
"2004Q4",0,0,0
"2005Q1",0,0,0
"2005Q2",0,0,0
"2005Q3",0,0,0
"2005Q4",0,0,0
"2006Q1",0,0,0
"2006Q2",0,0,0
"2006Q3",0,0,0
"2006Q4",0,0,0
"2007Q1",0,0,0
"2007Q2",0,0,0
"2007Q3",0,0,0
"2007Q4",0,0,0
"2008Q1",0,0,0
"2008Q2",0,0,0
"2008Q3",0,0,0
"2008Q4",0.038635,0,0
"2009Q1",0,0,0
"2009Q2",0,0,0
"2009Q3",0,0,0
"2009Q4",0,0,0
"2010Q1",0,0,0
"2010Q2",0,0,0
"2010Q3",0,0,0
"2010Q4",0,0,0
"2011Q1",0,0,0
"2011Q2",0,0,0
"2011Q3",0,0,0
"2011Q4",0,0,0
"2012Q1",0,0,0
"2012Q2",0,0,0
"2012Q3",0,0,0
"2012Q4",0,0,0
"2013Q1",0,0,0
"2013Q2",0,0,0
"2013Q3",0,0,0
"2013Q4",0,0,0
"2014Q1",0,0,0
"2014Q2",0,0,0
"2014Q3",0.00289,0,0
"2014Q4",0,0,0
"2015Q1",0,0,0
"2015Q2",0,0,0
"2015Q3",0,0,0
"2015Q4",0,0,0
"2016Q1",0,0,0
"2016Q2",0.958475,1,1
