"country","year","outcome","treat","role"
"Atlantia (treated)",2000,40.6260357338758,0,"treated"
"Atlantia (treated)",2001,43.3400586496002,0,"treated"
"Atlantia (treated)",2002,45.7802038365471,0,"treated"
"Atlantia (treated)",2003,45.9147979115411,0,"treated"
"Atlantia (treated)",2004,45.6568629917819,0,"treated"
"Atlantia (treated)",2005,45.78995068569,0,"treated"
"Atlantia (treated)",2006,44.1707213197995,0,"treated"
"Atlantia (treated)",2007,46.1031055337547,0,"treated"
"Atlantia (treated)",2008,48.9985770477599,0,"treated"
"Atlantia (treated)",2009,51.0021944024219,0,"treated"
"Atlantia (treated)",2010,53.6004281214255,0,"treated"
"Atlantia (treated)",2011,56.0339548459829,0,"treated"
"Atlantia (treated)",2012,57.9995218233755,1,"treated"
"Atlantia (treated)",2013,58.9058587158646,1,"treated"
"Atlantia (treated)",2014,60.2679307480239,1,"treated"
"Atlantia (treated)",2015,61.184055543138,1,"treated"
"Atlantia (treated)",2016,63.086763462458,1,"treated"
"Atlantia (treated)",2017,66.7215420202989,1,"treated"
"Atlantia (treated)",2018,72.5698703838722,1,"treated"
"Atlantia (treated)",2019,76.3485222651815,1,"treated"
"Atlantia (treated)",2020,79.9416607770062,1,"treated"
"Atlantia (treated)",2021,82.8515070489219,1,"treated"
"Atlantia (treated)",2022,83.6613678210736,1,"treated"
"Atlantia (treated)",2023,85.0080808317682,1,"treated"
"Borealis (control)",2000,39.6965464497261,0,"control"
"Borealis (control)",2001,42.7425423978187,0,"control"
"Borealis (control)",2002,45.5025033596761,0,"control"
"Borealis (control)",2003,46.3325414956763,0,"control"
"Borealis (control)",2004,45.4931530449428,0,"control"
"Borealis (control)",2005,45.3302608027573,0,"control"
"Borealis (control)",2006,44.2098305828567,0,"control"
"Borealis (control)",2007,45.7180206848789,0,"control"
"Borealis (control)",2008,47.4281384438569,0,"control"
"Borealis (control)",2009,51.1520062008953,0,"control"
"Borealis (control)",2010,53.9347188738706,0,"control"
"Borealis (control)",2011,56.193978576082,0,"control"
"Borealis (control)",2012,56.6549117749436,0,"control"
"Borealis (control)",2013,55.9041694942778,0,"control"
"Borealis (control)",2014,55.5441181120764,0,"control"
"Borealis (control)",2015,55.0458436974738,0,"control"
"Borealis (control)",2016,56.3044358396844,0,"control"
"Borealis (control)",2017,58.2607481948913,0,"control"
"Borealis (control)",2018,60.8485196389899,0,"control"
"Borealis (control)",2019,65.9488439561754,0,"control"
"Borealis (control)",2020,67.9927147096468,0,"control"
"Borealis (control)",2021,67.2650758793395,0,"control"
"Borealis (control)",2022,67.2428749683499,0,"control"
"Borealis (control)",2023,66.320380540572,0,"control"
