"target","donor","weight"
"Austria","Switzerland",0.5813
"Austria","Argentina",0.1801
"Austria","Malaysia",0.0825
"Austria","Israel",0.0658
"Austria","Tunisia",0.0431
"Austria","Korea",0.0291
"Austria","Turkey",0.0181
"Belgium","Iceland",0.5624
"Belgium","Switzerland",0.2868
"Belgium","Hong Kong",0.1141
"Belgium","Australia",0.025
"Belgium","Mexico",0.0117
"Finland","Switzerland",0.4793
"Finland","Korea",0.26
"Finland","Japan",0.1291
"Finland","Egypt",0.0935
"Finland","Turkey",0.0291
"Finland","Argentina",0.0053
"Finland","Brazil",0.0037
"France","Iceland",0.658
"France","Switzerland",0.2625
"France","Mexico",0.0762
"France","Canada",0.0033
"Germany","Switzerland",0.3305
"Germany","Argentina",0.3019
"Germany","Korea",0.1747
"Germany","New Zealand",0.0746
"Germany","Hong Kong",0.0659
"Germany","Japan",0.0525
"Greece","Israel",0.1862
"Greece","Thailand",0.174
"Greece","Switzerland",0.1505
"Greece","Iceland",0.1187
"Greece","Uruguay",0.1181
"Greece","Brazil",0.1078
"Greece","Korea",0.0856
"Greece","Turkey",0.059
"Ireland","Canada",0.2457
"Ireland","Argentina",0.209
"Ireland","New Zealand",0.2056
"Ireland","Japan",0.1562
"Ireland","Switzerland",0.0719
"Ireland","Indonesia",0.0537
"Ireland","Turkey",0.0533
"Ireland","Australia",0.0047
"Italy","Iceland",0.6024
"Italy","Switzerland",0.2302
"Italy","Mexico",0.1627
"Italy","Canada",0.0047
"Luxembourg","Australia",0.7984
"Luxembourg","Iceland",0.2016
"Netherlands","Iceland",0.6593
"Netherlands","Switzerland",0.1942
"Netherlands","Australia",0.1465
"Portugal","Iceland",0.3826
"Portugal","Switzerland",0.245
"Portugal","Mexico",0.198
"Portugal","Brazil",0.1744
"Spain","Iceland",0.8255
"Spain","Switzerland",0.0873
"Spain","Brazil",0.0507
"Spain","Canada",0.0364
