"country","att_tfp","prefit_l2","pct_2000_07","pct_2008_17","paper_2000_07","paper_2008_17"
"Austria",0.033,0.296,6.151,-1.792,17.13,5.05
"Belgium",0.186,0.221,29.314,6.992,33.22,9.72
"Finland",0.081,0.409,16.88,-2.833,3.32,-4.66
"France",0.272,0.181,42.681,13.871,43.61,14.68
"Germany",0.133,0.301,7.952,19.273,34.34,35.56
"Greece",-0.006,0.47,8.016,-12.44,9.13,-7.14
"Ireland",0.31,0.531,31.321,26.636,47.73,20.41
"Italy",0.058,0.35,18.344,-6.775,25.5,1.1
"Luxembourg",0.056,0.337,3.756,-1.535,-5.07,-3.5
"Netherlands",0.288,0.233,44.01,13.737,38.18,16.46
"Portugal",-0.032,0.253,6.538,-14.3,6.8,-11.3
"Spain",0.167,0.25,31.97,5.714,26.88,0.47
