assets,e401k,age,educ,income,incomecat,pension,married,twoearn,ira,ownhome
0,Not eligible,47,8,6765,0,No pension,Not married,No,No,Yes
1015,Not eligible,36,16,28452,2,No pension,Not married,No,No,Yes
-2000,Not eligible,37,12,3300,0,Receives pension,Not married,No,No,No
15000,Not eligible,58,16,52590,3,No pension,Married,Yes,No,Yes
0,Not eligible,32,11,21804,1,No pension,Not married,No,No,Yes
27800,Not eligible,34,16,34680,2,No pension,Not married,No,Yes,Yes
2913,Not eligible,28,12,21600,1,No pension,Married,Yes,Yes,Yes
-650,Not eligible,54,11,4686,0,No pension,Not married,No,No,Yes
37279,Not eligible,43,14,65820,4,Receives pension,Married,Yes,Yes,Yes
1900,Not eligible,32,18,37260,2,No pension,Married,No,No,Yes
783,Not eligible,52,12,15306,0,No pension,Married,No,No,Yes
-10000,Not eligible,30,18,58413,4,No pension,Married,Yes,No,No
-740,Not eligible,63,15,21630,1,No pension,Not married,No,No,Yes
0,Not eligible,38,18,30600,2,No pension,Married,No,No,No
-4700,Not eligible,32,13,33414,2,No pension,Married,Yes,No,No
-1000,Not eligible,29,12,14580,0,No pension,Not married,No,No,No
-16901,Not eligible,40,17,57477,4,Receives pension,Married,Yes,No,Yes
2000,Not eligible,30,10,46008,3,No pension,Married,No,No,Yes
0,Not eligible,44,12,3825,0,No pension,Not married,No,No,No
0,Not eligible,57,18,5220,0,Receives pension,Not married,No,No,No
-800,Not eligible,42,10,9120,0,No pension,Not married,No,No,Yes
52900,Not eligible,41,16,69693,4,No pension,Married,Yes,Yes,Yes
-9940,Not eligible,39,16,52110,3,Receives pension,Not married,No,No,No
0,Not eligible,53,12,30000,2,No pension,Married,No,No,Yes
2000,Not eligible,64,12,26826,2,No pension,Not married,No,No,Yes
0,Not eligible,37,14,10524,0,No pension,Not married,No,No,No
0,Not eligible,62,12,33228,2,No pension,Married,Yes,No,No
-2238,Not eligible,55,12,60528,4,No pension,Married,No,No,Yes
-2797,Not eligible,39,12,13512,0,Receives pension,Married,Yes,No,Yes
97664,Not eligible,58,12,44640,3,No pension,Not married,No,Yes,Yes
-500,Not eligible,43,4,14280,0,No pension,Married,No,No,No
-4700,Not eligible,37,13,28134,2,No pension,Married,No,No,No
249,Not eligible,31,16,14931,0,No pension,Not married,No,No,Yes
400,Not eligible,25,14,26535,2,No pension,Married,No,No,No
-3000,Not eligible,39,13,48360,3,No pension,Married,Yes,No,Yes
5000,Not eligible,41,13,31635,2,No pension,Not married,No,No,Yes
24654,Not eligible,52,14,40041,3,No pension,Not married,No,No,Yes
-5000,Not eligible,43,12,22410,1,Receives pension,Not married,No,No,No
700,Not eligible,37,9,27072,2,No pension,Married,Yes,No,No
0,Not eligible,47,13,21420,1,No pension,Not married,No,No,Yes
3550,Not eligible,57,15,34410,2,No pension,Married,Yes,No,Yes
-3900,Not eligible,36,12,23700,1,No pension,Married,Yes,No,Yes
-7350,Not eligible,30,14,19950,1,No pension,Married,No,No,No
-2450,Not eligible,29,12,23274,1,No pension,Not married,No,No,No
41800,Not eligible,54,13,20019,1,No pension,Married,No,Yes,Yes
-200,Not eligible,47,15,1200,0,No pension,Not married,No,No,No
16597,Not eligible,51,18,85980,4,No pension,Married,No,Yes,Yes
4883,Not eligible,44,12,26472,1,No pension,Married,No,No,Yes
8300,Not eligible,61,12,37911,3,No pension,Married,Yes,No,Yes
-550,Not eligible,30,15,15822,0,No pension,Married,No,No,Yes
11730,Not eligible,48,14,77913,4,Receives pension,Married,Yes,No,Yes
90550,Not eligible,39,16,159696,4,No pension,Married,Yes,Yes,Yes
-5500,Not eligible,36,12,25200,1,No pension,Not married,No,No,No
9918,Not eligible,39,14,23046,1,No pension,Not married,No,Yes,Yes
-120,Not eligible,26,12,15450,0,No pension,Not married,No,No,Yes
2050,Not eligible,37,18,25920,1,No pension,Not married,No,No,No
-3900,Not eligible,37,16,13839,0,No pension,Not married,No,No,Yes
