startyear,endyear,beta_ols,beta_nls,n,period
1960,1961,-.017610749,-.017610749,84,1
1960,1962,-.0088779945,-.0088779945,84,2
1960,1963,-.0090258289,-.0090258289,84,3
1960,1964,-.0089149605,-.0089149605,84,4
1960,1965,-.0083046714,-.0083046714,84,5
1960,1966,-.0079626283,-.0079626283,84,6
1960,1967,-.0071589821,-.0071589821,84,7
1960,1968,-.006745629,-.006745629,84,8
1960,1969,-.0068994835,-.0068994835,84,9
1960,1970,-.0057733827,-.0057733827,84,10
1960,1971,-.0059791594,-.0059791594,84,11
1960,1972,-.0061372421,-.0061372421,84,12
1960,1973,-.0067306762,-.0067306762,84,13
1960,1974,-.0055168662,-.0055168662,84,14
1960,1975,-.0049341279,-.0049341279,84,15
1960,1976,-.0042921724,-.0042921724,84,16
1960,1977,-.0036032745,-.0036032745,84,17
1960,1978,-.0038811467,-.0038811467,84,18
1960,1979,-.0039326465,-.0039326465,84,19
1960,1980,-.0044323695,-.0044323695,84,20
1960,1981,-.0037456236,-.0037456236,84,21
1960,1982,-.0031966984,-.0031966984,84,22
1960,1983,-.0029389891,-.0029389891,84,23
1960,1984,-.0027670371,-.0027670371,84,24
1960,1985,-.0022629236,-.0022629236,84,25
1960,1986,-.0028059029,-.0028059029,84,26
1960,1987,-.0035924388,-.0035924388,84,27
1960,1988,-.0037094108,-.0037094108,84,28
1960,1989,-.0038825707,-.0038825707,84,29
1960,1990,-.0039400598,-.0039400598,84,30
1960,1991,-.0036908763,-.0036908763,84,31
1960,1992,-.0039662975,-.0039662975,84,32
1960,1993,-.0037536565,-.0037536565,84,33
1960,1994,-.0038910708,-.0038910708,84,34
1960,1995,-.0035714062,-.0035714062,84,35
1960,1996,-.0032674139,-.0032674139,84,36
1960,1997,-.0034199725,-.0034199725,84,37
1960,1998,-.0037645027,-.0037645027,84,38
1960,1999,-.0038143834,-.0038143834,84,39
1960,2000,-.0040240195,-.0040240195,84,40
1960,2001,-.0037023649,-.0037023649,84,41
1960,2002,-.0033845943,-.0033845943,84,42
1960,2003,-.0031480836,-.0031480836,84,43
1960,2004,-.0030192332,-.0030192332,84,44
1960,2005,-.0030181161,-.0030181161,84,45
1960,2006,-.0028335049,-.0028335049,84,46
1960,2007,-.0026700401,-.0026700401,84,47
1960,2008,-.0023907458,-.002390746,84,48
