startyear,endyear,beta,se,lower,upper,n,speed_pct,halflife
1960,2019,-.00055955473,.0012488441,-.0030439035,.0019247941,84,-.055955473,
1961,2019,-.00049289787,.001233734,-.0029471877,.0019613919,84,-.049289789,
1962,2019,-.00053612108,.001250917,-.0030245935,.0019523513,84,-.053612109,
1963,2019,-.00057626498,.0012308981,-.0030249134,.0018723834,84,-.057626497,
1964,2019,-.00052376138,.0012244548,-.002959592,.0019120694,84,-.052376136,
1965,2019,-.00054443366,.0012280833,-.0029874826,.0018986153,84,-.054443367,
1966,2019,-.00049613405,.0012381847,-.0029592779,.0019670099,84,-.049613405,
1967,2019,-.00064176222,.0012476948,-.0031238247,.0018403003,84,-.064176224,
1968,2019,-.00065884646,.0012428745,-.0031313198,.0018136268,84,-.06588465,
1969,2019,-.00061384169,.0012508417,-.0031021642,.0018744809,84,-.061384171,
1970,2019,-.00096797751,.0012359072,-.0034265907,.0014906357,84,-.096797749,
1971,2019,-.001030321,.0012301705,-.0034775219,.0014168801,84,-.1030321,
1972,2019,-.0009820523,.0012424812,-.0034537432,.0014896386,84,-.098205231,
1973,2019,-.0008377427,.0012363667,-.0032972698,.0016217844,84,-.083774269,
1974,2019,-.00098836899,.001266225,-.003507294,.001530556,84,-.098836899,
1975,2019,-.0012653404,.0012421036,-.0037362801,.0012055995,84,-.12653403,
1976,2019,-.0014848942,.0012639917,-.0039993762,.001029588,84,-.14848942,
1977,2019,-.0017385746,.0012775377,-.0042800037,.00080285472,84,-.17385747,
1978,2019,-.0016024625,.0012767554,-.0041423356,.00093741069,84,-.16024625,
1979,2019,-.0015302425,.0012856699,-.0040878495,.0010273644,84,-.15302426,
1980,2019,-.0011049926,.0013213599,-.0037335984,.0015236131,84,-.11049926,
1981,2019,-.0014221178,.0013542952,-.0041162423,.0012720068,84,-.14221178,
1982,2019,-.0015987514,.0013605304,-.0043052798,.001107777,84,-.15987514,
1983,2019,-.0016576996,.0013532639,-.0043497724,.0010343734,84,-.16576996,
1984,2019,-.0017479303,.001356373,-.004446188,.00095032767,84,-.17479303,
1985,2019,-.0020242571,.0013953535,-.0048000598,.00075154554,84,-.2024257,
1986,2019,-.0016415705,.0013799648,-.0043867598,.0011036191,84,-.16415705,
1987,2019,-.00096988829,.001363726,-.0036827736,.001742997,84,-.096988827,
1988,2019,-.0006700246,.0013888665,-.0034329225,.0020928732,84,-.06700246,
1989,2019,-.00020479728,.0013931697,-.0029762557,.0025666612,84,-.020479728,
1990,2019,.000081259313,.001398579,-.0027009598,.0028634786,84,.008125931,8530.0645
1991,2019,.00025723467,.0014055374,-.0025388268,.0030532961,84,.025723467,2694.6104
1992,2019,.00075464306,.001423997,-.0020781406,.0035874266,84,.075464308,918.50995
1993,2019,.00094200112,.0013906845,-.0018245134,.0037085158,84,.094200112,735.82416
1994,2019,.0019690697,.0015000276,-.0010149631,.0049531027,84,.19690697,352.01761
1995,2019,.0018176909,.0014579566,-.0010826491,.0047180313,84,.18176909,381.33389
1996,2019,.0020816855,.0014680596,-.00083875266,.0050021238,84,.20816855,332.974
1997,2019,.0021681481,.001454647,-.00072560838,.0050619044,84,.2168148,319.6955
1998,2019,.0026315083,.0015214855,-.00039521095,.005658228,84,.26315084,263.40298
1999,2019,.0029880591,.0015882186,-.0001714137,.0061475318,84,.29880589,231.97238
2000,2019,.0036462271,.0015739168,.00051520538,.0067772488,84,.36462271,190.09984
2001,2019,.0034843979,.0015830506,.0003352061,.00663359,84,.34843978,198.92882
2002,2019,.0034206044,.0017335613,-.000028001199,.0068692099,84,.34206045,202.63881
2003,2019,.0033857999,.001827766,-.00025020877,.0070218085,84,.33857998,204.72185
2004,2019,.0036647613,.0017900487,.0001037843,.0072257384,84,.36647612,189.13843
2005,2019,.0044101132,.001793301,.00084266608,.0079775602,84,.44101131,157.17221
2006,2019,.0047887168,.0018745514,.0010596368,.0085177971,84,.47887167,144.74591
2007,2019,.0049573262,.0018955178,.0011865373,.0087281149,84,.49573264,139.8228
2008,2019,.0052469587,.0021301971,.0010093182,.0094845993,84,.52469587,132.10455
2009,2019,.0031951112,.0020500526,-.0008830966,.0072733192,84,.31951112,216.93993
2010,2019,.0030897316,.0020776915,-.0010434587,.0072229216,84,.30897316,224.33897
