startyear,endyear,beta,lower,upper,speed_pct,halflife,n
1960,2019,-.00055955473,-.0028778701,.0021268767,-.05595547,,84
1961,2019,-.00049289787,-.0027874927,.0021546504,-.049289789,,84
1962,2019,-.00053612108,-.0028632011,.0021475302,-.053612106,,84
1963,2019,-.00057626498,-.0028709532,.0020573894,-.057626497,,84
1964,2019,-.00052376138,-.002809677,.0020914483,-.052376136,,84
1965,2019,-.00054443366,-.0028392375,.0020755061,-.054443363,,84
1966,2019,-.00049613405,-.0028112521,.0021433108,-.049613405,,84
1967,2019,-.00064176222,-.002976221,.0020157478,-.064176224,,84
1968,2019,-.00065884646,-.0029874132,.0019839949,-.065884642,,84
1969,2019,-.00061384169,-.0029591196,.0020434449,-.061384168,,84
1970,2019,-.00096797751,-.0032894074,.001651817,-.096797749,,84
1971,2019,-.001030321,-.00334414,.0015729617,-.1030321,,84
1972,2019,-.0009820523,-.0033204078,.0016453933,-.098205224,,84
1973,2019,-.0008377427,-.0031678139,.0017723915,-.083774269,,84
1974,2019,-.00098836899,-.003374479,.0016851153,-.098836899,,84
1975,2019,-.0012653404,-.0036109635,.001350527,-.12653404,,84
1976,2019,-.0014848942,-.003872507,.0011761931,-.14848942,,84
1977,2019,-.0017385746,-.0041533075,.00094898778,-.17385747,,84
1978,2019,-.0016024625,-.0040186099,.0010796186,-.16024625,,84
1979,2019,-.0015302425,-.0039653121,.0011678601,-.15302426,,84
1980,2019,-.0011049926,-.0036074156,.0016683296,-.11049926,,84
1981,2019,-.0014221178,-.003987079,.0014201144,-.14221178,,84
1982,2019,-.0015987514,-.0041781799,.0012530811,-.15987514,,84
1983,2019,-.0016576996,-.0042271814,.0011739167,-.16576995,,84
1984,2019,-.0017479303,-.0043262709,.0010863745,-.17479302,,84
1985,2019,-.0020242571,-.0046767723,.00089140446,-.2024257,,84
1986,2019,-.0016415705,-.004269449,.0012360242,-.16415705,,84
1987,2019,-.00096988829,-.0035714179,.001868045,-.096988834,,84
1988,2019,-.0006700246,-.0033209515,.0022184162,-.06700246,,84
1989,2019,-.00020479728,-.002867054,.0026886889,-.020479728,,84
1990,2019,.000081259313,-.0025944132,.0029821473,.008125931,8530.0645,84
1991,2019,.00025723467,-.0024347722,.0031688181,.025723469,2694.6101,84
1992,2019,.00075464306,-.001975033,.0037016212,.075464308,918.50995,84
1993,2019,.00094200112,-.0017295444,.0038130567,.094200112,735.82416,84
1994,2019,.0019690697,-.00090890087,.0050702733,.19690697,352.01761,84
1995,2019,.0018176909,-.00098615815,.004823918,.1817691,381.33389,84
1996,2019,.0020816855,-.00074485183,.0051048328,.20816855,332.974,84
1997,2019,.0021681481,-.00063722808,.0051581226,.2168148,319.6955,84
1998,2019,.0026315083,-.00030291121,.0057586995,.26315084,263.40298,84
1999,2019,.0029880591,-.000075606462,.0062517696,.29880592,231.97238,84
2000,2019,.0036462271,.00060480047,.0068742465,.36462271,190.09984,84
2001,2019,.0034843979,.00042122693,.0067263697,.34843978,198.92882,84
2002,2019,.0034206044,.000069303242,.0069744326,.34206045,202.63881,84
2003,2019,.0033857999,-.00014837524,.0071318625,.33857998,204.72185,84
2004,2019,.0036647613,.00019563196,.0073243706,.36647612,189.13843,84
2005,2019,.0044101132,.00092889339,.0080697285,.44101131,157.17221,84
2006,2019,.0047887168,.001147207,.0086112181,.47887167,144.74591,84
2007,2019,.0049573262,.0012693611,.0088160923,.49573261,139.8228,84
2008,2019,.0052469587,.0011051191,.0095865475,.52469587,132.10455,84
2009,2019,.0031951112,-.00080213166,.0073588104,.31951112,216.93993,84
2010,2019,.0030897316,-.00096843881,.0073017576,.30897313,224.33897,84
