startyear,endyear,lambda,se,lower,upper,n
1960,2019,.00056889368,.0012907612,-.0019988415,.003136629,84
1961,2019,.00050001102,.001269513,-.0020254548,.0030254768,84
1962,2019,.00054439675,.0012897337,-.0020212943,.0031100879,84
1963,2019,.00058566406,.0012712681,-.0019432931,.0031146212,84
1964,2019,.00053137832,.0012602406,-.0019756416,.0030383982,84
1965,2019,.00055251567,.0012647242,-.0019634238,.003068455,84
1966,2019,.00050271454,.0012711749,-.0020260571,.0030314862,84
1967,2019,.00065259065,.0012900351,-.0019137,.0032188813,84
1968,2019,.00067004049,.0012853461,-.0018869224,.0032270034,84
1969,2019,.00062335882,.0012898277,-.0019425196,.0031892371,84
1970,2019,.0009913008,.0012959399,-.0015867364,.003569338,84
1971,2019,.0010562238,.0012925386,-.0015150474,.0036274947,84
1972,2019,.001005069,.0013011738,-.0015833802,.0035935182,84
1973,2019,.00085409376,.0012849414,-.0017020641,.0034102516,84
1974,2019,.0010106781,.0013238136,-.0016228087,.0036441651,84
1975,2019,.0013012271,.0013132191,-.0013111839,.0039136382,84
1976,2019,.0015333249,.0013473305,-.0011469445,.0042135944,84
1977,2019,.0018036237,.001374314,-.00093032443,.0045375717,84
1978,2019,.0016562763,.0013634565,-.001056073,.0043686256,84
1979,2019,.0015780458,.0013668237,-.0011410021,.0042970935,84
1980,2019,.0011291481,.0013795483,-.001615213,.0038735091,84
1981,2019,.0014612455,.0014294956,-.0013824768,.0043049674,84
1982,2019,.0016469839,.0014434389,-.001224476,.0045184437,84
1983,2019,.0017081618,.0014364813,-.0011494571,.0045657805,84
1984,2019,.0018025045,.0014419433,-.0010659802,.0046709892,84
1985,2019,.0020955426,.0014947703,-.00087803166,.0050691166,84
1986,2019,.0016868478,.0014567819,-.0012111556,.0045848512,84
1987,2019,.00098509621,.0014067148,-.0018133076,.0037835001,84
1988,2019,.00067703152,.0014180159,-.002143854,.003497917,84
1989,2019,.0002054277,.0014017556,-.0025831109,.0029939662,84
1990,2019,-.000081163642,.0013952871,-.0028568343,.0026945069,84
1991,2019,-.00025631054,.0013954502,-.0030323055,.0025196844,84
1992,2019,-.00074700697,.0013952762,-.0035226557,.0020286418,84
1993,2019,-.00093055895,.0013570376,-.0036301389,.001769021,84
1994,2019,-.0019213897,.0014279742,-.0047620852,.00091930584,84
1995,2019,-.0017786133,.0013957212,-.0045551476,.00099792087,84
1996,2019,-.0020326371,.0013994268,-.0048165428,.00075126864,84
1997,2019,-.002117251,.0013868903,-.0048762173,.00064171565,84
1998,2019,-.0025601187,.0014396866,-.0054241139,.0003038767,84
1999,2019,-.0029005264,.0014960852,-.0058767167,.000075663651,84
2000,2019,-.0035227917,.0014685696,-.0064442446,-.0006013388,84
2001,2019,-.0033773778,.0014868125,-.0063351216,-.00041963407,84
2002,2019,-.00332305,.0016356292,-.0065768375,-.000069262431,84
2003,2019,-.0032957245,.0017313849,-.0067400006,.00014855149,84
2004,2019,-.0035658532,.0016943029,-.0069363615,-.0001953452,84
2005,2019,-.0042767287,.0016859286,-.0076305773,-.00092287961,84
2006,2019,-.0046427054,.0017614126,-.0081467163,-.0011386948,84
2007,2019,-.0048127566,.0017860458,-.0083657708,-.0012597423,84
2008,2019,-.0050984123,.0020107303,-.0090983957,-.0010984292,84
2009,2019,-.0031446069,.0019855867,-.0070945714,.00080535735,84
2010,2019,-.003047168,.0020207118,-.0070670075,.00097267155,84
