year,variance,var_lb,var_ub,n
1960,.92443764,.69695848,1.2854091,84
1961,.96047026,.72412443,1.3355117,84
1962,.962358,.72554767,1.3381366,84
1963,.98353344,.74151242,1.3675805,84
1964,1.0053729,.75797778,1.3979478,84
1965,1.0196282,.76872522,1.4177694,84
1966,1.0359275,.78101373,1.4404333,84
1967,1.0478126,.78997415,1.4569591,84
1968,1.0611056,.79999614,1.4754428,84
1969,1.0864035,.81906891,1.5106189,84
1970,1.0818468,.81563348,1.504283,84
1971,1.1109635,.83758533,1.544769,84
1972,1.1450077,.86325222,1.5921068,84
1973,1.1878269,.89553475,1.6516458,84
1974,1.1725032,.88398176,1.6303385,84
1975,1.1852505,.89359236,1.6480634,84
1976,1.1849338,.89335352,1.6476229,84
1977,1.1797569,.88945055,1.6404246,84
1978,1.2173222,.91777211,1.6926584,84
1979,1.2422675,.93657893,1.7273442,84
1980,1.2892821,.97202456,1.7927169,84
1981,1.2750231,.96127433,1.7728901,84
1982,1.2735944,.96019715,1.7709035,84
1983,1.2826335,.96701205,1.7834723,84
1984,1.2885189,.97144914,1.7916557,84
1985,1.2690399,.95676339,1.7645706,84
1986,1.324054,.99824005,1.8410665,84
1987,1.405731,1.0598185,1.9546363,84
1988,1.4418006,1.0870124,2.0047903,84
1989,1.4938154,1.1262277,2.0771158,84
1990,1.5384402,1.1598716,2.1391654,84
1991,1.5674962,1.1817776,2.1795671,84
1992,1.6255018,1.2255096,2.2602224,84
1993,1.6650796,1.2553484,2.3152547,84
1994,1.747906,1.3177935,2.4304228,84
1995,1.7485325,1.3182658,2.431294,84
1996,1.7684896,1.333312,2.459044,84
1997,1.7868944,1.347188,2.4846354,84
1998,1.8222958,1.3738779,2.53386,84
1999,1.8434601,1.3898343,2.5632887,84
2000,1.8936753,1.4276929,2.6331117,84
2001,1.8785095,1.4162589,2.6120241,84
2002,1.8707792,1.4104309,2.601275,84
2003,1.8685243,1.4087309,2.5981398,84
2004,1.8831317,1.4197438,2.6184511,84
2005,1.9130461,1.4422971,2.6600463,84
2006,1.9271294,1.4529148,2.6796288,84
2007,1.9218173,1.4489099,2.6722424,84
2008,1.9182094,1.4461898,2.6672258,84
2009,1.834511,1.3830874,2.5508451,84
2010,1.8262229,1.3768387,2.5393207,84
2011,1.8030301,1.3593531,2.5070717,84
2012,1.7839619,1.344977,2.4805577,84
2013,1.7946668,1.3530476,2.4954424,84
2014,1.7662019,1.3315872,2.4558628,84
2015,1.7605963,1.327361,2.4480684,84
2016,1.7543052,1.322618,2.4393208,84
2017,1.7704176,1.3347656,2.4617248,84
2018,1.7787994,1.341085,2.4733794,84
2019,1.7635024,1.3295521,2.4521091,84
