year,beta_excl_1,se_excl_1,beta_excl_2,se_excl_2,beta_excl_3,se_excl_3,beta_excl_4,se_excl_4
1960,.33491927,.29703999,.49960572,.20062162,.57404286,.20794562,.24253844,.23929603
1961,.15639767,.31126904,.3858605,.20612262,.43145949,.21041429,.1679583,.24003707
1962,.33322459,.31509888,.50314504,.21396902,.48990008,.2257698,.38008162,.25419965
1963,.20030718,.35744488,.45954424,.25291583,.4216958,.27040073,.31528431,.28807652
1964,.29157192,.32931125,.46262568,.23055899,.41414535,.24491532,.23228559,.26053834
1965,.32308465,.34942451,.3851603,.23731132,.3596206,.25025475,.090851746,.25837132
1966,.34412152,.35334024,.3804166,.23252624,.33716002,.24369225,-.016218059,.25555304
1967,.33996469,.32312971,.40613276,.22267453,.41157296,.23495096,-.11369357,.24292329
1968,.26738256,.31110069,.3527081,.22047324,.35940045,.23211142,-.20502189,.23726246
1969,.22688515,.35810569,.35561886,.24583359,.3498829,.2618331,-.26753798,.24247511
1970,-.3472822,.36962235,-.051728953,.32267594,-.19108734,.32678443,-.5059123,.33644831
1971,-.41301793,.42518139,-.13471253,.3508935,-.20577808,.36423743,-.62458909,.37203988
1972,-.57351577,.44470647,-.28238371,.35918245,-.25090182,.37760559,-.76558554,.38808
1973,-.53067505,.38156831,-.25017434,.30964646,-.19862072,.32310435,-.78071582,.32914239
1974,-.33200729,.35085422,-.071437523,.28268886,.072284661,.30032873,-.59912103,.30328003
1975,-.29634911,.33656266,.016442066,.27552378,.19685361,.3006283,-.43672484,.29821831
1976,-.49035797,.35377434,-.10494528,.29595834,.087267727,.32463834,-.54739928,.3295655
1977,-.38486019,.33966494,.016383749,.28479636,.20648305,.30926487,-.42971343,.31389982
1978,-.28837118,.3394953,.13263759,.28062534,.29951572,.30202621,-.27010748,.32091302
1979,-.31969318,.3081179,.1216281,.2643145,.32515478,.28530014,-.20880347,.31214231
1980,-.34315693,.30258727,.11689547,.26838419,.26791567,.28455427,-.22504525,.31287792
1981,-.36100638,.32608661,.12145554,.28032595,.23977369,.30043998,-.2178427,.32347119
1982,.050028533,.28437015,.38357553,.23242027,.48195091,.24745817,-.083999351,.26194346
1983,.15462975,.26997596,.37420678,.20965216,.47574607,.22294898,-.066602051,.24140102
1984,.18741906,.27501947,.36783454,.21032655,.47468081,.22680984,-.097655743,.23283257
1985,.24398766,.2745727,.37481317,.20294856,.4607586,.21642449,-.13839431,.21506284
1986,.40254748,.24293971,.40836865,.18095762,.51084101,.19219045,-.11162452,.17485832
1987,.36045399,.23429009,.32760024,.18516466,.43781164,.20530306,-.133448,.1616872
1988,.37521917,.23446634,.32159185,.18802683,.48540804,.21238846,-.12632222,.16005386
1989,.15459968,.22419202,.16694267,.18716921,.30062342,.20864952,-.3050645,.1452812
1990,.25346205,.24865383,-.1387437,.2354621,.0070827683,.25665873,-.54158688,.25000975
1991,.14605924,.25345254,-.11340111,.23615634,.050208863,.26120815,-.49833837,.26271215
1992,-.054998051,.22435153,-.037907265,.21903081,.11442284,.24454962,-.3618305,.27215677
1993,-.15013999,.21493897,-.051620644,.20463055,.10499303,.22702923,-.44290486,.24746808
1994,-.36931801,.24697883,-.21412601,.21477506,-.10918698,.23837997,-.53797728,.21149537
1995,-.29017669,.20830654,-.18110582,.18462208,-.04489122,.19899741,-.60750717,.204772
1996,-.17638029,.18706834,-.093326837,.16401424,.054593988,.16711533,-.60580921,.2119461
1997,-.17740136,.20876941,-.1196254,.17000256,.029185204,.17063175,-.73266941,.23668812
1998,-.20842864,.22289665,-.23744704,.17145301,-.12639505,.1698043,-.89855641,.24033949
1999,-.40150452,.2404235,-.5070923,.17114328,-.41647616,.17097355,-1.1470666,.22784914
2000,-.52770621,.25873154,-.66828269,.17394212,-.61411786,.17352761,-1.2481273,.23073998
2001,-.43542954,.26428381,-.63622928,.17291838,-.59509599,.16632847,-1.2134497,.23798044
2002,-.45724785,.25322315,-.7089206,.16557845,-.67532212,.15704475,-1.2283119,.24022688
2003,-.47721726,.26014316,-.72558725,.17370041,-.70365214,.1654672,-1.2368339,.24596435
2004,-.58188683,.23308186,-.77707374,.16385522,-.75420463,.15987138,-1.2124325,.23626785
2005,-.65548933,.20196974,-.75879425,.14898796,-.71354228,.15275896,-1.1263521,.21450724
2006,-.71297401,.19388326,-.75946665,.14796674,-.7106818,.15321918,-1.0720881,.22568919
2007,-.76248318,.19820705,-.75676811,.15065321,-.73134881,.15753026,-1.0103332,.23808073
2008,-.78425425,.21839057,-.69876474,.16140713,-.67840713,.16929622,-.89252108,.24934459
2009,,,,,,,,
