year,beta,se,ci_upper,ci_lower
1960,.5322578,.19149446,.90758693,.15692864
1961,.39879724,.19574726,.78246188,.015132622
1962,.50539047,.20370778,.90465772,.10612321
1963,.46065834,.24013509,.93132311,-.010006431
1964,.43747833,.21653695,.86189079,.013065903
1965,.36403081,.22111438,.79741502,-.069353379
1966,.34752941,.21612485,.77113414,-.076075293
1967,.3699283,.20660342,.77487099,-.03501441
1968,.30663434,.20400469,.70648354,-.093214855
1969,.29317591,.22758503,.73924255,-.15289076
1970,-.074629255,.29301649,.49968308,-.64894158
1971,-.13650218,.32047024,.4916195,-.76462388
1972,-.24576233,.32918033,.39943111,-.89095581
1973,-.22766834,.28162575,.32431811,-.7796548
1974,-.032601513,.26137641,.47969624,-.54489928
1975,.057481702,.25777888,.56272829,-.4477649
1976,-.045378793,.27864355,.50076258,-.59152013
1977,.052936267,.2673448,.57693207,-.47105956
1978,.15296891,.26122665,.66497314,-.35903534
1979,.14167139,.24684092,.62547958,-.34213683
1980,.10574915,.24625775,.58841437,-.37691605
1981,.097889096,.2563245,.60028511,-.40450692
1982,.3263016,.21593015,.74952471,-.096921489
1983,.32745641,.19661736,.71282643,-.05791362
1984,.32613429,.19892849,.71603411,-.063765548
1985,.31620917,.19154853,.69164425,-.059225943
1986,.35546559,.1732903,.69511455,.015816608
1987,.29607829,.17753309,.64404315,-.051886562
1988,.30693814,.1803875,.66049767,-.046621352
1989,.153244,.17931569,.50470275,-.19821474
1990,-.12730904,.2213303,.30649835,-.56111646
1991,-.097204596,.22396247,.34176186,-.53617102
1992,-.03228325,.21021061,.37972954,-.44429603
1993,-.04953159,.19739963,.33737168,-.43643486
1994,-.21248391,.20679076,.19282597,-.6177938
1995,-.16941443,.17833683,.18012576,-.51895463
1996,-.086539559,.15735367,.22187363,-.39495274
1997,-.11613801,.16290429,.2031544,-.43543044
1998,-.23687059,.16471717,.085975058,-.55971622
1999,-.49817127,.16501957,-.17473291,-.82160962
2000,-.65094465,.1684535,-.32077578,-.98111349
2001,-.61499703,.16803001,-.28565821,-.94433582
2002,-.6814754,.16169558,-.36455205,-.99839872
2003,-.7017132,.16934863,-.3697899,-1.0336366
2004,-.75622725,.15914196,-.44430903,-1.0681455
2005,-.74214095,.14494552,-.45804775,-1.0262341
2006,-.75497693,.14365511,-.47341293,-1.036541
2007,-.76370507,.14632644,-.47690526,-1.0505049
2008,-.71104628,.15696277,-.40339926,-1.0186933
2009,,,,
