year,beta_unconditional,beta_conditional,se_unconditional,se_conditional,zero
1985,.42018148,-1.0718713,.2520588,.57685888,0
1986,.46151313,-.71348792,.26973733,.57025719,0
1987,.42043269,-.35469183,.27461407,.63895446,0
1988,.40925831,-.34243479,.27861083,.64983112,0
1989,.29397109,-.50879568,.27832228,.55715281,0
1990,.37715054,-.56024653,.28768334,.56856322,0
1991,.35548326,-.44141197,.28284928,.52044505,0
1992,.20613952,-.39799905,.25710469,.50570208,0
1993,.094955012,-.28883654,.25173515,.43644491,0
1994,-.065182775,-.6605143,.27635482,.55806339,0
1995,.08071585,-.15503162,.20876078,.39712876,0
1996,.066060908,.047412723,.17084534,.32546666,0
1997,.046278425,-.031331155,.15996864,.34366861,0
1998,.02054533,-.10804619,.16721918,.36953476,0
1999,-.24416377,-.38051867,.16835907,.34508803,0
2000,-.38749811,-.54040003,.16683061,.34831744,0
2001,-.33623561,-.56748682,.16324241,.34687883,0
2002,-.34140059,-.69055659,.15959041,.43171552,0
2003,-.3618857,-.87111175,.19873789,.40895048,0
2004,-.50608212,-1.0816767,.20326801,.47432199,0
2005,-.55574149,-.96890491,.20263053,.48061088,0
2006,-.5781523,-1.1453582,.20999558,.4552106,0
2007,-.64592177,-1.2741966,.21895656,.38301235,0
