variable,beta,se,n_obs,pval
investment,-2.9777536,.39466405,118,1.1099000e-11
population_growth,-1.530496,.27736172,172,1.2590054e-07
barrolee2060,-.15778016,.10513628,136,.1357805
edugap,-.80580705,.2564801,136,.0020671219
laborparti,-.6572566,.16299847,173,.00008307091
polity2,-2.0290773,.1681504,131,6.5487395e-23
FH_political_rights,-1.3937048,.20636661,139,3.7667608e-10
FH_civil_liberties,-1.3634522,.17208762,139,7.1782120e-13
totalscore,-.88125122,.20409495,158,.000027905449
WGI_pol_stability,-1.3055919,.25288489,168,6.8899243e-07
WGI_gov_effectiveness,-.45414761,.17248571,165,.0092787202
WGI_regulatory_quality,-.50853181,.19452593,166,.0097761909
WGI_rule_law,-.51449299,.16641852,169,.0023337109
WGI_control_corruption,-.42937928,.16807553,168,.01152721
overallscore,-1.781407,.3495864,97,1.7628258e-06
governmentintegrity,-2.5169716,.22801691,98,8.9115125e-19
propertyrights,-.33630884,.38486215,97,.38440776
businessfreedom,-1.9428667,.43399397,98,.000020871448
tariff_all_ew,-3.4554417,.2145347,45,7.9558438e-20
tariff_all_vw,-3.3827603,.25317696,45,6.6117374e-17
inc_tax,-1.6106329,.28134191,45,9.1776025e-07
sev_tax,-2.509166,.41880995,46,3.4769138e-07
gov_spending,-1.610746,.30546221,114,6.6010483e-07
taxburden,-3.7372811,.37209356,98,1.1968486e-16
pri_inv,-1.596042,.15541936,156,3.5888903e-19
miliexp,-2.1037798,.35307977,111,3.1793817e-08
inflation,-3.0695767,.10312298,128,0
lvaw_garriga,-2.5616934,.49848628,103,1.3527758e-06
WDI_credit,.89278102,.4050965,102,.0298272
credit,-.9834224,.97315127,102,.31466866
financialfreedom,-1.9989035,.39998803,97,2.6442824e-06
investmentfreedom,-.82734764,.5234828,98,.11728915
