year,n_countries,mean_loggdp,sd_loggdp
1960,109,8.032032,.94653451
1961,110,8.0401726,.96108133
1962,111,8.0623569,.95794845
1963,111,8.0706196,.99840856
1964,111,8.1190901,.98516417
1965,111,8.1544466,.98121065
1966,111,8.1740885,.98675996
1967,111,8.1954079,.99222988
1968,111,8.2212963,.99649376
1969,111,8.261157,1.0102193
1970,137,8.3535433,1.0864531
1971,137,8.3802204,1.0875328
1972,137,8.4054441,1.0880369
1973,137,8.434536,1.0987928
1974,137,8.4662981,1.0906712
1975,137,8.4651737,1.0829225
1976,137,8.4927025,1.0911834
1977,137,8.5186977,1.1000783
1978,137,8.5369234,1.1001252
1979,137,8.5481424,1.117556
1980,137,8.5582323,1.1392418
1981,137,8.5606899,1.1248806
1982,137,8.5505581,1.1125044
1983,137,8.5531378,1.109966
1984,137,8.5696154,1.1186199
1985,137,8.5631609,1.1048831
1986,137,8.5624208,1.1090839
1987,137,8.5765018,1.1365106
1988,137,8.5842991,1.143315
1989,138,8.5784168,1.1719815
1990,160,8.6915092,1.1456656
1991,160,8.6793146,1.1445202
1992,160,8.6568499,1.1512555
1993,160,8.6470442,1.154698
1994,160,8.6448641,1.179231
1995,160,8.6825619,1.1767545
1996,160,8.7269258,1.1810367
1997,160,8.7460232,1.1817644
1998,160,8.7392321,1.1911054
1999,160,8.7614832,1.1965417
2000,160,8.8071871,1.2170554
2001,160,8.8265371,1.204825
2002,160,8.8470192,1.199837
2003,160,8.8843927,1.1951241
2004,160,8.9397612,1.1923063
2005,160,9.0290403,1.2071449
2006,160,9.086381,1.204289
2007,160,9.1407795,1.2134039
2008,160,9.1928949,1.2189195
2009,160,9.1629009,1.1754152
2010,160,9.2331133,1.1729609
2011,160,9.2996569,1.1735662
2012,160,9.3252153,1.1694189
2013,160,9.3239346,1.1615922
2014,160,9.3374319,1.1507269
2015,160,9.319869,1.1325064
2016,160,9.3205557,1.1365689
2017,160,9.3355579,1.1734022
