var,lambda_1985,lambda_2005,delta_1985,delta_2005,obs_1985,obs_2005,id,flag_solow,flag_long_run,flag_culture,flag_longrun,dl_1985,dl_2005
investment,.25293931,.38196874,.27639377,.10900727,115,115,1,1,0,0,0,.069910854,.041637369
population_growth,-.63570237,-.65551788,-.3844696,-.19164591,136,136,2,1,0,0,0,.24440823,.12562732
barrolee2060,.96271175,.70034772,.65648544,.63895768,118,118,3,1,0,0,0,.63200623,.44749257
edugap,-.54967058,-.25725377,-.41235876,-.50125283,118,118,4,0,0,0,0,.22666147,.12894918
laborparti,-.42415529,.36665279,-.26809448,-.25671601,160,160,5,0,0,0,0,.1137137,-.094125643
polity2,.89083719,.34015712,.49381801,.19665201,124,124,6,0,0,0,0,.43991145,.066892579
FH_political_rights,1.1072633,.18885568,.5399248,.35255668,132,132,7,0,0,0,0,.59783894,.06658233
FH_civil_liberties,.95904166,.17329358,.56772482,.35139117,132,132,8,0,0,0,0,.54447174,.06089383
totalscore,.11717076,.0038953605,.51727754,.46830663,152,152,9,0,0,0,0,.060609803,.0018242232
tariff_all_ew,.29751483,-.26499712,-.75830704,-.27141514,45,45,19,0,0,0,0,-.22560759,.071924232
tariff_all_vw,.025612766,-.79877079,-.69591963,-.25628904,45,45,20,0,0,0,0,-.017824426,.20471619
inc_tax,-.11251427,.081636898,.41596609,.28027272,48,45,21,0,0,0,0,-.046802122,.022880595
sev_tax,-.57866675,.18496171,-.18233356,-.15528676,49,45,22,0,0,0,0,.10551037,-.028722104
gov_spending,-.19186626,-.24544629,.26217175,.23718569,111,111,23,0,0,0,0,-.050301913,-.058216348
pri_inv,.025532877,.12090033,.23378526,.19489048,133,133,25,0,0,0,0,.0059692101,.023562325
miliexp,.089274973,-.56494218,.0341709,.043525267,110,110,26,0,0,0,0,.0030506062,-.024589259
inflation,-.080515489,-1.1167098,-.15574889,-.042697869,124,124,27,0,0,0,0,.012540198,.04768113
lvaw_garriga,-.6055277,.022881784,-.021557732,.33879584,100,100,28,0,0,0,0,.013053804,.0077522532
WDI_credit,.76131994,.17033696,.54883826,.96257156,104,104,29,0,0,0,0,.41784149,.16396151
credit,.37091666,.13175084,.26678482,.57447249,104,104,30,0,0,0,0,.098954931,.07568723
investmentfreedom,.34744275,.0095825018,.38279858,.49741104,97,94,32,0,0,0,0,.1330006,.0047664423
population_1900,.47235394,.47230464,-.22984681,-.14459006,58,58,33,0,1,0,1,-.10856904,-.068290561
legor_uk,.53284043,.05584858,.058733661,.039262217,136,136,34,0,1,0,1,.031295668,.0021927389
legor_fr,-.60035896,-.30838016,-.21287441,-.19108203,136,136,35,0,1,0,1,.12780106,.058925908
legor_ge,.18702936,.47972625,.12720644,.13677992,136,136,36,0,1,0,1,.023791339,.065616921
legor_sc,-.076226875,-.064622097,.28277519,.23381729,136,136,37,0,1,0,1,-.02155507,-.015109763
legor_so,.0069914097,.34542385,-.13157801,-.088640921,136,136,38,0,1,0,1,-.00091991579,-.030618688
logem4,-.77448708,-.42612043,-.6103555,-.56932843,84,84,39,0,1,0,1,.47271246,.24260247
meantemp,.023695085,.38107428,-.58284301,-.47565264,60,60,40,0,1,0,1,-.013810514,-.18125899
lt100km,.80567968,.12995838,.23877892,.3289465,61,61,41,0,1,0,1,.19237933,.042749353
avelf,-.55477494,.028838718,-.41332301,-.44105873,124,124,42,0,1,0,1,.22930124,-.012719569
landlock,.30130526,.18281589,-.19973886,-.14193697,129,129,43,0,1,0,1,-.06018237,-.025948334
lat_abst,.61752957,.059370011,.49403942,.48135868,129,129,44,0,1,0,1,.30508396,.02857827
tropics,-.083223157,.75248545,-.60079533,-.51801789,89,89,45,0,1,0,1,.050000083,-.38980094
VSM_power_dist,-.017460221,.67913514,-.58834165,-.51304454,60,60,46,0,1,1,0,.010272576,-.34842658
VSM_individualism,-.57365692,-.62553698,.57337976,.45947766,60,60,47,0,1,1,0,-.32892326,-.28742027
VSM_masculinity,-.24688768,-.091864876,.023316504,-.0059063621,60,60,48,0,1,1,0,-.0057565579,.00054258725
VSM_uncertain_avoid,-.49182692,-.11367107,-.039699361,-.10484804,60,60,49,0,1,1,0,.019525215,.011918189
VSM_indulgence,.78327078,.45821393,.24248688,.29231933,69,69,50,0,1,1,0,.18993288,.13394478
VSM_longterm,-.09171439,-.26791736,.41221577,.29723719,70,70,51,0,1,1,0,-.037806116,-.079635002
