var,delta_1985,delta_2015,delta_1985_t,delta_2015_t,id,flag_solow,flag_long_run,flag_culture,flag_longrun
investment,.25763392,-.024127705,3.9862778,-.34123746,1,1,0,0,0
population_growth,-.40836799,-.31701899,-4.747015,-6.2842116,2,1,0,0,0
barrolee2060,.63729835,.68711549,8.7283363,15.797003,3,1,0,0,0
edugap,-.40308559,-.46467718,-6.9387097,-7.6795583,4,0,0,0,0
laborparti,-.24611606,-.20255099,-3.4870238,-3.2404938,5,0,0,0,0
polity2,.49480101,.17149465,5.6540027,3.1891897,6,0,0,0,0
FH_political_rights,.5399248,.40755716,7.2282562,7.1705661,7,0,0,0,0
FH_civil_liberties,.56772482,.41156447,7.6315556,7.5669231,8,0,0,0,0
totalscore,.50788915,.42233011,8.0677223,7.0164571,9,0,0,0,0
tariff_all_ew,-.47010386,-.23498456,-9.253458,-5.835927,19,0,0,0,0
tariff_all_vw,-.41949981,-.23964426,-9.1534386,-4.6462178,20,0,0,0,0
inc_tax,.42390016,.23838,2.6715856,1.912289,21,0,0,0,0
sev_tax,-.13533142,-.2271847,-.81046081,-1.2628015,22,0,0,0,0
gov_spending,.25536311,.20380838,4.3681846,2.9593976,23,0,0,0,0
pri_inv,.21623173,.20889702,3.2075181,4.5245819,25,0,0,0,0
miliexp,-.0036028023,.020920556,-.067406297,.70037711,26,0,0,0,0
inflation,-.13531345,-.064933009,-2.9118671,-3.4914217,27,0,0,0,0
lvaw_garriga,-.0083802352,.15475321,-.097762577,1.1727126,28,0,0,0,0
WDI_credit,.52610987,1.0307233,4.5508804,11.576137,29,0,0,0,0
credit,.26989707,.64505184,3.0604541,7.9289651,30,0,0,0,0
investmentfreedom,.36392877,.66658944,4.2198281,7.6321182,32,0,0,0,0
population_1900,.0032612816,.03108882,.056422222,.63360775,33,0,1,0,1
legor_uk,.058733661,.028914982,.71913218,.38943243,34,0,1,0,1
legor_fr,-.21287441,-.20441884,-2.9920104,-3.0638497,35,0,1,0,1
legor_ge,.12720644,.16283847,2.0116887,2.9050853,36,0,1,0,1
legor_sc,0,0,,,37,0,1,0,1
legor_so,0,0,,,38,0,1,0,1
logem4,-.52928698,-.56010485,-6.5151486,-9.4503403,39,0,1,0,1
meantemp,-.44710043,-.38305444,-3.9925356,-3.504106,40,0,1,0,1
lt100km,.23877892,.36523607,1.576565,2.9978423,41,0,1,0,1
avelf,-.41131246,-.46093979,-6.2884641,-7.5625873,42,0,1,0,1
landlock,-.19973886,-.14640167,-2.5052366,-1.9096982,43,0,1,0,1
lat_abst,.46646145,.49469036,7.1169004,9.7625322,44,0,1,0,1
tropics,-.60079533,-.51840639,-9.3200378,-9.4707165,45,0,1,0,1
VSM_power_dist,-.568124,-.50853968,-5.828795,-3.4026453,46,0,1,1,0
VSM_individualism,.54084992,.43009549,3.8075628,2.064671,47,0,1,1,0
VSM_masculinity,.019966811,-.033131208,.19380692,-.32653362,48,0,1,1,0
VSM_uncertain_avoid,-.037170738,-.10562097,-.26266307,-.81705534,49,0,1,1,0
VSM_indulgence,.23368974,.34787729,2.4485769,4.4059396,50,0,1,1,0
VSM_longterm,.38725987,.28697035,5.1349525,3.497992,51,0,1,1,0
