year,qtile,mean_growth
1960,Q1 (Poorest),2.4638779
1960,Q2,2.2039776
1960,Q3,2.9304535
1960,Q4 (Richest),3.4886525
1960,,
1961,Q1 (Poorest),2.678565
1961,Q2,2.0671782
1961,Q3,3.4272799
1961,Q4 (Richest),3.3537073
1961,,
1962,Q1 (Poorest),2.8974817
1962,Q2,1.8714973
1962,Q3,3.3029454
1962,Q4 (Richest),3.6864235
1962,,
1963,Q1 (Poorest),2.8173947
1963,Q2,1.9459387
1963,Q3,3.3002851
1963,Q4 (Richest),3.6991541
1963,,
1964,Q1 (Poorest),2.6606236
1964,Q2,2.0064809
1964,Q3,3.1003346
1964,Q4 (Richest),3.5882127
1964,,
1965,Q1 (Poorest),2.3245776
1965,Q2,2.1907947
1965,Q3,2.65324
1965,Q4 (Richest),3.2868178
1965,,
1966,Q1 (Poorest),1.9599185
1966,Q2,2.7269776
1966,Q3,3.0134671
1966,Q4 (Richest),3.2934246
1966,,
1967,Q1 (Poorest),1.765817
1967,Q2,2.9671588
1967,Q3,2.8082793
1967,Q4 (Richest),3.251277
1967,,
1968,Q1 (Poorest),2.0464668
1968,Q2,2.8957081
1968,Q3,2.4799063
1968,Q4 (Richest),3.2751315
1968,,
1969,Q1 (Poorest),1.6223837
1969,Q2,2.6515715
1969,Q3,2.4691126
1969,Q4 (Richest),3.0286956
1969,,
1970,Q1 (Poorest),1.2318171
1970,Q2,2.4013696
1970,Q3,2.4627509
1970,Q4 (Richest),1.9619772
1970,,
1971,Q1 (Poorest),1.1454849
1971,Q2,2.2994692
1971,Q3,2.016027
1971,Q4 (Richest),1.7496967
1971,,
1972,Q1 (Poorest),1.1354547
1972,Q2,1.7146157
1972,Q3,1.1900351
1972,Q4 (Richest),1.6437155
1972,,
1973,Q1 (Poorest),1.080228
1973,Q2,1.3208112
1973,Q3,1.0894467
1973,Q4 (Richest),1.1527807
1973,,
1974,Q1 (Poorest),.91321707
1974,Q2,.94515181
1974,Q3,.93798608
1974,Q4 (Richest),1.3925703
1974,,
1975,Q1 (Poorest),1.1418906
1975,Q2,.50502682
1975,Q3,1.1396431
1975,Q4 (Richest),1.6805756
1975,,
1976,Q1 (Poorest),.8521508
1976,Q2,.73427534
1976,Q3,.75829619
1976,Q4 (Richest),1.3274662
1976,,
1977,Q1 (Poorest),.80649924
1977,Q2,.46262938
1977,Q3,.55997092
1977,Q4 (Richest),1.3907162
1977,,
1978,Q1 (Poorest),.64269823
1978,Q2,.28654814
1978,Q3,.41904336
1978,Q4 (Richest),1.6232351
1978,,
1979,Q1 (Poorest),.63568383
1979,Q2,.23976789
1979,Q3,.33287245
1979,Q4 (Richest),1.4465792
1979,,
1980,Q1 (Poorest),.70335233
1980,Q2,.2179314
1980,Q3,.4015196
1980,Q4 (Richest),1.4537926
1980,,
1981,Q1 (Poorest),.46094671
1981,Q2,.27627343
1981,Q3,.44105935
1981,Q4 (Richest),1.3411236
1981,,
1982,Q1 (Poorest),.31140032
1982,Q2,.30110484
1982,Q3,1.0703548
1982,Q4 (Richest),1.6785363
1982,,
1983,Q1 (Poorest),.44860783
1983,Q2,.54885077
1983,Q3,1.214613
1983,Q4 (Richest),1.6618063
1983,,
1984,Q1 (Poorest),.58257115
1984,Q2,.69046849
1984,Q3,1.0229391
1984,Q4 (Richest),1.6113101
1984,,
1985,Q1 (Poorest),.48714778
1985,Q2,.98752147
1985,Q3,1.458004
1985,Q4 (Richest),1.7631247
1985,,
1986,Q1 (Poorest),.57356244
1986,Q2,1.1399968
1986,Q3,1.6494673
1986,Q4 (Richest),2.031311
1986,,
1987,Q1 (Poorest),.81511116
1987,Q2,1.3287218
1987,Q3,1.6941676
1987,Q4 (Richest),2.1003087
1987,,
1988,Q1 (Poorest),.70653015
1988,Q2,1.1753235
1988,Q3,1.9788069
1988,Q4 (Richest),2.06338
1988,,
1989,Q1 (Poorest),.98656839
1989,Q2,1.5839741
1989,Q3,1.7940778
1989,Q4 (Richest),1.9474659
1989,,
1990,Q1 (Poorest),1.43434
1990,Q2,1.1769804
1990,Q3,-.08043921
1990,Q4 (Richest),1.7465758
1990,,
1991,Q1 (Poorest),1.6043969
1991,Q2,1.57972
1991,Q3,.75044286
1991,Q4 (Richest),1.8822267
1991,,
1992,Q1 (Poorest),1.825809
1992,Q2,1.8672645
1992,Q3,1.4915483
1992,Q4 (Richest),2.328012
1992,,
1993,Q1 (Poorest),2.5337999
1993,Q2,2.112762
1993,Q3,1.9837847
1993,Q4 (Richest),2.4882371
1993,,
1994,Q1 (Poorest),3.0317054
