"","abs_1985","solow_1985","short_1985","full_1985","abs_2005","solow_2005","short_2005","full_2005"
"","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se"
"loggdp","0.420","-0.447","-0.435","-0.816","-0.556","-1.176","-0.557","-1.040"
"","0.252","0.661","0.457","0.619","0.203","0.309","0.327","0.393"
"investment","","0.298","","-0.047","","0.339","","0.424"
"","","0.377","","0.478","","0.377","","0.390"
"population_growth","","-1.034","","-1.024","","-0.693","","-0.684"
"","","0.626","","0.661","","0.353","","0.426"
"barrolee2060","","0.428","","0.492","","0.607","","0.645"
"","","0.525","","0.619","","0.368","","0.472"
"polity2","","","-0.558","-0.916","","","0.759","0.087"
"","","","0.704","0.728","","","0.396","0.460"
"FH_political_rights","","","1.304","1.567","","","-0.011","0.362"
"","","","0.989","0.931","","","0.542","0.543"
"pri_inv","","","-0.184","-0.267","","","0.547","0.480"
"","","","0.332","0.329","","","0.597","0.532"
"gov_spending","","","-0.017","0.077","","","-0.362","-0.455"
"","","","0.386","0.415","","","0.308","0.301"
"inflation","","","-0.099","-0.028","","","-2.132","-1.405"
"","","","0.235","0.243","","","0.967","0.829"
"FH_civil_liberties","","","0.096","-0.481","","","-0.337","-0.296"
"","","","0.647","0.749","","","0.992","0.869"
"WDI_credit","","","0.915","0.875","","","0.177","0.230"
"","","","0.467","0.531","","","0.504","0.473"
"credit","","","-0.394","-0.546","","","-0.363","-0.646"
"","","","0.507","0.573","","","0.469","0.476"
"_cons","-2.172","5.546","1.213","6.644","7.221","11.343","7.783","10.031"
"","2.230","5.458","3.313","4.687","1.903","2.819","4.026","4.323"
"N","73","73","73","73","73","73","73","73"
"R2","0.028","0.155","0.152","0.228","0.101","0.247","0.258","0.355"
