year,sigma
1960,.94653451
1961,.96108133
1962,.95794845
1963,.99840856
1964,.98516417
1965,.98121065
1966,.98675996
1967,.99222988
1968,.99649376
1969,1.0102193
1970,1.0864531
1971,1.0875328
1972,1.0880369
1973,1.0987928
1974,1.0906712
1975,1.0829225
1976,1.0911834
1977,1.1000783
1978,1.1001252
1979,1.117556
1980,1.1392418
1981,1.1248806
1982,1.1125044
1983,1.109966
1984,1.1186199
1985,1.1048831
1986,1.1090839
1987,1.1365106
1988,1.143315
1989,1.1719815
1990,1.1456656
1991,1.1445202
1992,1.1512555
1993,1.154698
1994,1.179231
1995,1.1767545
1996,1.1810367
1997,1.1817644
1998,1.1911054
1999,1.1965417
2000,1.2170554
2001,1.204825
2002,1.199837
2003,1.1951241
2004,1.1923063
2005,1.2071449
2006,1.204289
2007,1.2134039
2008,1.2189195
2009,1.1754152
2010,1.1729609
2011,1.1735662
2012,1.1694189
2013,1.1615922
2014,1.1507269
2015,1.1325064
2016,1.1365689
2017,1.1734022
