method,outcome,estimate,std_error,n_selected,ci_lo,ci_hi
First diff,Violent crime,-.1520974454456021,.0336764447376453,0,-.2181032771313868,-.0860916137598174
OLS (full),Violent crime,.0133839542251679,.7149143578434316,284,-1.387848187147958,1.414616095598294
PSL,Violent crime,-.1552900023563949,.0329735205337219,0,-.2199181026024898,-.0906619021103
DL (rigorous),Violent crime,-.1743947127532698,.1155470815272306,8,-.4008669925466417,.0520775670401021
DL (CV),Violent crime,-.1552900023563949,.0329735205337219,0,-.2199181026024898,-.0906619021103
First diff,Property crime,-.1083762613451518,.0219344490881588,0,-.1513677815579429,-.0653847411323606
OLS (full),Property crime,-.1949938112444086,.2235619638524499,284,-.6331752603952103,.2431876379063933
PSL,Property crime,-.0665434354980946,.0244335074110761,1,-.1144331100238037,-.0186537609723855
DL (rigorous),Property crime,-.1144155249272429,.0469594877645032,17,-.2064561209456691,-.0223749289088167
DL (CV),Property crime,-.101468932843336,.0218418285482811,0,-.1442789167979669,-.0586589488887051
First diff,Murder,-.2038647184570692,.06672787801102,0,-.3346513593586683,-.07307807755547
OLS (full),Murder,2.341148173777058,2.783074201493114,284,-3.113677261149445,7.795973608703561
PSL,Murder,-.23974556356063,.0634943312208809,1,-.3641944527535565,-.1152966743677034
DL (rigorous),Murder,-.1229033339231559,.1404176856184031,13,-.3981219977352259,.1523153298889141
DL (CV),Murder,-.2061321883135837,.0513725156361826,0,-.3068223189605016,-.1054420576666658
