="Dynamic panel data estimates of log GDP per capita"

="",="(1)",="(2)",="(3)",="(4)"

="L.lnGDPpc",="0.679***",="0.666***",="0.632***",="0.619***"
="",="(13.21)",="(11.86)",="(12.05)",="(11.41)"

="War",="-0.219***",="-0.239***",="-0.159***",="-0.160***"
="",="(-3.84)",="(-5.20)",="(-4.33)",="(-3.82)"

="L.War",="-0.0655",="-0.0197",="-0.0764",="-0.0111"
="",="(-1.40)",="(-0.38)",="(-1.42)",="(-0.19)"

="L2.War",="-0.0687",="-0.0123",="0.0114",="0.00542"
="",="(-1.46)",="(-0.26)",="(0.23)",="(0.10)"

="Coup",="-0.0908***",="-0.0757***",="-0.0952***",="-0.0902***"
="",="(-3.19)",="(-3.06)",="(-3.00)",="(-3.12)"

="L.Coup",="0.0387",="0.0144",="-0.00183",="-0.00549"
="",="(1.33)",="(0.55)",="(-0.07)",="(-0.20)"

="L.EconFreedom",="",="0.0201***",="",="0.0283***"
="",="",="(2.60)",="",="(3.31)"

="L.PolitFreedom",="",="",="0.000276",="0.000173"
="",="",="",="(0.79)",="(0.51)"

="Quinquennia effects ",="Yes",="Yes",="Yes",="Yes"

="N",="1187",="987",="918",="821"
="N. Countries",="155",="137",="151",="137"
="Sum War coeff.",="-0.353",="-0.271",="-0.224",="-0.166"
="s.e. War",="0.0787",="0.0741",="0.0751",="0.0759"
="t War",="-4.482",="-3.650",="-2.988",="-2.185"
="Sum Coup coeff.",="-0.0521",="-0.0613",="-0.0970",="-0.0957"
="s.e. Coup",="0.0356",="0.0366",="0.0458",="0.0440"
="t Coup",="-1.463",="-1.678",="-2.120",="-2.174"
="Hansen J",="144.3",="125.0",="132.4",="128.8"
="J d.f.",="130",="130",="115",="115"
="J pvalue",="0.184",="0.607",="0.128",="0.179"

="t statistics in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
