lat_abst,euro1900,excolony,avexpr,logpgp95,cons1,indtime,democ00a,cons00a,extmort4,logem4
.36666667,0,1,,,1,195,1,1,93.699997,4.5400982
.13666667,.079999998,1,5.3636365,7.7706451,3,20,0,1,280,5.6347895
.37777779,.60000002,1,6.3863635,9.1334591,1,170,3,3,68.900002,4.232656
.30000001,.98000002,1,9.318182,9.8979721,7,94,10,7,8.5500002,2.1459312
.036666665,0,1,,6.5652652,5,34,0,1,280,5.6347895
.10333334,0,1,,7.0900769,3,35,0,1,266.51999,5.5854492
.14444445,0,1,4.4545455,6.84588,3,35,0,1,280,5.6347895
.26666668,0,1,5.1363635,6.877296,7,23,0,1,71.410004,4.2684379
.26833332,.1,1,7.5,9.2854481,,,,,85,4.4426513
.19055556,.2,1,,8.3779316,,,,1,163.3,5.0955892
.18888889,.30000001,1,5.6363635,7.9266024,3,170,4,3,71,4.2626801
.11111111,.40000001,1,7.909091,8.7274542,1,171,1,3,71,4.2626801
.14555556,.2,1,,9.2667208,,,,1,85,4.4426513
.077777781,0,1,,7.192934,1,35,0,1,280,5.6347895
.66666669,.99000001,1,9.727273,9.9864492,7,128,9,7,16.1,2.7788193
.33333334,.5,1,7.818182,9.336092,1,177,5,7,68.900002,4.232656
.088888891,0,1,7,7.4442487,1,35,0,1,668,6.5042882
.06666667,0,1,6.4545455,7.5010819,3,35,0,1,280,5.6347895
.011111111,0,1,4.681818,7.420579,4,35,0,1,240,5.480639
.044444446,.2,1,7.318182,8.8098631,3,163,3,5,71,4.2626801
.11111111,.2,1,7.0454545,8.7948246,3,157,10,7,78.099998,4.3579903
.12555556,0,1,,,,,,,26,3.2580965
.1478,.1,1,,8.330864,,,,,85,
.21111111,.25,1,6.181818,8.3640423,3,151,1,3,130,4.8675346
.31111112,.13,1,6.5,8.3893595,2,33,0,1,78.199997,4.3592696
.022222223,.30000001,1,6.5454545,8.4701014,3,165,1,3,71,4.2626801
.30000001,0,1,6.7727275,7.9515595,1,184,7,7,67.800003,4.2165623
.088888891,0,1,5.7272725,6.1092477,1,49,5,7,26,3.2580965
.2,,1,,8.3015213,7,25,0,1,11.4,2.4336133
.011111111,0,1,7.818182,8.9078827,2,35,0,1,280,5.6347895
.088888891,0,1,6.2727275,7.36518,1,35,0,1,668,6.5042882
.12222222,0,1,6.5454545,7.4899707,1,37,0,1,483,6.1800165
.14755556,0,1,8.272727,7.2723985,7,30,0,1,1470,7.2930179
.13333334,0,1,4.5454545,,3,21,0,1,164.66,5.1038828
.13410001,.1,1,,8.4184771,,,,,85,
.17,.2,1,5.1363635,8.2940493,1,156,0,1,71,4.2626801
.055555556,.02,1,5.8863635,7.9047041,7,29,0,1,32.18,3.4713452
.24611111,.039999999,1,8.136364,10.04975,,,,,14.9,2.7013612
.16666667,.2,1,5.318182,7.6870804,3,156,6,5,78.099998,4.3579903
.21111111,0,1,3.7272727,7.1467724,1,175,0,1,130,4.8675346
.055599999,0,1,7.590909,8.0709057,1,50,0,1,170,5.1357985
.22220001,0,1,8.272727,7.3260002,7,45,0,1,48.630001,3.8842406
.20166667,.018999999,1,7.090909,8.1886892,7,36,0,1,130,4.8675346
.011111111,0,1,6.0454545,7.0561752,5,32,0,1,145,4.9767337
.1911,.1,1,,8.8901348,,,,,85,
.2,0,1,,7.0900769,5,37,0,1,140,4.9416423
.1503,.1,1,,8.5583353,,,,,85,
.077777781,0,1,6.0454545,7.7319307,7,47,0,1,69.800003,4.2456341
.35555556,.0099999998,1,7.090909,8.0423784,1,195,1,1,78.199997,4.3592696
.22222222,0,1,4.4545455,6.8351846,4,35,0,1,536.03998,6.2842088
.25555557,.15000001,1,7.5,8.9437675,3,173,0,1,71,4.2626801
.18888889,0,1,4,6.5652652,3,35,0,1,2940,7.986165
.39444444,,1,7.2272725,9.427063,,,,,16.299999,2.7911651
.24444444,0,1,5.7727275,,7,47,0,1,34.599998,3.5438535
.22222222,0,1,,7.4145727,5,35,0,1,280,5.6347895
.22411111,.050000001,1,,9.0536861,7,27,0,1,30.5,3.4177268
.025555555,0,1,7.9545455,8.8942585,7,38,0,1,17.700001,2.8735647
.17777778,0,1,5,6.7334018,3,37,0,1,400,5.9914646
.11111111,0,1,5.5454545,6.8134446,7,35,0,1,2004,7.6029005
.14444445,.2,1,5.2272725,7.544332,1,157,1,1,163.3,5.0955892
.45555556,.93000001,1,9.727273,9.7561474,7,138,10,7,8.5500002,2.1459312
.33333334,0,1,6.0454545,7.3524413,1,48,0,1,36.990002,3.6106477
.1,.2,1,5.909091,8.8363743,3,92,0,1,163.3,5.0955892
.11111111,.30000001,1,5.7727275,8.3961544,1,174,4,3,71,4.2626801
.06666667,0,1,7.2727275,,7,19,0,1,170,5.1357985
.25555557,.25,1,6.9545455,8.2079468,1,184,1,2,78.099998,4.3579903
.022222223,0,1,,6.4769726,1,34,0,1,280,5.6347895
.16666667,0,1,4,7.3065314,7,41,0,1,88.199997,4.4796071
.15555556,0,1,6,7.4024515,3,35,0,1,164.66,5.1038828
.013555556,.039999999,1,9.318182,10.146434,7,36,0,1,17.700001,2.8735647
.092222221,0,1,5.818182,6.253829,,,,,483,6.1800165
.15000001,.2,1,5,7.9480319,3,157,,3,78.099998,4.3579903
.16666667,0,1,,6.8351846,1,35,0,1,280,5.6347895
.088888891,0,1,6.909091,7.2225661,3,35,0,1,668,6.5042882
.12222222,.40000001,1,7.4545455,8.7687302,7,33,0,1,85,4.4426513
.37777779,.029999999,1,6.4545455,8.4826021,1,36,0,1,63,4.1431346
.06666667,0,1,6.6363635,6.253829,3,33,0,1,145,5.6347895
.011111111,0,1,4.4545455,6.9660244,7,33,0,1,280,5.6347895
.36666667,.60000002,1,7,9.0312138,1,165,1,1,71,4.2626801
.42222223,.875,1,10,10.21574,7,195,10,7,15,2.7080503
.1461,.1,1,,8.3187418,,,,,85,
.088888891,.2,1,7.1363635,9.0710783,1,165,1,3,78.099998,4.3579903
.17777778,0,1,6.409091,7.2793188,1,41,0,1,140,4.9416423
.32222223,.22,1,6.8636365,8.885994,3,139,3,3,15.5,2.74084
0,.079999998,1,3.5,6.8669333,1,35,0,1,240,5.480639
