shortnam,catho80,muslim80,lat_abst,no_cpm80,f_brit,f_french,avexpr,sjlofr,logpgp95,logem4,baseco
AGO,68.699997,0,.13666667,11.500004,0,0,5.3636365,1,7.7706451,5.6347895,1
ARG,91.599998,.2,.37777779,5.5000014,0,0,6.3863635,1,9.1334591,4.232656,1
AUS,29.6,.2,.30000001,46.700001,1,0,9.318182,0,9.8979721,2.1459312,1
BFA,9,43,.14444445,46.400002,0,1,4.4545455,1,6.84588,5.6347895,1
BGD,.2,85.900002,.26666668,13.699999,1,0,5.1363635,0,6.877296,4.2684379,1
BHS,25.5,0,.26833332,27.300003,1,0,7.5,0,9.2854481,4.4426513,1
BOL,92.5,0,.18888889,5.1999998,0,0,5.6363635,1,7.9266024,4.2626801,1
BRA,87.800003,.1,.11111111,8.0999966,0,0,7.909091,1,8.7274542,4.2626801,1
CAN,46.599998,.60000002,.66666669,23.200001,1,0,9.727273,0,9.9864492,2.7788193,1
CHL,82.099998,0,.33333334,16.000002,0,0,7.818182,1,9.336092,4.232656,1
CIV,18.5,24,.088888891,52.799999,0,1,7,1,7.4442487,6.5042882,1
CMR,35,22,.06666667,24.9,0,0,6.4545455,1,7.5010819,5.6347895,1
COG,53.900002,.40000001,.011111111,20.799999,0,1,4.681818,1,7.420579,5.480639,1
COL,96.599998,.2,.044444446,2.3000016,0,0,7.318182,1,8.8098631,4.2626801,1
CRI,90.5,0,.11111111,3.6999998,0,0,7.0454545,1,8.7948246,4.3579903,1
DOM,96.599998,0,.21111111,2.0000014,0,1,6.181818,1,8.3640423,4.8675346,1
DZA,.5,99.099998,.31111112,.40000153,0,1,6.5,1,8.3893595,4.3592696,1
ECU,96.400002,0,.022222223,1.6999985,0,0,6.5454545,1,8.4701014,4.2626801,1
EGY,.2,81.800003,.30000001,17.799997,1,0,6.7727275,1,7.9515595,4.2165623,1
ETH,.69999999,31.4,.088888891,64.099998,0,0,5.7272725,1,6.1092477,3.2580965,1
GAB,65.199997,.80000001,.011111111,15.200004,0,1,7.818182,1,8.9078827,5.6347895,1
GHA,18.700001,15.7,.088888891,39.799999,1,0,6.2727275,0,7.36518,6.5042882,1
GIN,1.1,69,.12222222,29.799999,0,1,6.5454545,1,7.4899707,6.1800165,1
GMB,1.9,84.800003,.14755556,12.899997,1,0,8.272727,0,7.2723985,7.2930179,1
GTM,94,0,.17,1.0999999,0,0,5.1363635,1,8.2940493,4.2626801,1
GUY,18,9,.055555556,55,1,0,5.8863635,0,7.9047041,3.4713452,1
HKG,7.9000001,.5,.24611111,84.099998,1,0,8.136364,0,10.04975,2.7013612,1
HND,95.800003,.1,.16666667,1.499997,0,0,5.318182,1,7.6870804,4.3579903,1
HTI,82.599998,0,.21111111,4.6000013,0,1,3.7272727,1,7.1467724,4.8675346,1
IDN,2.7,43.400002,.055599999,49.099998,0,0,7.590909,1,8.0709057,5.1357985,1
IND,1.3,11.6,.22220001,86,1,0,8.272727,0,7.3260002,3.8842406,1
JAM,9.6000004,.1,.20166667,34.799999,1,0,7.090909,0,8.1886892,4.8675346,1
KEN,26.4,6,.011111111,48.300003,1,0,6.0454545,0,7.0561752,4.9767337,1
LKA,6.8000002,7.1999998,.077777781,85.599998,1,0,6.0454545,0,7.7319307,4.2456341,1
MAR,.2,99.400002,.35555556,.39999849,0,1,7.090909,1,8.0423784,4.3592696,1
MDG,26,1.7,.22222222,50.299999,0,1,4.4545455,1,6.8351846,6.2842088,1
MEX,94.699997,0,.25555557,4.1000032,0,0,7.5,1,8.9437675,4.2626801,1
MLI,.69999999,80,.18888889,19.1,0,1,4,1,6.5652652,7.986165,1
MLT,97.300003,0,.39444444,2.1999969,1,0,7.2272725,1,9.427063,2.7911651,1
MYS,2.8,49.400002,.025555555,46.399998,1,0,7.9545455,0,8.8942585,2.8735647,1
NER,.2,87.900002,.17777778,11.899999,0,1,5,1,6.7334018,5.9914646,1
NGA,12.1,45,.11111111,27.099998,1,0,5.5454545,0,6.8134446,7.6029005,1
NIC,94.699997,0,.14444445,.90000296,0,0,5.2272725,1,7.544332,5.0955892,1
NZL,18.700001,0,.45555556,43.399998,1,0,9.727273,0,9.7561474,2.1459312,1
PAK,.5,96.800003,.33333334,1.899997,1,0,6.0454545,0,7.3524413,3.6106477,1
PAN,85,4.5,.1,5.3000002,0,0,5.909091,1,8.8363743,5.0955892,1
PER,95.099998,0,.11111111,2.2000015,0,0,5.7727275,1,8.3961544,4.2626801,1
PRY,96,0,.25555557,2.0999999,0,0,6.9545455,1,8.2079468,4.3579903,1
SDN,4.4000001,73,.16666667,22.5,1,0,4,0,7.3065314,4.4796071,1
SEN,5.5999999,91,.15555556,3.3000002,0,1,6,1,7.4024515,5.1038828,1
SGP,4.6999998,17.4,.013555556,75.300003,1,0,9.318182,0,10.146434,2.8735647,1
SLE,2.2,39.400002,.092222221,53.599998,1,0,5.818182,0,6.253829,6.1800165,1
SLV,96.199997,0,.15000001,1.400003,0,0,5,1,7.9480319,4.3579903,1
TGO,29.299999,17,.088888891,47.599998,0,1,6.909091,1,7.2225661,6.5042882,1
TTO,35.799999,6.5,.12222222,44.5,1,0,7.4545455,0,8.7687302,4.4426513,1
TUN,.1,99.400002,.37777779,.49999848,0,1,6.4545455,1,8.4826021,4.1431346,1
TZA,28.200001,32.5,.06666667,28.099998,0,0,6.6363635,0,6.253829,5.6347895,1
UGA,49.599998,6.5999999,.011111111,41.900002,1,0,4.4545455,0,6.9660244,5.6347895,1
URY,59.5,0,.36666667,38.599998,0,0,7,1,9.0312138,4.2626801,1
USA,30,.80000001,.42222223,25.600002,1,0,10,0,10.21574,2.7080503,1
VEN,94.800003,0,.088888891,4.1999969,0,0,7.1363635,1,9.0710783,4.3579903,1
VNM,3.9000001,1,.17777778,94.900002,0,1,6.409091,1,7.2793188,4.9416423,1
ZAF,10.4,1.3,.32222223,49.299999,1,0,6.8636365,0,8.885994,2.74084,1
ZAR,48.400002,1.4,0,21.199999,0,0,3.5,1,6.8669333,5.480639,1
