shortnam,avelf,lat_abst,temp1,temp2,temp3,temp4,temp5,humid1,humid2,humid3,humid4,steplow,deslow,stepmid,desmid,drystep,drywint,edes1975,avexpr,logpgp95,landlock,goldm,iron,silv,zinc,oilres,logem4,baseco
AGO,.77275497,.13666667,26,28,37,14,21,77,84,74,78,1,1,0,0,0,0,0,5.3636365,7.7706451,0,0,0,0,0,146000,5.6347895,1
ARG,.17693181,.37777779,17,25,40,-6,6,81,92,60,79,1,0,0,1,0,0,90,6.3863635,9.1334591,0,0,0,0,0,46900,4.232656,1
AUS,.11279711,.30000001,17,18,43,-10,3,56,85,35,64,1,1,0,0,0,0,99,9.318182,9.8979721,0,3,16,9,12,99100,2.1459312,1
BFA,.54671812,.14444445,29,38,48,9,19,38,81,19,67,1,0,0,0,0,0,0,4.4545455,6.84588,1,0,0,0,0,0,5.6347895,1
BGD,0,.26666668,25,29,42,7,24,37,74,37,74,0,0,0,0,0,0,0,5.1363635,6.877296,0,0,0,0,0,0,4.2684379,1
BHS,0,.26833332,25,29,34,5,19,79,84,62,73,0,0,0,0,0,0,10,7.5,9.2854481,0,0,0,0,0,0,4.4426513,1
BOL,.59941179,.18888889,12,21,27,-3,2,77,93,49,74,0,0,0,0,0,0,30.000002,5.6363635,7.9266024,1,0,0,0,0,14300,4.2626801,1
BRA,.055780932,.11111111,25,32,39,10,18,82,87,68,74,1,0,0,0,0,0,55,7.909091,8.7274542,0,2,.1,0,1,19400,4.2626801,1
CAN,.37618759,.66666669,4,12,39,-37,3,76,90,40,76,0,0,1,0,0,0,98,9.727273,9.9864492,0,4,7,13,15,185000,2.7788193,1
CHL,.050625,.33333334,17,27,37,-4,6,70,93,38,64,1,1,0,0,0,0,50,7.818182,9.336092,0,0,0,0,0,21700,4.232656,1
CIV,.85652989,.088888891,26,31,36,15,20,93,96,71,82,0,0,0,0,0,0,0,7,7.4442487,0,0,0,0,0,7460,6.5042882,1
CMR,.85204548,.06666667,25,31,36,14,17,97,98,62,75,0,0,0,0,0,0,0,6.4545455,7.5010819,0,0,0,0,0,31900,5.6347895,1
COG,.66927534,.011111111,25,32,37,12,19,77,89,54,71,0,0,0,0,0,0,0,4.681818,7.420579,0,0,0,0,0,338000,5.480639,1
