shortnam,africa,lat_abst,malfal94,avexpr,logpgp95,logem4,asia,yellow,baseco,leb95,imr95,meantemp,lt100km,latabs
AGO,1,.13666667,.94999999,5.3636365,7.7706451,5.6347895,0,1,1,46.490002,125,22.94133,.118758,.136667
ARG,0,.37777779,0,6.3863635,9.1334591,4.232656,0,0,1,72.889999,21.799999,17.1,.123089,.37777799
AUS,0,.30000001,0,9.318182,9.8979721,2.1459312,0,1,1,78.25,5.5999999,20.9,.19895799,.30000001
BFA,1,.14444445,.94999999,4.4545455,6.84588,5.6347895,0,1,1,44.389999,98.800003,28.1,0,.144444
BGD,0,.26666668,.12008,5.1363635,6.877296,4.2684379,1,1,1,58.130001,78.800003,25.686211,.40159801,.26666701
BHS,0,.26833332,,7.5,9.2854481,4.4426513,0,1,1,,,,,
BOL,0,.18888889,.00165,5.6363635,7.9266024,4.2626801,0,1,1,61.389999,65.599998,21.5,0,.188889
BRA,0,.11111111,.035999998,7.909091,8.7274542,4.2626801,0,1,1,66.779999,42.400002,23.700001,.092515998,.111111
CAN,0,.66666669,0,9.727273,9.9864492,2.7788193,0,0,1,78.980003,6,-.2,.021164,.66666698
CHL,0,.33333334,0,7.818182,9.336092,4.232656,0,0,1,74.940002,12.8,13.4,.660182,.33333299
CIV,1,.088888891,.94999999,7,7.4442487,6.5042882,0,1,1,46.720001,87.300003,26.0907,.171056,.088889003
CMR,1,.06666667,.94999999,6.4545455,7.5010819,5.6347895,0,1,1,54.73,74.400002,24.433331,.098240003,.066666998
COG,1,.011111111,.94999999,4.681818,7.420579,5.480639,0,1,1,48.549999,89.5,24.751511,.047892999,.011111
COL,0,.044444446,.14637001,7.318182,8.8098631,4.2626801,0,1,1,70.43,30,22.5,.159722,.044443998
CRI,0,.11111111,0,7.0454545,8.7948246,4.3579903,0,1,1,76.029999,12.1,25.1,1,.111111
DOM,0,.21111111,0,6.181818,8.3640423,4.8675346,0,1,1,70.610001,33.599998,25.6,1,.21111099
DZA,1,.31111112,0,6.5,8.3893595,4.3592696,0,0,1,68.889999,43.799999,19.299999,.047185998,.311111
ECU,0,.022222223,.11894999,6.5454545,8.4701014,4.2626801,0,0,1,69.519997,45.599998,19.1,.368411,.022221999
EGY,1,.30000001,0,6.7727275,7.9515595,4.2165623,0,0,1,66.269997,50.5,22.6,.239163,.30000001
ETH,1,.088888891,.551,5.7272725,6.1092477,3.2580965,0,1,1,43.32,116,,.021018,.088889003
GAB,1,.011111111,.94050002,7.818182,8.9078827,5.6347895,0,1,1,52.419998,87.300003,24.5,.26179099,.011111
GHA,1,.088888891,.94999999,6.2727275,7.36518,6.5042882,0,1,1,60,65.800003,26.35758,.192991,.088889003
GIN,1,.12222222,.94999999,6.5454545,7.4899707,6.1800165,0,1,1,46.5,124,24.43889,.140641,.122222
GMB,1,.14755556,.94999999,8.272727,7.2723985,7.2930179,0,1,1,47,122,25.66596,.39976999,.14755601
GTM,0,.17,.0036000002,5.1363635,8.2940493,4.2626801,0,1,1,64.040001,46,21.700001,.42545801,.17
GUY,0,.055555556,.49503002,5.8863635,7.9047041,3.4713452,0,1,1,,,,,
HKG,0,.24611111,0,8.136364,10.04975,2.7013612,1,0,1,,,22.6,1,.24611101
HND,0,.16666667,.012,5.318182,7.6870804,4.3579903,0,1,1,69.400002,35,25.4,.66860199,.166667
HTI,0,.21111111,1,3.7272727,7.1467724,4.8675346,0,1,1,53.75,67.699997,26.58033,1,.21111099
IDN,0,.055599999,.17873,7.590909,8.0709057,5.1357985,1,1,1,65.129997,48.400002,26.799999,.74576002,.055555999
IND,0,.22220001,.23596001,8.272727,7.3260002,3.8842406,1,0,1,62.59,72.300003,25.9,.156776,.222222
JAM,0,.20166667,0,7.090909,8.1886892,4.8675346,0,1,1,74.82,21.9,26.5,1,.201667
KEN,1,.011111111,.79799998,6.0454545,7.0561752,4.9767337,0,1,1,52.040001,65.5,22.6,.082503997,.011111
LKA,0,.077777781,.138,6.0454545,7.7319307,4.2456341,1,1,1,73.110001,17.6,27.6,.99361998,.077777997
MAR,1,.35555556,0,7.090909,8.0423784,4.3592696,0,0,1,66.639999,51,18.5,.36785799,.35555601
MDG,1,.22222222,.94999999,4.4545455,6.8351846,6.2842088,0,1,1,57.509998,82.5,23.299999,.57096398,.222222
MEX,0,.25555557,.00042,7.5,8.9437675,4.2626801,0,1,1,72.18,31,19,.37255001,.25555599
MLI,1,.18888889,.94050002,4,6.5652652,7.986165,0,1,1,53.299999,118,29.299999,0,.188889
MLT,0,.39444444,,7.2272725,9.427063,2.7911651,0,0,1,,,,,
MYS,0,.025555555,.23331,7.9545455,8.8942585,2.8735647,1,1,1,72,11.4,26.700001,.79440701,.025556
NER,1,.17777778,.94050002,5,6.7334018,5.9914646,0,1,1,48.5,115,28.4,0,.17777801
NGA,1,.11111111,.94999999,5.5454545,6.8134446,7.6029005,0,1,1,50.080002,81.099998,26.65065,.097769,.111111
NIC,0,.14444445,.044,5.2272725,7.544332,5.0955892,0,1,1,67.860001,43.400002,26.633329,.63268602,.144445
NZL,0,.45555556,0,9.727273,9.7561474,2.1459312,0,0,1,76.900002,6.8000002,12.8,.95948797,.45555601
PAK,0,.33333334,.53757,6.0454545,7.3524413,3.6106477,1,1,1,63.950001,74.099998,23.5,.094195999,.33333299
PAN,0,.1,.08004,5.909091,8.8363743,5.0955892,0,1,1,73.599998,21.4,27.5,1,.1
PER,0,.11111111,.00050000002,5.7727275,8.3961544,4.2626801,0,0,1,68.32,45,20.5,.173208,.111111
PRY,0,.25555557,0,6.9545455,8.2079468,4.3579903,0,0,1,69.610001,39.200001,23,0,.25555599
SDN,1,.16666667,.93099999,4,7.3065314,4.4796071,0,1,1,54.970001,70.900002,28.5,.023229999,.166667
SEN,1,.15555556,.94999999,6,7.4024515,5.1038828,0,1,1,52.32,63.200001,27.200001,.244762,.15555599
SGP,0,.013555556,0,9.318182,10.146434,2.8735647,1,1,1,77.099998,4.9000001,27.1,1,.013556
SLE,1,.092222221,.94999999,5.818182,6.253829,6.1800165,0,1,1,37.240002,170,26.200001,.46618599,.092221998
SLV,0,.15000001,0,5,7.9480319,4.3579903,0,1,1,69.129997,32,23.571011,1,.15000001
TGO,1,.088888891,.94999999,6.909091,7.2225661,6.5042882,0,1,1,48.84,83.900002,26.799999,.16768999,.088889003
TTO,0,.12222222,0,7.4545455,8.7687302,4.4426513,0,1,1,73.800003,14.5,25.9,1,.122222
TUN,1,.37777779,0,6.4545455,8.4826021,4.1431346,0,0,1,69.5,30.299999,19.6,.479655,.37777799
TZA,1,.06666667,.92150003,6.6363635,6.253829,5.6347895,0,1,1,47.919998,81.5,25.09024,.088188998,.066666998
UGA,1,.011111111,.94999999,4.4545455,6.9660244,5.6347895,0,1,1,39.639999,107,21.57432,0,.011111
URY,0,.36666667,0,7,9.0312138,4.2626801,0,0,1,73.93,17.5,18.4,.31232899,.366667
USA,0,.42222223,0,10,10.21574,2.7080503,0,1,1,76.699997,7.0999999,11.2,.111732,.42222199
VEN,0,.088888891,.0070400001,7.1363635,9.0710783,4.3579903,0,1,1,72.410004,20.9,24.799999,.24440899,.088889003
VNM,0,.17777778,.70109999,6.409091,7.2793188,4.9416423,1,1,1,67.389999,38.200001,25.55714,.57028198,.17777801
ZAF,1,.32222223,.1045,6.8636365,8.885994,2.74084,0,0,1,54.73,59.200001,17.700001,.19633,.32222199
ZAR,1,0,.94999999,3.5,6.8669333,5.480639,0,1,1,50.790001,90.199997,23.354549,.0039869999,0
