shortnam,lat_abst,euro1900,avexpr,logpgp95,democ1,cons1,indtime,democ00a,cons00a,logem4,baseco
AGO,.13666667,8,5.3636365,7.7706451,0,3,20,0,1,5.6347895,1
ARG,.37777779,60.000004,6.3863635,9.1334591,1,1,170,3,3,4.232656,1
AUS,.30000001,98,9.318182,9.8979721,10,7,94,10,7,2.1459312,1
BFA,.14444445,0,4.4545455,6.84588,0,3,35,0,1,5.6347895,1
BGD,.26666668,0,5.1363635,6.877296,8,7,23,0,1,4.2684379,1
BHS,.26833332,10,7.5,9.2854481,,,,,,4.4426513,1
BOL,.18888889,30.000002,5.6363635,7.9266024,1,3,170,4,3,4.2626801,1
BRA,.11111111,40,7.909091,8.7274542,1,1,171,1,3,4.2626801,1
CAN,.66666669,99,9.727273,9.9864492,7,7,128,9,7,2.7788193,1
CHL,.33333334,50,7.818182,9.336092,1,1,177,5,7,4.232656,1
CIV,.088888891,0,7,7.4442487,0,1,35,0,1,6.5042882,1
CMR,.06666667,0,6.4545455,7.5010819,0,3,35,0,1,5.6347895,1
COG,.011111111,0,4.681818,7.420579,5,4,35,0,1,5.480639,1
COL,.044444446,20,7.318182,8.8098631,4,3,163,3,5,4.2626801,1
CRI,.11111111,20,7.0454545,8.7948246,0,3,157,10,7,4.3579903,1
DOM,.21111111,25,6.181818,8.3640423,1,3,151,1,3,4.8675346,1
DZA,.31111112,13,6.5,8.3893595,0,2,33,0,1,4.3592696,1
ECU,.022222223,30.000002,6.5454545,8.4701014,1,3,165,1,3,4.2626801,1
EGY,.30000001,0,6.7727275,7.9515595,0,1,184,7,7,4.2165623,1
ETH,.088888891,0,5.7272725,6.1092477,0,1,49,5,7,3.2580965,1
GAB,.011111111,0,7.818182,8.9078827,0,2,35,0,1,5.6347895,1
GHA,.088888891,0,6.2727275,7.36518,0,1,35,0,1,6.5042882,1
GIN,.12222222,0,6.5454545,7.4899707,0,1,37,0,1,6.1800165,1
GMB,.14755556,0,8.272727,7.2723985,10,7,30,0,1,7.2930179,1
GTM,.17,20,5.1363635,8.2940493,1,1,156,0,1,4.2626801,1
GUY,.055555556,2,5.8863635,7.9047041,5,7,29,0,1,3.4713452,1
HKG,.24611111,4,8.136364,10.04975,,,,,,2.7013612,1
HND,.16666667,20,5.318182,7.6870804,1,3,156,6,5,4.3579903,1
HTI,.21111111,0,3.7272727,7.1467724,0,1,175,0,1,4.8675346,1
IDN,.055599999,0,7.590909,8.0709057,0,1,50,0,1,5.1357985,1
IND,.22220001,0,8.272727,7.3260002,9,7,45,0,1,3.8842406,1
JAM,.20166667,1.9,7.090909,8.1886892,10,7,36,0,1,4.8675346,1
KEN,.011111111,0,6.0454545,7.0561752,5,5,32,0,1,4.9767337,1
LKA,.077777781,0,6.0454545,7.7319307,7,7,47,0,1,4.2456341,1
MAR,.35555556,1,7.090909,8.0423784,1,1,195,1,1,4.3592696,1
MDG,.22222222,0,4.4545455,6.8351846,3,4,35,0,1,6.2842088,1
MEX,.25555557,15.000001,7.5,8.9437675,1,3,173,0,1,4.2626801,1
MLI,.18888889,0,4,6.5652652,0,3,35,0,1,7.986165,1
MLT,.39444444,,7.2272725,9.427063,,,,,,2.7911651,1
MYS,.025555555,0,7.9545455,8.8942585,10,7,38,0,1,2.8735647,1
NER,.17777778,0,5,6.7334018,0,3,37,0,1,5.9914646,1
NGA,.11111111,0,5.5454545,6.8134446,8,7,35,0,1,7.6029005,1
NIC,.14444445,20,5.2272725,7.544332,1,1,157,1,1,5.0955892,1
NZL,.45555556,93,9.727273,9.7561474,10,7,138,10,7,2.1459312,1
PAK,.33333334,0,6.0454545,7.3524413,1,1,48,0,1,3.6106477,1
PAN,.1,20,5.909091,8.8363743,0,3,92,0,1,5.0955892,1
PER,.11111111,30.000002,5.7727275,8.3961544,1,1,174,4,3,4.2626801,1
PRY,.25555557,25,6.9545455,8.2079468,0,1,184,1,2,4.3579903,1
SDN,.16666667,0,4,7.3065314,8,7,41,0,1,4.4796071,1
SEN,.15555556,0,6,7.4024515,3,3,35,0,1,5.1038828,1
SGP,.013555556,4,9.318182,10.146434,8,7,36,0,1,2.8735647,1
SLE,.092222221,0,5.818182,6.253829,,,,,,6.1800165,1
SLV,.15000001,20,5,7.9480319,,3,157,,3,4.3579903,1
TGO,.088888891,0,6.909091,7.2225661,0,3,35,0,1,6.5042882,1
TTO,.12222222,40,7.4545455,8.7687302,8,7,33,0,1,4.4426513,1
TUN,.37777779,3,6.4545455,8.4826021,0,1,36,0,1,4.1431346,1
TZA,.06666667,0,6.6363635,6.253829,0,3,33,0,1,5.6347895,1
UGA,.011111111,0,4.4545455,6.9660244,7,7,33,0,1,5.6347895,1
URY,.36666667,60.000004,7,9.0312138,1,1,165,1,1,4.2626801,1
USA,.42222223,87.5,10,10.21574,7,7,195,10,7,2.7080503,1
VEN,.088888891,20,7.1363635,9.0710783,1,1,165,1,3,4.3579903,1
VNM,.17777778,0,6.409091,7.2793188,0,1,41,0,1,4.9416423,1
ZAF,.32222223,22,6.8636365,8.885994,3,3,139,3,3,2.74084,1
ZAR,0,8,3.5,6.8669333,0,1,35,0,1,5.480639,1
