="Table 1: Summary Statistics, AJR base sample"
="",="(1)",="",="",="",=""
="",="",="",="",="",=""
="",="count",="mean",="sd",="min",="max"
="log PPP GDP pc in 1995, World Bank",="64",="8.062",="1.043",="6.109",="10.216"
=" log GDP per work, Hall&Jones",="61",="-1.934",="0.981",="-3.540",="0.000"
="average protection against expropriation risk",="64",="6.516",="1.469",="3.500",="10.000"
="constraint on executive in 1900",="60",="2.250",="2.112",="1.000",="7.000"
="cons on exec in 1st year indep",="60",="3.400",="2.395",="1.000",="7.000"
="democracy in 1900",="59",="1.644",="3.004",="0.000",="10.000"
="European settlers 1900, AJR",="63",="16.181",="25.533",="0.000",="99.000"
="log settler mortality",="64",="4.657",="1.258",="2.146",="7.986"
="Observations",="64",="",="",="",=""
