="Table 2: OLS Regressions of log GDP per capita"

="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="logpgp95",="logpgp95",="logpgp95",="logpgp95",="logpgp95",="logpgp95",="loghjypl",="loghjypl"

="avexpr",="0.532***",="0.522***",="0.463***",="0.390***",="0.468***",="0.401***",="0.446***",="0.457***"
="",="(0.029)",="(0.050)",="(0.052)",="(0.051)",="(0.063)",="(0.064)",="(0.029)",="(0.050)"

="lat_abst",="",="",="0.872*",="0.333",="1.577**",="0.875",="",=""
="",="",="",="(0.499)",="(0.442)",="(0.651)",="(0.614)",="",=""

="africa",="",="",="",="-0.916***",="",="-0.881***",="",=""
="",="",="",="",="(0.154)",="",="(0.156)",="",=""

="asia",="",="",="",="-0.153",="",="-0.577*",="",=""
="",="",="",="",="(0.181)",="",="(0.299)",="",=""

="other",="",="",="",="0.304*",="",="0.107",="",=""
="",="",="",="",="(0.174)",="",="(0.223)",="",=""

="_cons",="4.626***",="4.660***",="4.873***",="5.851***",="4.728***",="5.737***",="-4.828***",="-4.912***"
="",="(0.241)",="(0.320)",="(0.281)",="(0.293)",="(0.341)",="(0.389)",="(0.243)",="(0.323)"

="N",="111",="64",="111",="111",="64",="64",="108",="61"
="R-squared",="0.611",="0.540",="0.623",="0.715",="0.574",="0.714",="0.554",="0.486"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
