="Table 3 Panel A: DV = current expropriation protection"

="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)"
="",="avexpr",="avexpr",="avexpr",="avexpr",="avexpr",="avexpr",="avexpr",="avexpr",="avexpr",="avexpr"

="cons00a",="0.321***",="0.262***",="",="",="",="",="",="",="",=""
="",="(0.081)",="(0.089)",="",="",="",="",="",="",="",=""

="lat_abst",="",="2.179",="",="1.552",="",="2.718*",="",="0.580",="",="2.002"
="",="",="(1.416)",="",="(1.471)",="",="(1.429)",="",="(1.514)",="",="(1.337)"

="democ00a",="",="",="0.244***",="0.209***",="",="",="",="",="",=""
="",="",="",="(0.057)",="(0.066)",="",="",="",="",="",=""

="indtime",="",="",="",="",="0.009***",="0.006*",="",="",="",=""
="",="",="",="",="",="(0.003)",="(0.003)",="",="",="",=""

="cons1",="",="",="",="",="0.247***",="0.220***",="",="",="",=""
="",="",="",="",="",="(0.076)",="(0.075)",="",="",="",=""

="euro1900",="",="",="",="",="",="",="3.177***",="2.996***",="",=""
="",="",="",="",="",="",="",="(0.612)",="(0.776)",="",=""

="logem4",="",="",="",="",="",="",="",="",="-0.607***",="-0.510***"
="",="",="",="",="",="",="",="",="",="(0.127)",="(0.141)"

="_cons",="5.740***",="5.486***",="6.084***",="5.867***",="4.833***",="4.677***",="5.985***",="5.910***",="9.341***",="8.529***"
="",="(0.245)",="(0.293)",="(0.188)",="(0.279)",="(0.457)",="(0.455)",="(0.180)",="(0.265)",="(0.611)",="(0.812)"

="N",="63",="63",="62",="62",="63",="63",="66",="66",="64",="64"
="R-squared",="0.203",="0.233",="0.236",="0.251",="0.194",="0.241",="0.296",="0.298",="0.270",="0.296"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
