="Table 3 Panel B: DV = early institutions"

="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)"
="",="cons00a",="cons00a",="cons00a",="cons00a",="democ00a",="democ00a",="democ00a",="democ00a",="euro1900",="euro1900"

="euro1900",="5.491***",="5.385***",="",="",="8.566***",="8.056***",="",="",="",=""
="",="(0.727)",="(0.929)",="",="",="(0.932)",="(1.190)",="",="",="",=""

="lat_abst",="",="0.333",="",="3.634**",="",="1.605",="",="7.569***",="",="0.871***"
="",="",="(1.809)",="",="(1.716)",="",="(2.315)",="",="(2.425)",="",="(0.189)"

="logem4",="",="",="-0.821***",="-0.654***",="",="",="-1.221***",="-0.877***",="-0.112***",="-0.071***"
="",="",="",="(0.167)",="(0.181)",="",="",="(0.242)",="(0.253)",="(0.020)",="(0.020)"

="_cons",="1.248***",="1.206***",="5.879***",="4.460***",="0.182",="-0.018",="7.210***",="4.279***",="0.677***",="0.333***"
="",="(0.209)",="(0.307)",="(0.814)",="(1.040)",="(0.271)",="(0.396)",="(1.184)",="(1.456)",="(0.098)",="(0.114)"

="N",="70",="70",="75",="75",="67",="67",="68",="68",="73",="73"
="R-squared",="0.456",="0.456",="0.248",="0.292",="0.565",="0.568",="0.278",="0.372",="0.305",="0.467"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
