="Table 4: 2SLS and OLS, log GDP per capita"

="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)"
="",="logpgp95",="logpgp95",="logpgp95",="logpgp95",="logpgp95",="logpgp95",="logpgp95",="logpgp95",="loghjypl",="logpgp95",="logpgp95",="logpgp95",="logpgp95",="logpgp95",="logpgp95",="logpgp95",="logpgp95",="loghjypl"

="avexpr",="0.944***",="0.996***",="1.281***",="1.212***",="0.578***",="0.576***",="0.982***",="1.107**",="0.981***",="0.522***",="0.468***",="0.487***",="0.471***",="0.482***",="0.466***",="0.424***",="0.401***",="0.457***"
="",="(0.176)",="(0.240)",="(0.402)",="(0.392)",="(0.082)",="(0.091)",="(0.331)",="(0.503)",="(0.196)",="(0.050)",="(0.063)",="(0.074)",="(0.080)",="(0.052)",="(0.067)",="(0.055)",="(0.064)",="(0.050)"

="lat_abst",="",="-0.647",="",="0.939",="",="0.038",="",="-1.178",="",="",="1.577**",="",="1.802**",="",="0.462",="",="0.875",=""
="",="",="(1.227)",="",="(1.191)",="",="(0.507)",="",="(1.792)",="",="",="(0.651)",="",="(0.767)",="",="(0.592)",="",="(0.614)",=""

="africa",="",="",="",="",="",="",="-0.464",="-0.437",="",="",="",="",="",="",="",="-0.918***",="-0.881***",=""
="",="",="",="",="",="",="",="(0.313)",="(0.377)",="",="",="",="",="",="",="",="(0.165)",="(0.156)",=""

="asia",="",="",="",="",="",="",="-0.924**",="-1.047**",="",="",="",="",="",="",="",="-0.631**",="-0.577*",=""
="",="",="",="",="",="",="",="(0.370)",="(0.505)",="",="",="",="",="",="",="",="(0.278)",="(0.299)",=""

="other_cont",="",="",="",="",="",="",="-0.941",="-0.990",="",="",="",="",="",="",="",="0.216",="0.107",=""
="",="",="",="",="",="",="",="(0.912)",="(1.059)",="",="",="",="",="",="",="",="(0.224)",="(0.223)",=""

="_cons",="1.910",="1.692",="-0.141",="0.144",="4.554***",="4.562***",="2.032",="1.440",="-8.323***",="4.660***",="4.728***",="4.866***",="4.675***",="5.221***",="5.241***",="5.766***",="5.737***",="-4.912***"
="",="(1.174)",="(1.448)",="(2.583)",="(2.454)",="(0.591)",="(0.617)",="(2.191)",="(3.074)",="(1.307)",="(0.320)",="(0.341)",="(0.439)",="(0.478)",="(0.361)",="(0.388)",="(0.375)",="(0.389)",="(0.323)"

="N",="64",="64",="60",="60",="37",="37",="64",="64",="61",="64",="64",="60",="60",="37",="37",="64",="64",="61"
="R-squared",="0.187",="0.102",="-0.688",="-0.492",="0.587",="0.589",="0.229",="0.011",="-0.152",="0.540",="0.574",="0.414",="0.456",="0.611",="0.616",="0.704",="0.714",="0.486"
="First-stage F (KP rk Wald)",="16.32",="9.52",="6.85",="5.65",="36.22",="27.53",="5.09",="2.97",="17.35",="",="",="",="",="",="",="",="",=""

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
