="Table 5: 2SLS with colonial / legal / religion controls"

="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)"
="",="logpgp95",="logpgp95",="logpgp95",="logpgp95",="logpgp95",="logpgp95",="logpgp95",="logpgp95",="logpgp95"

="avexpr",="1.078***",="1.155***",="1.066***",="1.339**",="1.080***",="1.181***",="0.917***",="1.006***",="1.212***"
="",="(0.240)",="(0.352)",="(0.258)",="(0.535)",="(0.202)",="(0.301)",="(0.156)",="(0.257)",="(0.395)"

="f_brit",="-0.778**",="-0.795**",="",="",="",="",="",="",=""
="",="(0.365)",="(0.405)",="",="",="",="",="",="",=""

="f_french",="-0.117",="-0.058",="",="",="",="",="",="",="0.396"
="",="(0.336)",="(0.394)",="",="",="",="",="",="",="(0.460)"

="lat_abst",="",="-0.751",="",="-2.986",="",="-1.126",="",="-0.938",="-1.794"
="",="",="(1.459)",="",="(2.932)",="",="(1.380)",="",="(1.417)",="(1.967)"

="sjlofr",="",="",="",="",="0.887**",="0.962**",="",="",="0.294"
="",="",="",="",="",="(0.349)",="(0.425)",="",="",="(0.544)"

="catho80",="",="",="",="",="",="",="0.009",="0.008",="0.005"
="",="",="",="",="",="",="",="(0.008)",="(0.008)",="(0.014)"

="muslim80",="",="",="",="",="",="",="0.000",="0.000",="-0.003"
="",="",="",="",="",="",="",="(0.007)",="(0.008)",="(0.012)"

="no_cpm80",="",="",="",="",="",="",="-0.007",="-0.010",="-0.014"
="",="",="",="",="",="",="",="(0.010)",="(0.011)",="(0.015)"

="_cons",="1.372",="0.996",="0.678",="-0.638",="0.471",="-0.031",="1.906",="1.600",="0.447"
="",="(1.549)",="(2.080)",="(1.896)",="(3.319)",="(1.499)",="(2.013)",="(1.401)",="(1.756)",="(2.428)"

="N",="64",="64",="25",="25",="64",="64",="64",="64",="64"
="R-squared",="0.048",="-0.098",="0.274",="-0.150",="0.095",="-0.086",="0.426",="0.301",="-0.030"
="First-stage F (KP rk Wald)",="11.73",="6.05",="7.88",="2.90",="15.94",="8.76",="16.76",="6.59",="4.30"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
