="Table 6: 2SLS with geography and climate controls"

="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)"
="",="logpgp95",="logpgp95",="logpgp95",="logpgp95",="logpgp95",="logpgp95",="logpgp95",="logpgp95",="logpgp95"

="avexpr",="0.837***",="0.835***",="0.960***",="0.991***",="1.259**",="1.358*",="0.738***",="0.787***",="0.713***"
="",="(0.165)",="(0.179)",="(0.294)",="(0.323)",="(0.543)",="(0.733)",="(0.140)",="(0.177)",="(0.147)"

="temp1",="-0.004",="-0.006",="",="",="",="",="",="",="0.103"
="",="(0.130)",="(0.123)",="",="",="",="",="",="",="(0.086)"

="temp2",="0.003",="0.003",="",="",="",="",="",="",="-0.069*"
="",="(0.045)",="(0.046)",="",="",="",="",="",="",="(0.037)"

="temp3",="-0.006",="-0.006",="",="",="",="",="",="",="-0.006"
="",="(0.059)",="(0.058)",="",="",="",="",="",="",="(0.031)"

="temp4",="-0.001",="-0.001",="",="",="",="",="",="",="-0.031"
="",="(0.054)",="(0.054)",="",="",="",="",="",="",="(0.035)"

="temp5",="-0.015",="-0.015",="",="",="",="",="",="",="-0.007"
="",="(0.035)",="(0.033)",="",="",="",="",="",="",="(0.023)"

="humid1",="-0.030",="-0.030",="",="",="",="",="",="",="-0.008"
="",="(0.019)",="(0.019)",="",="",="",="",="",="",="(0.016)"

="humid2",="0.041",="0.042",="",="",="",="",="",="",="0.020"
="",="(0.028)",="(0.027)",="",="",="",="",="",="",="(0.021)"

="humid3",="0.039*",="0.039*",="",="",="",="",="",="",="0.022"
="",="(0.020)",="(0.020)",="",="",="",="",="",="",="(0.016)"

="humid4",="-0.041*",="-0.041*",="",="",="",="",="",="",="-0.020"
="",="(0.025)",="(0.025)",="",="",="",="",="",="",="(0.018)"

="lat_abst",="",="0.066",="",="-0.670",="",="-0.942",="",="-0.892",="-2.520*"
="",="",="(1.560)",="",="(1.012)",="",="(2.237)",="",="(0.843)",="(1.366)"

="edes1975",="",="",="-0.001",="0.000",="",="",="",="",="0.003"
="",="",="",="(0.008)",="(0.008)",="",="",="",="",="(0.004)"

="steplow",="",="",="",="",="-0.365",="-0.338",="",="",="-0.301"
="",="",="",="",="",="(0.320)",="(0.360)",="",="",="(0.190)"

="deslow",="",="",="",="",="0.507",="0.599",="",="",="0.497**"
="",="",="",="",="",="(0.413)",="(0.580)",="",="",="(0.222)"

="stepmid",="",="",="",="",="0.001",="0.019",="",="",="0.254"
="",="",="",="",="",="(0.667)",="(0.644)",="",="",="(0.379)"

="desmid",="",="",="",="",="1.623***",="1.834***",="",="",="1.358***"
="",="",="",="",="",="(0.288)",="(0.682)",="",="",="(0.337)"

="drystep",="",="",="",="",="0.343",="0.366",="",="",="0.325"
="",="",="",="",="",="(0.674)",="(0.750)",="",="",="(0.317)"

="drywint",="",="",="",="",="6.144",="6.912",="",="",="2.879"
="",="",="",="",="",="(9.124)",="(10.875)",="",="",="(4.263)"

="goldm",="",="",="",="",="-0.103",="-0.116",="",="",="-0.013"
="",="",="",="",="",="(0.192)",="(0.224)",="",="",="(0.094)"

="iron",="",="",="",="",="-0.109",="-0.136",="",="",="-0.147*"
="",="",="",="",="",="(0.179)",="(0.231)",="",="",="(0.088)"

="silv",="",="",="",="",="0.004",="-0.003",="",="",="-0.032"
="",="",="",="",="",="(0.142)",="(0.159)",="",="",="(0.063)"

="zinc",="",="",="",="",="-0.039",="-0.015",="",="",="0.103"
="",="",="",="",="",="(0.273)",="(0.318)",="",="",="(0.139)"

="oilres",="",="",="",="",="0.000",="-0.000",="",="",="0.000"
="",="",="",="",="",="(0.000)",="(0.000)",="",="",="(0.000)"

="landlock",="",="",="",="",="0.751",="0.868",="",="",="0.734**"
="",="",="",="",="",="(0.719)",="(0.923)",="",="",="(0.343)"

="avelf",="",="",="",="",="",="",="-1.021***",="-1.129***",="-1.606***"
="",="",="",="",="",="",="",="(0.323)",="(0.336)",="(0.358)"

="_cons",="2.647",="2.643",="1.822",="1.719",="-0.166",="-0.675",="3.672***",="3.559***",="3.686***"
="",="(1.981)",="(1.949)",="(1.825)",="(1.952)",="(3.646)",="(4.656)",="(0.969)",="(1.092)",="(1.279)"

="N",="64",="64",="64",="64",="64",="64",="64",="64",="64"
="R-squared",="0.403",="0.406",="0.161",="0.110",="-0.148",="-0.342",="0.543",="0.498",="0.738"
="First-stage F (KP rk Wald)",="17.80",="13.73",="6.27",="5.26",="2.83",="1.74",="14.99",="10.32",="5.54"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
