="Table 7: 2SLS with health controls and overidentification"

="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)"
="",="logpgp95",="logpgp95",="logpgp95",="logpgp95",="logpgp95",="logpgp95",="logpgp95",="logpgp95",="logpgp95",="logpgp95",="logpgp95"

="avexpr",="0.687***",="0.721**",="0.629**",="0.677*",="0.551**",="0.562*",="0.611***",="0.705***",="0.644***",="0.914***",="0.899***"
="",="(0.265)",="(0.314)",="(0.295)",="(0.357)",="(0.260)",="(0.338)",="(0.235)",="(0.222)",="(0.193)",="(0.239)",="(0.289)"

="malfal94",="-0.578",="-0.599",="",="",="",="",="-0.858",="",="",="",=""
="",="(0.500)",="(0.503)",="",="",="",="",="(0.647)",="",="",="",=""

="lat_abst",="",="-0.565",="",="-0.529",="",="-0.102",="",="",="",="",=""
="",="",="(0.907)",="",="(0.788)",="",="(0.855)",="",="",="",="",=""

="leb95",="",="",="0.027",="0.026",="",="",="",="0.022",="",="",=""
="",="",="",="(0.023)",="(0.025)",="",="",="",="(0.022)",="",="",=""

="imr95",="",="",="",="",="-0.010*",="-0.010",="",="",="-0.008",="",=""
="",="",="",="",="",="(0.006)",="(0.007)",="",="",="(0.006)",="",=""

="africa",="",="",="",="",="",="",="",="",="",="",="-0.532*"
="",="",="",="",="",="",="",="",="",="",="",="(0.293)"

="asia",="",="",="",="",="",="",="",="",="",="",="-0.880***"
="",="",="",="",="",="",="",="",="",="",="",="(0.259)"

="other_cont7",="",="",="",="",="",="",="",="",="",="",="-0.768"
="",="",="",="",="",="",="",="",="",="",="",="(0.715)"

="_cons",="3.791**",="3.681*",="2.243***",="2.069**",="5.011**",="4.947**",="4.421**",="2.084***",="4.311***",="2.110",="2.590"
="",="(1.886)",="(2.086)",="(0.736)",="(0.919)",="(2.000)",="(2.426)",="(1.776)",="(0.723)",="(1.543)",="(1.563)",="(1.940)"

="N",="62",="62",="60",="60",="60",="60",="60",="59",="59",="64",="64"
="R-squared",="0.535",="0.501",="0.586",="0.537",="0.671",="0.661",="0.608",="0.482",="0.569",="0.236",="0.360"
="First-stage F (KP rk Wald)",="3.79",="3.17",="4.02",="2.93",="4.86",="2.94",="1.17",="2.36",="2.06",="9.43",="6.85"
="Hansen J statistic",="",="",="",="",="",="",="1.56",="1.18",="0.55",="",=""
="Hansen J p-value",="",="",="",="",="",="",="0.459",="0.554",="0.760",="",=""

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
