="Table 8: alt instruments (Panels A-B), overid (C), logem4 as control (D)"

="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)",="(21)",="(22)",="(23)",="(24)",="(25)",="(26)",="(27)",="(28)",="(29)",="(30)"
="",="logpgp95",="logpgp95",="logpgp95",="logpgp95",="logpgp95",="logpgp95",="logpgp95",="logpgp95",="logpgp95",="logpgp95",="logpgp95",="logpgp95",="logpgp95",="logpgp95",="logpgp95",="logpgp95",="logpgp95",="logpgp95",="logpgp95",="logpgp95",="logpgp95",="logpgp95",="logpgp95",="logpgp95",="logpgp95",="logpgp95",="logpgp95",="logpgp95",="logpgp95",="logpgp95"

="avexpr",="0.870***",="0.917***",="0.706***",="0.677***",="0.719***",="0.690***",="0.595***",="0.611***",="0.549***",="0.555***",="0.887***",="0.936***",="0.766***",="0.787***",="0.752***",="0.764***",="0.664***",="0.696***",="0.641***",="0.663***",="0.814***",="0.879***",="0.454",="0.416",="0.515***",="0.481*",="0.485*",="0.494*",="0.402*",="0.407*"
="",="(0.136)",="(0.172)",="(0.123)",="(0.184)",="(0.099)",="(0.146)",="(0.146)",="(0.169)",="(0.133)",="(0.152)",="(0.136)",="(0.164)",="(0.132)",="(0.174)",="(0.117)",="(0.152)",="(0.106)",="(0.120)",="(0.097)",="(0.108)",="(0.226)",="(0.260)",="(0.278)",="(0.382)",="(0.174)",="(0.248)",="(0.274)",="(0.289)",="(0.222)",="(0.231)"

="lat_abst",="",="-0.474",="",="0.339",="",="0.312",="",="-0.405",="",="-0.161",="",="-0.554",="",="-0.266",="",="-0.127",="",="-0.685",="",="-0.488",="",="-0.522",="",="0.383",="",="0.278",="",="-0.375",="",="-0.167"
="",="",="(0.952)",="",="(1.004)",="",="(0.879)",="",="(0.777)",="",="(0.689)",="",="(0.936)",="",="(0.935)",="",="(0.869)",="",="(0.672)",="",="(0.611)",="",="(0.881)",="",="(1.191)",="",="(0.887)",="",="(0.718)",="",="(0.599)"

="indtime",="",="",="",="",="",="",="0.005***",="0.005***",="0.005***",="0.005***",="",="",="",="",="",="",="0.005***",="0.005***",="0.004***",="0.005***",="",="",="",="",="",="",="0.004***",="0.005***",="0.004***",="0.004***"
="",="",="",="",="",="",="",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="",="",="",="",="",="",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="",="",="",="",="",="",="(0.001)",="(0.001)",="(0.001)",="(0.001)"

="logem4",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.067",="-0.050",="-0.253",="-0.259",="-0.214",="-0.222",="-0.136",="-0.143",="-0.187",="-0.190"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.171)",="(0.184)",="(0.166)",="(0.179)",="(0.131)",="(0.140)",="(0.203)",="(0.198)",="(0.167)",="(0.165)"

="_cons",="2.382***",="2.161**",="3.449***",="3.575***",="3.345***",="3.481***",="3.721***",="3.665***",="4.001***",="3.979***",="2.276**",="2.052**",="3.066***",="2.973***",="3.143***",="3.082***",="3.317***",="3.197***",="3.466***",="3.381***",="3.062",="2.649",="6.268**",="6.472**",="5.678***",="5.886***",="5.123*",="5.142*",="5.896***",="5.902***"
="",="(0.906)",="(1.051)",="(0.824)",="(1.067)",="(0.677)",="(0.860)",="(0.873)",="(0.954)",="(0.798)",="(0.860)",="(0.908)",="(1.016)",="(0.885)",="(1.052)",="(0.792)",="(0.931)",="(0.661)",="(0.715)",="(0.601)",="(0.641)",="(2.188)",="(2.396)",="(2.542)",="(3.087)",="(1.716)",="(2.102)",="(2.738)",="(2.753)",="(2.248)",="(2.250)"

="N",="63",="63",="60",="60",="59",="59",="60",="60",="59",="59",="63",="63",="60",="60",="59",="59",="60",="60",="59",="59",="63",="63",="60",="60",="59",="59",="60",="60",="59",="59"
="R-squared",="0.289",="0.221",="0.436",="0.465",="0.440",="0.469",="0.621",="0.612",="0.651",="0.648",="0.264",="0.190",="0.369",="0.341",="0.405",="0.390",="0.563",="0.537",="0.590",="0.574",="0.370",="0.280",="0.639",="0.651",="0.620",="0.636",="0.694",="0.692",="0.718",="0.718"
="First-stage F (KP rk Wald)",="42.63",="21.79",="11.55",="9.32",="16.56",="11.31",="7.23",="6.87",="12.40",="10.95",="24.84",="13.82",="9.36",="6.25",="12.79",="8.09",="8.39",="6.51",="10.94",="8.93",="11.94",="10.52",="3.65",="2.97",="4.97",="4.13",="2.70",="2.76",="4.80",="4.79"
="Hansen J statistic",="",="",="",="",="",="",="",="",="",="",="0.13",="0.07",="1.56",="1.44",="1.34",="1.26",="0.32",="0.36",="0.73",="0.76",="",="",="",="",="",="",="",="",="",=""
="Hansen J p-value",="",="",="",="",="",="",="",="",="",="",="0.714",="0.796",="0.211",="0.230",="0.247",="0.261",="0.569",="0.551",="0.393",="0.384",="",="",="",="",="",="",="",="",="",=""

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
