
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)"
="",="OLS",="OLS",="OLS",="OLS",="2SLS-Rain",="2SLS-Drought",="2SLS-Both"

="Ln Lights(t-1)",="0.0009",="",="",="",="-0.0916",="-0.0932**",="-0.0927**"
="",="(0.0008)",="",="",="",="(0.0575)",="(0.0461)",="(0.0400)"

="Ln Rain(t-2)",="",="-0.0033*",="",="-0.0021",="",="",=""
="",="",="(0.0020)",="",="(0.0022)",="",="",=""

="(Non) Drought(t-2)",="",="",="-0.0005**",="-0.0004*",="",="",=""
="",="",="",="(0.0002)",="(0.0003)",="",="",=""

="Observations",="96591",="96591",="96591",="96591",="96591",="96591",="96591"
="N Regions",="5689",="5689",="5689",="5689",="5689",="5689",="5689"
="R-squared",="0.002",="0.002",="0.002",="0.002",="-0.135",="-0.140",="-0.139"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
